rank	username	minecraft:used/minecraft:apple
112	TheSecondLord	18
112	thewindmillman	18
112	_Cloverbelle_	18
112	claivin	18
118	pintsizedrogue	17
118	Ailmast	17
118	ROY4LE	17
118	Felenov	17
118	AlphaWolfPlaysMC	17
118	NameGenerat0r	17
124	SDMNAEK	16
124	bloodbiter	16
124	m_be9	16
124	Jiminie	16
124	radioactv_jelly	16
124	SvenskaHugo	16
124	bloomkieren	16
124	Enderslayerxz3	16
124	JayToe	16
133	q_wq	15
133	Swexti	15
133	set67	15
133	NomadicRobin_	15
133	Russiancat1	15
133	Blaiku	15
133	Hermanni__	15
140	GingerNeutron	14
140	paranoid_plant	14
140	Nach0Bear	14
140	Bumpy419	14
140	Shiirazuku	14
140	Quinasin	14
140	misomon	14
147	soundad	13
147	T045RTY	13
147	Lez_	13
147	gcaisawesome	13
147	noam464	13
147	Voxin2K	13
147	Meatlaugh	13
147	DemTechAlpha	13
147	Xclax101	13
156	ExtraDumb	12
156	whoaluv	12
158	fr0stss	11
158	beeperbeeper5	11
158	Notta	11
158	Gingayy	11
158	DrBalloon	11
158	ItzYaBoiPicard	11
158	ZeroAbyssTTV	11
158	wrinkledpiglet	11
158	LeGold	11
158	Nicky19	11
158	SkateboardR6	11
158	Vorlice	11
158	Nekomin0	11
158	PortlyPete69	11
158	Kateesaur	11
173	BlancoFlaco	10
173	awesomeoneme	10
173	rarrq	10
173	titanlax	10
173	_Dean_123	10
173	Jokerman369	10
173	himak1	10
173	TylerDupree	10
173	Touched_Bread	10
173	AnnieBathory	10
173	Kouridragon	10
173	sxc_	10
173	ElderRifken	10
173	duqboy	10
173	chipklip	10
173	wwwwinnebagoooo	10
189	Groovy_MoonBird	9
189	Myrosia	9
189	EMC_	9
189	_Razar	9
189	theonlymagikarp	9
189	NLKBuilder	9
189	Arceus1975	9
189	Skylord_Luke	9
189	CaptainDeadBread	9
189	BRRRN179	9
189	SexcMf	9
189	Kijiki	9
189	SammiWolfGirl	9
189	xorompole	9
203	Jovaphobic	8
203	ETILEROP	8
203	TAKrules	8
203	joethahobo	8
203	NieToksikpl	8
203	mwrty	8
203	egglapras	8
203	Purplehere	8
203	kars0n	8
203	tobinwilliams	8
203	RobotMinion101	8
203	MonitorLizards	8
203	ogoa	8
203	TheSeismicDuck	8
203	DarkS0L	8
203	proxivitoid	8
203	MustaLoordi	8
203	ChronoSounds	8
203	LordAurum	8
203	mihimihimihi	8
203	Vellu21	8
203	anbbang	8
203	CattSoup	8
203	coobert42	8
227	RoskobiOne	7
227	Merv__	7
227	teslawolf38	7
227	DepressedCubic	7
227	AES784	7
227	CoffeeNoir	7
227	nocturne78	7
227	Ardennes	7
227	CharlieButt	7
227	Nyxiom_	7
227	LilLizardWizard	7
227	natajimi	7
227	cog	7
227	yoyoYoloMonke	7
227	Typadopoulos	7
227	Smiguli_	7
227	Segotep999	7
227	Ossem	7
227	Luigipunch989	7
227	Western_1	7
227	CalebDHawk	7
227	Sheldor097	7
227	Rexorout	7
227	Freedrik	7
227	00000000-0000-0000-0009-01ff0c3e5e4f	7
252	Jalvajar	6
252	TildaAndrea	6
252	Sna_Ke	6
252	Prismyst	6
252	ShedJr_	6
252	moertymoertan	6
252	Khelvoryk	6
252	AngalexikCZ	6
252	IceYoung	6
252	trixterrx	6
252	MehmetLeo	6
252	stickwhiskers	6
252	dartwaffle	6
252	Hyperphoenix42	6
252	fxiryglitch	6
252	yulgur1	6
252	KlausVonStiglitz	6
252	Lutres_Torane	6
252	HellsSponge	6
252	RedcatVII	6
252	Matorz	6
252	MovingFish7	6
252	CSG_Haru	6
252	Soplight	6
252	EngagedGrub41	6
252	Haadrada	6
252	CrazyPotater	6
279	_stets	5
279	KingFaenor	5
279	Sleek_Storm_721	5
279	pokemonfreak45	5
279	DinoDoctor_	5
279	HollieDaNugget	5
279	Otto_chan	5
279	Dnulgreb	5
279	Nab3rius	5
279	XboxPanda	5
279	Gamergirl420628	5
279	ehunt54	5
279	prizm_	5
279	yaboo88	5
279	RefluxRatio	5
279	Termi_Qc	5
279	MinerDec	5
279	wfk7	5
279	CarryLine	5
279	Leyna3	5
279	parodypatient	5
279	Fuhrer_Teemo	5
