rank	username	minecraft:used/minecraft:nether_bricks
259	Crowman1	15
259	Shogunite	15
259	33sudo	15
259	MrMeisterProper	15
263	ImNotYuqii	13
263	Historical_Sand	13
263	Kouridragon	13
263	NameGenerat0r	13
263	fluddd	13
263	Winston_Ingram	13
263	RadarHz	13
270	Killercatty78	12
270	Incinere	12
270	MovingFish7	12
270	SammiWolfGirl	12
274	JohnnyFyes	11
274	BPTY4618	11
274	SaucyDark	11
274	TooManyDuck	11
274	Juh1s	11
274	xzvu	11
274	Biites	11
281	Jovaphobic	10
281	NotMeanttoChange	10
281	Giannism	10
281	yheece	10
281	AuroraSkies	10
281	Thomez_	10
281	Blaiku	10
281	Ezekson	10
281	EcksD	10
290	MustardDrinker	9
290	Werbe	9
290	WyngGoy	9
290	2blox_	9
294	soundad	8
294	BlancoFlaco	8
294	Scathra	8
294	xxPipperDipperxx	8
294	fallingemma	8
294	Captain_Nasty	8
300	EMC_	7
