rank	username	minecraft:used/minecraft:stone_slab
192	Bumpy419	101
195	ElectricDragon81	98
196	XboxPanda	96
196	Zaridey	96
198	Motsaro	94
199	Cyntrical	93
200	AuroraSkies	92
201	Kim_Jong_eel	91
201	Warlord324	91
203	soundad	90
204	Erased_Identity	86
205	godipose	83
206	LibertyMutual	80
206	07shiny	80
208	mwrty	79
209	ProfessorBee	77
209	UCP_TheKingK	77
211	IdeallyGrey	76
212	obzii	75
213	censorsheep	74
214	ese_wn_po	73
215	Lowjinx	72
216	UrbanPlanner1978	71
217	slkiey	70
218	Negriuke	69
219	SpaceGrenadier	67
220	ProbablyNick	65
220	stellarjay	65
222	KingMatthew506	64
223	Natty	63
223	KGTV	63
225	OfficerAnvil	62
225	Teebone15	62
227	NotMeanttoChange	61
227	fffMike	61
229	Bandito_Roamer	60
230	bloodbiter	59
231	Akoot_	58
231	potatocan	58
233	ooga47	57
233	Sky_light_KING	57
233	BigCronkin	57
233	Dusk_95	57
237	teslawolf38	56
237	Rumpletaezer	56
239	xxPipperDipperxx	55
239	ItzYaBoiPicard	55
239	TheSeismicDuck	55
239	Moetis	55
243	MonitorLizards	54
244	numbra	53
244	RobotMinion101	53
244	fred870d	53
244	alderban107	53
248	CruncyIsTaken	51
248	MakeHistory157	51
250	Incinere	50
250	ThatMan_Dave	50
252	DAD_1996	48
253	Barlycorn	47
253	anbbang	47
255	Healthing	46
255	smogfrog	46
257	NoxxxxiS	45
258	BobDeBouwer1337	44
258	claivin	44
260	Syropatathe	43
260	Yahir091	43
260	CheifJumbo	43
263	r123moore	41
263	PuFY	41
263	Matorz	41
266	H72l9w	39
266	pappaberg	39
266	The11thDoctor	39
269	wTXop	38
269	ayamefag	38
271	cichy096	37
272	Smashic	36
272	SokaOtaku	36
274	eli_tschki	35
274	KeruNatsema	35
276	Ryker	34
276	Megarboh	34
276	RohnJosin	34
279	ivorico	33
279	iTurbo	33
281	little_dUki	32
282	_Bguette_	30
282	Meatlaugh	30
284	andy_rex	29
285	YungJakobo	28
285	ABUSNA1996	28
285	Zythose	28
288	InfernalMound	27
288	Optiprimus	27
290	jewbacaman	26
290	lcvezra	26
292	MSK__	25
292	Nicserso	25
294	Quincannon	24
294	MightyWertu	24
294	__tomato	24
294	oxfordschool	24
298	SyK7	23
298	tramizu	23
298	heckface	23
