rank	username	minecraft:used/minecraft:birch_planks
225	bruh072	228
228	ApophisNova	224
228	MyNamaSheff	224
230	Myszoaz	219
231	OPTOMA_KING	218
231	pixelviolin	218
233	hollowww	215
234	legal_tax_evader	213
235	DermeinUser	212
236	toos1esl1de	210
237	Zee_zey	207
237	picardred	207
237	CharlieButt	207
240	killmeiamtraitor	206
241	e_hernandez57	203
242	Wooptey	201
243	DarkFisto	198
244	LunarRedPanda	195
245	Ravenbie	193
245	Suraidu	193
247	slkiey	192
248	CollinMH06	191
249	heckface	190
249	Racengan	190
251	CLG_Kata	186
252	The_Skramz	185
253	epiksk8erduck	183
254	funnyblitz123	182
255	Iagoku	176
255	DadWorksForSega	176
257	Meatlaugh	169
257	KermitTheKripple	169
259	duelcard	168
260	0nly_sn1per	167
261	infiniteQuery	165
262	CompoundMedic	163
263	tuckerdoodle	162
263	WET_WET_WET	162
263	TheEnderMan548	162
266	Malware_Mara	160
267	Jij0	159
268	Lord_Jord	158
269	The_slideV3	157
270	surfinggiraffejp	156
270	stellarjay	156
272	ImDisconnected_	155
272	bloomkieren	155
274	Under1	153
274	bbaobei	153
274	True_Clipse	153
277	DC_XII	152
278	imcombxt	151
278	HoldThatPee	151
278	FelixPSY375	151
281	calamariclam_I	146
282	Smashic	145
282	Blu3beast	145
282	fffMike	145
285	toastfetchd	142
286	MC_Gamer_Geek	141
286	oscminus	141
288	TheSecondLord	140
289	Steelynan	138
290	SyntheticSurgeon	137
291	brofrickcheaters	133
292	Franco093	132
292	djancak	132
294	Zedducius	131
294	AspenLightVT	131
294	fastPREDATOR	131
297	SingedBread	130
297	Winston_Ingram	130
299	Atomagus	129
299	elleparo	129
