rank	username	minecraft:used/minecraft:acacia_log
158	BlueZabu	14
158	Maenara	14
158	Mythic1130	14
161	_stets	13
161	Swexti	13
161	KlausVonStiglitz	13
161	Shogunite	13
161	Powowowow	13
166	HellsSponge	12
166	JureJurko	12
166	ProfessorDiaper	12
169	Kamflame10	10
169	cedric72	10
169	JayToe	10
172	Tommhh	9
172	thgrocks	9
174	Cowison	8
174	EMC_	8
174	firesgal3116	8
174	Ardennes	8
174	NameGenerat0r	8
174	MS_Pryxx	8
174	Lowjinx	8
181	Mocha_Mug	7
181	Ilinca_Io	7
181	DirtyBoar	7
181	TheSeismicDuck	7
181	C0oOK13M0N5T3R	7
181	sp00ky_ghost977	7
181	LeeMcGee30	7
181	TechnoNinja64	7
181	561cool	7
190	T045RTY	6
190	Jackster03	6
190	SpaceGrenadier	6
190	Kakolbus	6
190	Serenqeti	6
190	Jiminbub	6
190	Kyrum2169	6
190	RealGroot	6
190	Moetis	6
190	TheALV	6
190	bitsplease	6
190	jnp_gaming	6
202	PuustaKauasPdnt	5
202	Rumpletaezer	5
202	AzBzCzDz	5
202	MustardDrinker	5
202	ItsAki_	5
202	RobotMinion101	5
202	DC_XII	5
202	duqboy	5
202	Groundler	5
202	AvaRosey	5
202	IAmTheWalrus910	5
202	SammiWolfGirl	5
202	ItsJunoIGuess	5
202	laron58	5
216	Matemax	4
216	6king6colt6	4
216	whitewolfy101	4
216	SteveCraftBlocks	4
216	VirusUploaded	4
216	Irko	4
216	ItzSquidz	4
216	Arceus1975	4
216	kars0n	4
216	ougstur	4
216	AlphaWolfPlaysMC	4
216	_Bguette_	4
216	Lutres_Torane	4
216	rii1efnaki	4
216	Hisiste	4
216	jcool7	4
232	Alexanderjac	3
232	Jovaphobic	3
232	teslawolf38	3
232	Creativebuilder2	3
232	ThiccExotic	3
232	Swalt	3
232	noodlepack	3
232	ROY4LE	3
232	ibarker21	3
232	Pazantine	3
232	DShrewzy	3
232	Leyna3	3
232	MrQuanQuan	3
232	godipose	3
232	StinkyDiplomat	3
232	the__Reaper4999	3
232	Barlycorn	3
232	_beep_boop	3
232	Kowcio_	3
232	cxtch	3
232	Slapface522	3
232	DennyKai	3
254	Harotio	2
254	bigstankyy	2
254	dopplexd	2
254	Malorn_Aetherius	2
254	TheSecondLord	2
254	ThePoliteG	2
254	himak1	2
254	Resner	2
254	John6970	2
254	NotSoJamie	2
254	Marbz_	2
254	CranialBlowout	2
254	Destroyer112221	2
254	SullivanNephew	2
254	Ajax6	2
254	AuroraSkies	2
254	natajimi	2
254	audiocracked	2
254	Meepcraft	2
254	MinuteMira	2
254	SlinkyPinky	2
254	fluddd	2
254	RedcatVII	2
254	malgosia14	2
254	Racengan	2
254	Ze_BaronKrigler	2
254	WytchKraft	2
254	ImagineRamen	2
254	bloomkieren	2
254	gusstationwerker	2
254	Seindi	2
254	MilleGrug	2
254	EngagedGrub41	2
254	Skippeh	2
254	ManOShway	2
254	Biites	2
254	h2p_emrld	2
291	boredishbear	1
291	PazinGaming	1
291	TheMilkerOfCats	1
291	HollieDaNugget	1
291	baxteerr	1
291	Arteriana	1
291	oreee	1
291	nocturne78	1
291	TastyPorkchop	1
291	speenduhXD	1
