rank	username	minecraft:used/minecraft:cooked_porkchop
107	CollinMH06	456
108	TheThomas69	447
109	6king6colt6	445
110	_Boipl_	438
111	RadarHz	432
112	Steven1282598	431
113	bigstankyy	430
114	EcksDofficial	429
115	Lutres_Torane	428
116	Kowcio_	424
117	Flores991	419
118	diamondgolem35	416
119	sp00ky_ghost977	412
120	sammidk	392
121	Cowison	378
122	SuperPooch06	370
123	tuckerdoodle	368
124	Ezekson	365
125	KarlKaek	346
125	yulgur1	346
125	Spenduh	346
128	Z3braYTIL	343
129	fred870d	341
129	DarlaMeow	341
129	Winston_Ingram	341
129	kinas45y5	341
133	Optiprimus	339
134	SpaceGrenadier	330
135	ogoa	328
136	KnightmareD	320
137	Sleek_Storm_721	318
138	YungJakobo	315
139	TJawesome09	314
140	jiggywraps	313
141	NinjaKnifeKill	311
142	mwrty	309
143	BronkerBrum	305
144	FreddyFart	303
145	Rocco_Lane	300
146	Lord_Jord	298
146	Ze_BaronKrigler	298
148	gustarbite	295
149	_NieToksikpl_	294
149	r123moore	294
151	jnp_gaming	290
152	The11thDoctor	287
153	Yatitay	286
154	WYFYoyo	265
155	Da_Boss_Rani	263
155	oxfordschool	263
157	_stets	257
158	q_wq	256
158	XxCookiequeenxX	256
160	AltnumberF4	254
161	chimpmunker	251
161	thescout7	251
163	Blu3beast	248
163	Blaiku	248
165	John6970	245
166	vandmanden	243
167	King_Pancake1	241
168	xxPipperDipperxx	236
168	kyouma777	236
170	fanofbands101	233
171	Hyp3rion_	232
171	KeruNatsema	232
173	SammiWolfGirl	229
174	eviltunix	228
175	HesDemonPants	227
176	HAIRYCLOUD626	222
177	MattieHD	221
178	JEWISHBadenBeele	219
179	stellarjay	214
180	Jimi7hits	213
181	The_Quack_Dealer	206
182	Flapjacker687	204
182	monky_irl	204
184	TheOuterCore	203
185	cog	202
186	TheShyPig	200
187	Airem_Core	196
188	geekbird	195
188	UCP_TheKingK	195
190	TheMaster972	194
190	djancak	194
192	emrekn	192
193	Th6masss	191
194	Kubelz	190
195	Leyna3	189
195	MyNameIsDakar	189
197	El_Jalapeno	188
198	Decaying_Lotus	185
199	fw3xywashere	184
200	AssFullaCum	182
201	DanTheBuilderino	181
202	gabriels543	180
203	Dusk_95	176
204	Natty	173
204	Snowflowe	173
206	ApophisNova	172
206	MyNamaSheff	172
208	SvenskaAlvar	170
209	HellsSponge	167
210	Chickenchaser2	159
211	Syropatathe	157
212	FishisTTV	154
213	KGTV	152
213	Skippeh	152
215	ZeroKraken	148
216	pintsizedrogue	146
216	Zoeyfortnite	146
218	Felenov	143
218	Strangemonkey71	143
220	noodlepack	142
221	ccwildfire1	141
221	ratglock	141
223	Jonte0599	139
224	Gab4101	138
225	Drlzyy	135
225	__TheNorseMan__	135
227	_Virify_	132
227	xo_Marren_xo	132
229	420BreadLizard	131
229	UltraZombie	131
231	littlesophiagirl	130
231	Prodiginus	130
231	Windo_licker	130
234	I_Am_Mushkin	129
235	Di_infiri	128
235	FallenCorps	128
237	Gundam_Steven	127
238	m_be9	126
239	diggydog67	125
240	2Stout	123
240	Arceus1975	123
240	lizardfightclub	123
243	TheTommyGun63	122
244	Mobstr	121
244	ToastedGamingYT	121
246	SyK7	119
246	cichy096	119
248	PortlyPete69	118
248	Kubeusz2010	118
250	LotusProject	116
251	Jiminbub	115
252	gaziter10	111
253	lewieinnit	110
253	WET_WET_WET	110
255	Nach0Bear	109
255	Afinnity	109
257	Queen_Jalapeno	108
257	Beagle_Boy_Bop	108
259	Incinere	107
259	Aryamanee	107
261	trixterrx	106
262	ThePoliteG	103
263	eclipseboi	102
263	breadbowlgamer	102
263	LexMakesHistory	102
266	Tommhh	101
266	Armattillo	101
266	p4lp	101
266	Lord_Zacler	101
270	Laykon	100
270	mimbo1211	100
272	jspwn	99
272	GOOBERGABE04	99
274	IdeallyGrey	98
275	PhantomsGhost_	96
275	scarletwarrior1	96
277	Giannism	94
277	SexcMf	94
279	BuildTheGondola	93
279	brofrickcheaters	93
279	stahouo	93
282	Groovy_MoonBird	92
282	bananamix994	92
282	beeleg	92
282	iElijah	92
282	voiding_	92
282	krutas2000	92
288	DanielMmm	91
288	ReyTheLegend	91
288	Dreamdbr14	91
291	Serval2000	90
292	chrolus	88
292	Wooptey	88
292	Templar_David	88
292	LordBlaze11	88
292	mobunni	88
297	738b4f65-6cbd-4ead-ba31-c14211abfb06	87
298	awesomeoneme	86
298	Euclidoris	86
298	BRRRN179	86
