rank	username	minecraft:used/minecraft:furnace
222	DC_XII	49
222	Bloo2406	49
222	bndo	49
222	Njensen7	49
222	FallenCorps	49
229	BlancoFlaco	48
229	xxPipperDipperxx	48
229	Rocco_Lane	48
229	Skylord_Luke	48
229	AlphaWolfPlaysMC	48
229	Racengan	48
229	2bolx_	48
236	FirsTimeGamingTV	47
236	boog4loo	47
236	fallingemma	47
236	NormanFetus	47
236	fluddd	47
241	ExtraDumb	46
241	SuperPooch06	46
241	Toriankel	46
241	GlitchyPlate810	46
245	Tolhart	45
245	ThePoliteG	45
245	DAD_1996	45
245	TheDumbHuman	45
245	UltraZombie	45
250	q_wq	44
250	DepressedCubic	44
250	BlueZabu	44
250	audiocracked	44
250	PlzNoBM	44
255	Franco093	43
255	WET_WET_WET	43
255	lizardfightclub	43
255	TheSeismicDuck	43
255	malgosia14	43
260	H72l9w	42
260	Valoth	42
260	Xalithia	42
260	ibarker21	42
260	RobotMinion101	42
260	ClemenPine	42
260	ogoa	42
260	Nekomin0	42
268	Flores991	41
268	ThiccExotic	41
268	MedSeaArch	41
268	SPUDonSTEROIDS	41
268	2Stout	41
268	SlayerCrypto	41
268	FishyBoy3811	41
268	Matorz	41
268	OG_Songsee	41
268	Cocoamallows	41
268	Burge_r	41
279	Reamdin	40
279	orxngejuice	40
279	Factoroni	40
279	BlankityMcBlank	40
279	Luigipunch989	40
279	Powowowow	40
285	Hpdinosaur	39
285	Gooberkid223	39
285	hcb238	39
285	CollinMH06	39
285	NomadicRobin_	39
285	starbits140	39
285	Freedrik	39
292	ImDisconnected_	38
292	ese_wn_po	38
292	MineCryptian	38
292	anbbang	38
296	Alteriity	37
296	GingerNeutron	37
296	Bazongoman	37
296	brofrickcheaters	37
296	00000000-0000-0000-0009-01ff0c3e5e4f	37
