rank	username	minecraft:used/minecraft:wooden_shovel
103	pintsizedrogue	59
103	nataliecool	59
103	MayorEden	59
103	teslawolf38	59
103	ImpavidArcher	59
103	Paleshield	59
103	DementedTOAD	59
103	Kuragari_	59
103	Alphanzt99	59
103	tramizu	59
103	ellygaytor	59
103	firesgal3116	59
103	MedSeaArch	59
103	StanceTB	59
103	kekhon	59
103	jjsadler	59
103	lilsay	59
103	CarbonatedCola	59
103	egglapras	59
103	IforgotCS_Source	59
103	Kubelz	59
103	Zythose	59
103	ibarker21	59
103	KillerNekoRain	59
103	DebbieBrunswick	59
103	DeeDeeThonk	59
103	sitrollover	59
103	wrinkledpiglet	59
103	x3jK3mLuN34Mn	59
103	Leyna3	59
103	Russiancat1	59
103	Deathkob	59
103	Ragnar2105	59
103	chipklip	59
103	n0qtrnL	59
103	Blu3beast	59
103	marumochis	59
103	lolpoottoot	59
103	_Ruzeeq_	59
103	Zicom	59
103	sleepdrifter_	59
103	Juh1s	59
103	smogfrog	59
103	RoboTramp7865	59
103	Wolverine4302	59
103	Oxygen16	59
103	2blox	59
103	DkansK	59
103	Schlitzman	59
152	zqw10k	58
152	somegirl12_	58
152	TrollerYT	58
155	cnicholspgh	57
155	Werbe	57
157	Skylord_Luke	56
158	Peeing	55
159	majlin16	53
159	D3m0nik	53
161	HoldThatPee	52
162	CarltheCuck	49
162	Pickel_Lord	49
164	djancak	48
165	KarlKaek	46
165	Marahuyo00	46
167	hm947	45
167	DukBob	45
169	Albertalo	44
169	12Magner05	44
169	Bawbman	44
172	wordboy107	43
173	BlankityMcBlank	41
174	fr_ser	40
174	VintagePlays	40
174	Kferno	40
177	little_dUki	39
178	Groovy_MoonBird	38
179	NibPicker	37
179	daybreakus	37
181	TrashPixel	36
182	thebluehippo	35
182	h2p_emrld	35
184	encraft05	34
185	SpicyDuckMan	33
186	SIRdrumroll	32
187	ItsAki_	31
187	Xclax101	31
189	DontHaveKick	30
190	Lepthymo	28
190	Inkax	28
192	IdeallyGrey	26
193	CryoInferno_	25
193	Simon_Lowell	25
193	Under1	25
196	pipejob	24
196	SirDodgyBob	24
198	twinkel_star24	23
198	vandmanden	23
200	pixelings_	21
200	blimpeey	21
202	Stealthlens	19
202	RobotMinion101	19
202	HeyGoat	19
202	Logain42	19
206	hayybails	16
206	DShrewzy	16
206	Fuhrer_Teemo	16
209	pokemonfreak45	15
209	shdesolt	15
209	NikoTheGreater	15
209	Irko	15
209	ReverendSmith	15
209	sp00ky_ghost977	15
215	Sandov	14
215	__tomato	14
217	Chad_Isopod	13
218	Useless_Relic	12
218	BlueWyvern5170	12
218	deenobeeno	12
221	PumpkinPie1600	11
222	lotarp	10
222	QuaggaJacks	10
222	WinterYoke	10
225	Purplehere	9
225	FishyBoy3811	9
225	spencersolberg	9
225	critNoxx	9
225	Night_Call	9
225	Powowowow	9
231	bustinmyeyes	8
231	ExploreMyBow	8
231	zijin154	8
234	ThePoonGayer	7
234	Butternutsquatch	7
234	TragicHero27	7
234	Akoot_	7
234	Hylo482y	7
239	DirectorPr	6
239	Lauratheking	6
239	_Bguette_	6
242	Hoshi	5
242	Theo34	5
242	jedi_george	5
242	HellsSponge	5
242	ayamefag	5
242	alkrie	5
242	NeoJordache	5
249	cwin95	4
249	markaus77	4
249	stahouo	4
249	JasmineGK	4
253	DarkDescent2392	3
253	MattieHD	3
253	Termi_Qc	3
253	Kaziglubey	3
253	Kynigito	3
253	TechnoNinja64	3
253	KASAN420	3
260	LAVA129	2
260	Havazelet	2
262	actour	1
262	ABitOddish	1
262	HumanBeing112	1
262	Teebone15	1
