rank	username	minecraft:used/minecraft:cooked_mutton
263	MustaLoordi	17
263	PabloGonza02	17
263	Eraxa	17
263	smogfrog	17
263	imaginek1d	17
274	InfernalMound	16
274	Marbz_	16
274	gabriels543	16
274	JitteryJared2	16
274	LeGold	16
274	_Bguette_	16
274	Kura2218	16
274	Sral7	16
282	Bandito_Roamer	15
282	Jorrdi	15
282	shineh10	15
282	_Razaria	15
282	M_Patata	15
282	Cattoh	15
282	SolicitedPuma101	15
282	cytotoxaint	15
282	xzvu	15
282	ZoomieZoomie	15
282	EcksD	15
282	TechnoNinja64	15
294	SDW_Insanity	14
294	Euclidoris	14
294	AlejandroPH1	14
294	Jokerman369	14
294	Groyperbuscus	14
294	Chromary	14
294	Voxin2K	14
