rank	username	minecraft:used/minecraft:glow_berries
103	KeruNatsema	17
103	Hahaa_0	17
103	redlightshift	17
107	lunaticusx	16
107	corvidpartyfor6	16
107	JETrotter	16
110	SyntheticSurgeon	15
110	12Magner05	15
110	Mattesco	15
113	PhantomBionic	14
113	joethahobo	14
113	Arivana	14
113	SvenskaSara	14
113	mobunni	14
118	RatatJuice	13
118	SuperPooch06	13
118	Joestra	13
118	lordpipe	13
118	Moss_2006	13
123	MyMawgDonaldsGon	12
123	Awyrlas	12
123	Fuad_R	12
123	TheALV	12
127	rachcl	11
127	bl1ss0	11
127	GigaSl	11
127	FiguraDei	11
131	CoffeeNoir	10
131	SteveCraftBlocks	10
131	Gamergirl420628	10
131	eli_tschki	10
131	groofles	10
131	kyouma777	10
131	TheKingK_	10
138	Gemstuff	9
138	SOA1RR	9
140	PazinGaming	8
140	Sleepy_Time_	8
140	KamFurnace	8
143	RebelAndroid	7
143	T045RTY	7
143	Huwulling	7
143	royal_2	7
143	Fullut	7
143	BusinesManFrecks	7
143	Ghemmah	7
143	Human_Resource	7
143	IlkeCookes_	7
143	MrShojo	7
143	00000000-0000-0000-0009-01fe065167f0	7
154	SquadMonster	6
154	ROY4LE	6
154	Rocco_Lane	6
154	lizardfightclub	6
154	NameGenerat0r	6
154	xDragonx	6
154	LeEricc	6
154	Iamthejo	6
162	Mr_Byzantine	5
162	shineh10	5
162	Matte__	5
162	HUNTERmaun	5
162	Papudron	5
162	Crowman1	5
162	TerraVl	5
162	lorpus	5
162	imcombxt	5
162	Winklepicker279	5
162	Boipl	5
162	CacheOut	5
162	MC_Skribble	5
162	00000000-0000-0000-0009-01f3e0064b49	5
176	EdaterPure	4
176	kekhon	4
176	MattieHD	4
176	philandr	4
176	oscminus	4
176	Nadhorion	4
176	Olib3ar	4
176	Avocadogerms	4
176	StinkyDiplomat	4
176	kalzor	4
176	BubblyOrangutan	4
187	YinToYin	3
187	powercas_gamer	3
187	Slinkyy7071	3
187	Miroryk	3
187	_Z3RIX_	3
187	knarian	3
187	Juansinmiedo18	3
187	Arceus1975	3
187	wilgot_	3
187	H_O_M_H	3
187	EveryonesUncle	3
187	Tiktola01	3
187	READEREID	3
187	SingedBread	3
187	Spacewardharpy7	3
187	nagyvad	3
187	hermmm_	3
187	11Brewer	3
205	GGabrielSauce	2
205	Groovy_MoonBird	2
205	CLG_Kata	2
205	MobiMachine	2
205	robertsnose	2
205	lumiscosity	2
205	NutellaPenguinz	2
205	_Razaria	2
205	nattybears	2
205	Prismyst	2
205	ShedJr_	2
205	cyuar	2
205	rarrq	2
205	Sleepy_Evelyn	2
205	_HoneySlime_	2
205	Secret_Canary	2
205	Lumien_	2
205	squeezal	2
205	orxngejuice	2
205	2Stout	2
205	Touched_Bread	2
205	IamLettuce13	2
205	shadowthemonkey	2
205	Aakvaa	2
205	2extreeme	2
205	The_Fulgurator	2
205	Moofyman	2
205	R1CHY2K	2
205	Arcticwyn	2
205	fw3xy	2
205	1092384	2
205	shadowmanu8	2
205	DarlaMeow	2
205	weabis	2
205	_flud	2
205	Toriankel	2
205	Yahir091	2
205	Bambuino	2
205	IdeallyGrey	2
205	Rimuru_818	2
205	Kittaze	2
246	H0UNDFRMH3LL	1
246	SygnalX	1
246	Apollo_993	1
246	Myrosia	1
246	q_wq	1
246	Pearlplatinum	1
246	Minimize501	1
246	ZaneABrain	1
246	e_hernandez57	1
246	_G4el_	1
246	FuxS0cy	1
246	Timfinity4	1
246	Eeppari	1
246	excelsionprime	1
246	noam464	1
246	MEMES4_LIFE	1
246	TheDankPlatypus	1
246	thatbeanyboi	1
246	Moham	1
246	Gzrdy	1
246	Skylord_Luke	1
246	Cruncy_	1
246	cedric72	1
246	CarryLine	1
246	Dan_Scha	1
246	Luminad3	1
246	Elastiq	1
246	420BreadLizard	1
246	AspenLightVT	1
246	emreknugrlu	1
246	Paul_Katan	1
246	BinChickenBrine	1
246	Quaintster	1
246	beetlebum300	1
246	Moctezuma0	1
246	Racengan	1
246	lunkuku	1
246	Vicemaniac	1
246	Jjackoe	1
246	sp00ky_ghost977	1
246	Eraxa	1
246	_Mythic____	1
246	pablopickle	1
246	Spenduh	1
246	EmrotoL	1
246	Sheldor097	1
246	elliebelle107	1
246	ZoomieZoomie	1
246	Trioxide	1
246	Quotary	1
246	NoobyandApple	1
246	coobert42	1
246	_Dri_	1
246	MrAxolotl20	1
246	00000000-0000-0000-0009-01f6557d802a	1
