rank	username	minecraft:used/minecraft:hopper_minecart
95	CaptainAvenger7	18
95	Jimi7hits	18
95	yatsuta	18
95	_i_ERROR_i_	18
95	Nicserso	18
102	Valoth	17
102	AngalexikCZ	17
102	AlexxO_o	17
102	lordpipe	17
102	Kyrum2169	17
102	Sral7	17
108	fr0stss	16
108	Comma__	16
108	bloodbiter	16
108	m_be9	16
108	groofles	16
108	censorsheep	16
108	Hisiste	16
108	obzii	16
116	Jovaphobic	15
116	Deathkob	15
116	Soul_Atreus	15
116	Kowcio_	15
120	MoistMicrowave	14
120	Blu3beast	14
120	Factoroni	14
123	T045RTY	13
123	Ssor69	13
123	CharlieButt	13
123	audiocracked	13
123	ayamefag	13
123	Zoeyfortnite	13
129	12Magner05	12
129	SoftSix	12
129	mariominejedi	12
129	Voxin2K	12
129	MAns_44	12
129	Barlycorn	12
129	Segotep999	12
129	smogfrog	12
137	H72l9w	11
137	Fullut	11
137	Covalents	11
137	Nyxiom_	11
137	WyngGoy	11
137	Sheldor097	11
143	ssleepless	10
143	eiC_	10
143	FishyBoy3811	10
143	Elastiq	10
143	silverpopcorn	10
143	07shiny	10
143	Shin69	10
143	Enderxz3	10
151	Hyugo	9
151	livingdaydreams	9
151	Xalithia	9
151	Fuhrer_Teemo	9
151	Fuad_R	9
151	K_a__a_n	9
151	anbbang	9
151	HesDemonPants	9
159	Vizzoid	8
159	_Nuf	8
159	NotMeanttoChange	8
159	SellyZ	8
159	CollinMH06	8
159	RobotMinion101	8
159	Onennon	8
159	Tyrannosplart	8
159	AltnumberF4	8
159	Yahrto	8
169	Groovy_MoonBird	7
169	RebelAndroid	7
169	Blackberry1310	7
169	ProfessorBee	7
169	LexMakesHistory	7
169	Quincannon	7
169	SingedBread	7
169	Fildyr	7
169	stavgod	7
169	ediballbearings	7
169	2blox_	7
180	SmashingPump	6
180	CoffeeNoir	6
180	jushykins	6
180	Rich_Kat	6
180	TheDankPlatypus	6
180	oscminus	6
180	claivin	6
180	Smiguli_	6
180	Majonezzon	6
180	SvenskaHugo	6
180	djancak	6
191	PhantomsGhost_	5
191	AshleeCW	5
191	Sleek_Storm_721	5
191	Rox_The_Box	5
191	Cryptacity	5
191	Kkanot	5
191	DTwenty	5
191	Lutres_	5
191	Soap_Bender	5
191	NameGenerat0r	5
191	Nycteus_	5
191	OffWithTheirHead	5
191	monky_irl	5
191	LilcoinXX	5
191	starbits140	5
206	ECstardust	4
206	I_Am_Mushkin	4
206	carloselpapii	4
206	TheSecondLord	4
206	Nicky_H225	4
206	excelsionprime	4
206	mwrty	4
206	legal_tax_evader	4
206	SlayerCrypto	4
206	andy_rex	4
206	Shiirazu	4
206	MustaLoordi	4
206	BumbleBeever	4
206	Spenduh	4
206	ItsJunoIGuess	4
206	Eczbek	4
206	Iamthejo	4
206	Jordan_R	4
206	FishisTTV	4
225	teslawolf38	3
225	KingFaenor	3
225	Jahara	3
225	Huwulling	3
225	Da_Boss_Rani	3
225	heckface	3
225	Prodiginus	3
225	picardred	3
225	Malorn_Aetherius	3
225	kekhon	3
225	500am	3
225	Leyna3	3
225	DemTechAlpha	3
225	Deerfoot	3
225	BartekB19	3
225	GravitySaint	3
225	Kubeusz2010	3
225	Legendosh	3
225	ThatBurritoTh0	3
225	Freedrik	3
245	dimondking777	2
245	Merv__	2
245	shineh10	2
245	bigstankyy	2
245	ColeSnyder	2
245	ExtraDumb	2
245	tuckerdoodle	2
245	youhjjhhhjj	2
245	ShedJr_	2
245	Swexti	2
245	ThePoliteG	2
245	TheThomas69	2
245	GLLogan2	2
245	theonlymagikarp	2
245	John6970	2
245	Winklepicker279	2
245	hanaryheatwave	2
245	Kondzik2008	2
245	CrateOfBoxes	2
245	ApophisNova	2
245	Sqwishy	2
245	zToasty69z	2
245	LeonelSalamanca	2
245	Cyntrical	2
245	Steve897	2
245	ElKaySVK	2
245	layabout100	2
245	Pickel_Lord	2
245	Strangemonkey71	2
245	SammiWolfGirl	2
245	PlzNoBM	2
245	MyNamaSheff	2
245	JayToe	2
245	h2p_emrld	2
279	H0UNDFRMH3LL	1
279	Crowvens	1
279	Gundam_Steven	1
279	FirsTimeGamingTV	1
279	Euclidoris	1
279	irregularshed	1
279	Zedducius	1
279	Secret_Canary	1
279	Masssonnn	1
279	Eraza	1
279	KGTV	1
279	Noah_Bez	1
279	shadowthemonkey	1
279	ImDisconnected_	1
279	JitteryJared2	1
279	_Boipl_	1
279	AuroraSkies	1
279	luseis	1
279	_Bguette_	1
279	Darkgon	1
279	Quaintster	1
279	DolphinLaugh	1
