rank	username	minecraft:used/minecraft:nether_quartz_ore
149	TechnoNinja64	54
150	Sheldor097	53
151	Xclax101	52
152	Druid95	51
153	Barlycorn	50
153	anbbang	50
155	NatalieTW	45
155	Ssor69	45
155	Nycteus_	45
158	T045RTY	44
158	sp00ky_ghost977	44
160	MinttyFressh	42
160	mwrty	42
162	wwwwinnebagoooo	41
162	Steelynan	41
164	6king6colt6	39
164	hanaryheatwave	39
166	diamondgolem35	37
167	CalebDHawk	36
168	SammiWolfGirl	35
169	masskedman	34
170	Apollo_993	33
170	smogfrog	33
172	Jamstroxian	32
172	potatocan	32
172	Powowowow	32
175	ReSynced	31
176	PazinGaming	30
176	Onennon	30
178	eiC_	29
179	DarkS0L	28
180	lizardfightclub	25
180	LazySupport00	25
182	Maenara	23
183	ECstardust	22
183	Eraxa	22
183	Kubeusz2010	22
186	Ryker	21
186	Hiryu27	21
186	FreakGenius	21
186	UCP_TheKingK	21
190	Legendosh	19
190	WYFYoyo	19
192	Megarboh	18
192	Fullut	18
192	ARandomHedge	18
192	selectrix	18
196	Typadopoulos	17
197	Alteriity	16
197	Njensen7	16
199	_Huge_Male_	15
199	Lez_	15
199	Rich_Kat	15
199	domagawha	15
203	Zaridey	14
203	StarCookiees_	14
205	Bandito_Roamer	13
205	ProfessorDiaper	13
205	lcvezra	13
208	12Magner05	12
208	MrExplorer	12
208	SuperPooch06	12
208	epiksk8erduck	12
208	ReflexCode	12
213	Truckoss	11
213	Mattesco	11
213	PaperCanvas	11
213	diggydog67	11
217	Matemax	10
217	mattybeewrapss	10
217	Nyxiom_	10
220	H0UNDFRMH3LL	9
220	Myszoaz	9
220	SharpDev	9
220	whoaluv	9
220	Rumpletaezer	9
220	xzvu	9
220	Northernrabbit	9
227	KomputerDude	8
227	NoChumpChange	8
227	Factoroni	8
230	Groovy_MoonBird	7
230	H72l9w	7
230	PegLegPete93	7
230	groofles	7
230	EngagedGrub41	7
235	BlancoFlaco	6
235	Historical_Sand	6
235	Nicky19	6
235	fw3xy74	6
235	DarlaMeow	6
235	stavgod	6
235	Decaying_Lotus	6
242	titanlax	5
242	Donutt	5
242	handsome_strong	5
242	Racengan	5
246	Miroryk	4
246	fluddd	4
246	SvenskaHugo	4
246	Kowcio_	4
246	PortlyPete69	4
246	The_SlideV5	4
252	CLG_Kata	3
252	ssleepless	3
252	Incinere	3
252	Prismyst	3
252	Archsam	3
252	gaziter10	3
252	Valoth	3
252	Saucepeh	3
252	RobotMinion101	3
252	Inbefour	3
252	Tyrannosplart	3
252	Vorlice	3
252	WyngGoy	3
252	ItsDeltaMC	3
252	_Mythic____	3
252	voiding_	3
252	brofrickcheaters	3
252	UltraZombie	3
252	MissCeleste7	3
252	MrMeisterProper	3
252	Sral7	3
273	Crowvens	2
273	ITDV	2
273	Da_Boss_Rani	2
273	MattieHD	2
273	Cortexia	2
273	_Nuf	2
273	Chromary	2
273	pappaberg	2
273	Hoid_the_Roamer	2
273	Rebytre	2
273	Voxin2K	2
273	ElKaySVK	2
273	Cocoamallows	2
273	Razzgriz	2
273	IvarEXE	2
273	UrbanPlanningEx	2
289	RoskobiOne	1
289	fanofbands101	1
289	Vizzoid	1
289	BobDeBouwer1337	1
289	500am	1
289	Eraza	1
289	prizm_	1
289	iHuBlack	1
289	Zoeyfortnite	1
