rank	username	minecraft:used/minecraft:iron_door
195	MelodyGaysharks	5
222	Jovaphobic	4
222	PhantomsGhost_	4
222	dabloons	4
222	PazinGaming	4
222	I_Am_Mushkin	4
222	Sabby65	4
222	Incinere	4
222	jimintyy	4
222	Natty	4
222	tsohomie	4
222	Archsam	4
222	jessewegottacook	4
222	TheSecondLord	4
222	MattieHD	4
222	Secret_Canary	4
222	Jokerman369	4
222	4774	4
222	olliebollie48	4
222	eiC_	4
222	TheDankPlatypus	4
222	M_Patata	4
222	Karetoko	4
222	UMosDiesIrae	4
222	kars0n	4
222	Voxin2K	4
222	ooga47	4
222	FishyBoy3811	4
222	GooseWithin	4
222	wezzzi	4
222	LeonelSalamanca	4
222	masskedman	4
222	Russiancat1	4
222	The_slideV3	4
222	Matorz	4
222	SkateboardR6	4
222	Vorlice	4
222	SvenskaHugo	4
222	Zetsey	4
222	yatsuta	4
222	UCP_TheKingK	4
222	Professor_x8	4
222	_i_ERROR_i_	4
222	Western_1	4
222	Ir0npack	4
222	Nargotah	4
222	Nicserso	4
222	UrbanPlanningEx	4
269	chipklip	3
269	shineh10	3
269	Tommhh	3
269	Frozil20	3
269	livingdaydreams	3
269	AlazelTheReal	3
269	Pofen	3
269	Saucepeh	3
269	xPixelRainx	3
269	TheThomas69	3
269	SteveCraftBlocks	3
269	Fullut	3
269	Z3braYTIL	3
269	SUSUGAM	3
269	VanJosh	3
269	benediktine1	3
269	prizm_	3
269	Bazongoman	3
269	swag_bro2004	3
269	WET_WET_WET	3
269	Donutt	3
269	Muffindrake	3
269	RohnJosin	3
269	Samificator	3
269	Klerick	3
269	TheSeismicDuck	3
269	Inbefour	3
269	Living_Storms	3
269	Deathkob	3
269	_Bguette_	3
269	DrGrant	3
269	Quincannon	3
