rank	username	minecraft:used/minecraft:oak_fence_gate
142	_Karmaa	10
142	ReyTheLegend	10
142	PortlyPete69	10
142	mobunni	10
153	ewsophie	9
153	Nach0Bear	9
153	ROY4LE	9
153	TheDankPlatypus	9
153	Akoot_	9
153	fluddd	9
153	__tomato	9
160	MixerDixer	8
160	ssleepless	8
160	ProfessorBee	8
160	zMarciano	8
160	eiC_	8
160	CharlieButt	8
160	Windo_licker	8
160	Felenov	8
160	fred870d	8
160	Cyntrical	8
160	markaus77	8
160	SSytex_X	8
172	IWorkAtIkea	7
172	Solar_Power	7
172	xo_Marren_xo	7
172	binman420	7
172	Lord_Zacler	7
172	PabloGonza02	7
172	CoryJJ	7
172	zmpeg	7
180	Matemaks2137	6
180	ccormacs	6
180	Ardennes	6
180	500am	6
180	TableTim	6
180	CarltheCuck	6
180	whoaluv	6
180	Maenara	6
180	Inbefour	6
180	Nagasaki_Riku	6
180	jaimshae	6
180	SpicyDuckMan	6
180	xorompole	6
193	abramgray	5
193	awesomeoneme	5
193	Ssor69	5
193	chlorinex	5
193	minersam1	5
193	Kamflame10	5
193	PegLegPete93	5
193	Zaridey	5
193	Jackattack53	5
193	Kouridragon	5
193	Rasmanden	5
193	NoChumpChange	5
193	DarkS0L	5
193	sp00ky_ghost977	5
193	07shiny	5
193	yatsuta	5
193	anbbang	5
210	DepressedCubic	4
210	Sebaschan__	4
210	Jackster03	4
210	ShedJr_	4
210	kekhon	4
210	TheThomas69	4
210	UncreativeArtist	4
210	LeauVox4921	4
210	SLASHZEERA	4
210	hcb238	4
210	SHAOBADMAN	4
210	Rebytre	4
210	epiksk8erduck	4
210	skelctal	4
210	AlexxO_o	4
210	groofles	4
210	TheSeismicDuck	4
210	ProfessorDiaper	4
210	SammiWolfGirl	4
210	_TCARREIRA_	4
210	Kferno	4
210	momis24	4
210	Kateesaur	4
233	H72l9w	3
233	Prodiginus	3
233	cowgirlkasia	3
233	ratglock	3
233	DarkFisto	3
233	HypixelForums	3
233	LitoDelvito	3
233	nitram49b	3
233	AJplaysMC_	3
233	Silvo614	3
233	Fast_Turtle	3
233	Flucxks	3
233	MustardDrinker	3
233	Onennon	3
233	jewbacaman	3
233	yulgur1	3
233	Meatlaugh	3
233	Quincannon	3
233	Blu3beast	3
233	Blaiku	3
233	BumbleBeever	3
233	wwwwinnebagoooo	3
233	cytotoxaint	3
233	bloomkieren	3
233	a_smol_bean	3
233	al626win52	3
233	MissCeleste7	3
233	Apicomplexa	3
233	RadarHz	3
233	calamariclam_I	3
233	Deliriohm	3
264	Jovaphobic	2
264	weezygator	2
264	Groovy_MoonBird	2
264	fanofbands101	2
264	xXTheWolfmanXx	2
264	ExtraDumb	2
264	Killercatty78	2
264	Hpdinosaur	2
264	livingdaydreams	2
264	Reamdin	2
264	MSK__	2
264	Swexti	2
264	TheMaster972	2
264	nocturne78	2
264	heckface	2
264	roxycherry	2
264	Malorn_Aetherius	2
264	o0z	2
264	zorin123	2
264	lilsay	2
264	leaf26	2
264	Flapjacker687	2
264	mwrty	2
264	KGTV	2
264	eviltunix	2
264	ReverendSmith	2
264	loveseeker	2
264	valiSW	2
264	mick407	2
264	_8man	2
264	RyuNeko932000	2
264	WarMachina	2
264	domagawha	2
264	regulator75	2
264	DeeDeeThonk	2
264	seramalen	2
264	superGamerBoy_	2
