rank	username	minecraft:used/minecraft:milk_bucket
227	ImpavidArcher	5
227	Zythose	5
227	SvenskaSara	5
227	El_Jalapeno	5
227	Xclax101	5
227	lordpipe	5
227	yatsuta	5
227	somegirl12_	5
227	obzii	5
237	SyK7	4
237	dimondking777	4
237	livingdaydreams	4
237	youhjjhhhjj	4
237	NinjaKnifeKill	4
237	H72l9w	4
237	nocturne78	4
237	ProfessorBee	4
237	TheShyPig	4
237	wezzzi	4
237	Inbefour	4
237	Deathkob	4
237	Barlycorn	4
237	Cocoamallows	4
237	KujikawaRisechi	4
237	Hermanni__	4
237	little_dUki	4
237	jnp_gaming	4
255	shineh10	3
255	xXTheWolfmanXx	3
255	Iagoku	3
255	Myszoaz	3
255	Ardennes	3
255	Guillemet	3
255	himak1	3
255	Xalithia	3
255	CollinMH06	3
255	whoaluv	3
255	DAD_1996	3
255	Felenov	3
255	J4ko8_	3
255	Lord_Zacler	3
255	sufjanlover	3
255	_Bguette_	3
255	MAns_44	3
255	MightyWertu	3
255	monky_irl	3
255	ZoharGoldMine	3
255	PabloGonza02	3
255	Nekomin0	3
255	jcool7	3
255	Iamthejo	3
255	Sral7	3
280	Mr_Byzantine	2
280	SaucyDark	2
280	Wooptey	2
280	Ryker	2
280	Alteriity	2
280	Sparky_KT	2
280	Jakobo1337	2
280	MattieHD	2
280	PegLegPete93	2
280	Covalents	2
280	Mobstr	2
280	The11thDoctor	2
280	ooga47	2
280	aa2x_	2
280	natajimi	2
280	SolicitedPuma101	2
280	KermitTheKripple	2
280	QueenShuvi	2
280	FlashMigma	2
280	the__Reaper4999	2
280	ProfessorDiaper	2
