rank	username	minecraft:used/minecraft:snow_block
195	bl1ss0	17
197	shineh10	16
197	Hpdinosaur	16
197	S4tox	16
197	dartwaffle	16
197	FadedSpade82	16
197	Juh1s	16
203	Archsam	15
203	Felenov	15
203	epiksk8erduck	15
203	Blaiku	15
203	Crynrus	15
203	_i_ERROR_i_	15
203	robonya_	15
210	AlazelTheReal	14
210	00000000-0000-0000-0009-01ff0c3e5e4f	14
212	Arceus1975	13
212	The11thDoctor	13
214	CLG_Kata	12
214	rotten_mango	12
214	ReflexCode	12
214	miramyu	12
218	lorpus	11
218	Inchef	11
218	DAD_1996	11
218	ItsAki_	11
218	Kynigito	11
218	FelixPSY375	11
218	2blox_	11
225	6king6colt6	10
225	gcaisawesome	10
225	Aavermu	10
225	yheece	10
225	wezzzi	10
230	Cryptacity	9
231	Flapjacker687	8
231	Xalithia	8
231	RedcatVII	8
234	Alteriity	7
234	Zaridey	7
234	Snowflowe	7
234	Maenara	7
234	Erased_Identity	7
239	Apollo_993	6
239	hm947	6
239	nocturne78	6
239	Kkanot	6
239	J4k__	6
239	Rasmanden	6
239	FreakGenius	6
239	TheEnderMan548	6
239	jcool7	6
239	Kubeusz2010	6
249	livingdaydreams	5
249	excelsionprime	5
249	emrekn	5
249	eviltunix	5
249	pretty_pink_reno	5
249	WyngGoy	5
249	elliebelle107	5
256	1ochi	4
256	fanofbands101	4
256	q_wq	4
256	powercas_gamer	4
256	jimintyy	4
256	skroobiez	4
256	Miroryk	4
256	The_Fulgurator	4
256	FishyBoy3811	4
256	zToasty69z	4
256	Hahaa_0	4
256	Buuck_	4
256	SpacesickPrism	4
256	Sheldor097	4
270	Rumpletaezer	3
270	BusinesManFrecks	3
270	Cruncy_	3
270	PaperCanvas	3
270	The_slideV3	3
270	Smiguli_	3
270	LeeMcGee30	3
270	momis24	3
270	UrbanPlanningEx	3
270	Faart	3
280	j5ylim	2
280	No_Bena	2
280	nattybears	2
280	Reamdin	2
280	CyL0_	2
280	Arivana	2
280	Tiberonus	2
280	Guillemet	2
280	wiqor	2
280	Smashic	2
280	Laykon	2
280	Dali1465	2
280	John6970	2
280	Kakolbus	2
280	MyNameIsJobo	2
280	Chromary	2
280	_8man	2
280	Donutt	2
280	RebytreGT	2
280	Jekyll	2
280	Skylord_Luke	2
