rank	username	minecraft:used/minecraft:nether_wart
134	Groovy_MoonBird	94
134	Racengan	94
136	binman420	93
137	Quaintster	92
137	MS_Pryxx	92
137	djancak	92
137	Njensen7	92
141	Inchef	89
142	Paint	88
142	Zythose	88
144	bladeefan2009	87
145	Apicomplexa	86
145	00000000-0000-0000-0009-01ff0c3e5e4f	86
147	The_slideV3	84
148	Smashic	83
148	legal_tax_evader	83
150	Batoser	82
151	Auseawesome	81
152	SSytex_X	80
153	LetsDoItLive	77
153	33sudo	77
155	Fuhrer_Teemo	74
156	Sheldor097	72
157	Barlycorn	70
158	SaintJosie	67
159	TooManyDuck	66
159	UncreativeArtist	66
159	Fildyr	66
162	RadarHz	65
163	gabriels543	63
164	Mahoose	60
164	Euclidoris	60
164	Zetsey	60
164	_TCARREIRA_	60
168	youhjjhhhjj	59
168	Cryptacity	59
170	ZA07	56
171	Ailmast	55
172	Queen_Jalapeno	54
172	IamCL4SSY	54
174	MattieHD	53
175	PhantomsGhost_	52
175	ShedJr_	52
175	ITDV	52
175	MAns_44	52
179	Guillemet	51
179	trexgb	51
181	__tomato	50
182	ReSynced	49
182	Skippeh	49
184	Prismyst	48
185	milkedit	47
185	MyNameIsJobo	47
185	sp00ky_ghost977	47
188	SlowMoNinja1994	46
189	Houstonion	45
190	ivorico	44
191	__lizi	43
192	Lutres_Torane	42
192	drumine	42
194	GoofyBread	41
195	Ryker	40
195	livingdaydreams	40
197	popcanter	39
197	masskedman	39
199	Tolhart	38
200	dudcreeper	37
200	corvidpartyfor6	37
200	Kijiki	37
203	Digcove	36
203	M_Patata	36
203	MasterNueve	36
206	301851	35
206	TakeThis2UrGrave	35
206	AnnieBathory	35
206	Ender_Souls	35
210	DarkFisto	34
210	Cerbric	34
212	diamondgolem35	33
212	Leyna3	33
212	Jiminbub	33
212	Tyrannosplart	33
212	1442	33
217	Stynxy	32
218	Sleek_Storm_721	31
218	Kouridragon	31
218	Dusk_95	31
218	Professor_x8	31
218	h2p_emrld	31
223	TAKrules	30
223	audiocracked	30
223	MyNameIsDakar	30
223	GravitySaint	30
227	Donutt	29
227	Spacewardharpy7	29
227	NotMeowMix	29
230	tramizu	28
230	zorin123	28
230	wiqor	28
230	120s	28
230	Hermanni__	28
235	monky_irl	27
235	sea_otter_h	27
237	MrExplorer	26
237	stellarjay	26
237	Yahrto	26
240	shyshyannne	25
240	stijnbro	25
240	LeeMcGee30	25
240	laron58	25
240	MissCeleste7	25
245	jacxhadow	24
245	cog	24
247	SquashyHydra	23
247	5712	23
249	_Dean_123	22
249	SeverianTheLame	22
249	Bawbman	22
252	luvcheesecake	20
252	BilboBaggins23	20
252	SharpDev	20
252	selectrix	20
252	Leithz6	20
252	anbbang	20
258	dabloons	19
258	gaziter10	19
258	AJplaysMC_	19
258	RobotMinion101	19
262	Malorn_Aetherius	18
262	walll	18
262	Warlord324	18
265	boysnort	17
266	ABUSNA1996	16
266	DTwenty	16
268	Onennon	15
269	KingFaenor	14
269	Frozil20	14
269	nitram49b	14
269	HAruSAme14	14
269	jnp_gaming	14
274	Sparky_KT	13
274	whoaluv	13
274	NoChumpChange	13
274	OG_Songsee	13
278	Swexti	12
278	Valoth	12
278	Lumien_	12
278	PegLegPete93	12
278	LAVA129	12
278	thgrocks	12
278	DASH_X7	12
278	AvaRosey	12
286	J4ko8_	11
287	dopplexd	10
287	MindyDooWho	10
287	moonman169	10
287	RealGroot	10
287	MADDMASTA	10
292	Cowison	9
292	KarlKaek	9
292	_8man	9
292	jcool7	9
296	RatatJuice	8
296	Motsaro	8
296	__TheNorseMan__	8
296	Russiancat1	8
300	jushykins	7
