rank	username	minecraft:used/minecraft:chipped_anvil
122	MasterNueve	3
122	MakeHistory157	3
122	StarCookiees_	3
122	Soul_Atreus	3
122	ProbsNotNova	3
122	alderban107	3
122	Ezekson	3
122	Legendosh	3
122	diggydog67	3
152	RosaDoesMC	2
152	k_ce	2
152	Mr_Byzantine	2
152	Apollo_993	2
152	PhantomsGhost_	2
152	TooPure2	2
152	teslawolf38	2
152	KarlKaek	2
152	ImpavidArcher	2
152	Killercatty78	2
152	Incinere	2
152	Wooptey	2
152	RebelAndroid	2
152	AlazelTheReal	2
152	Jackster03	2
152	ITDV	2
152	H72l9w	2
152	301851	2
152	Swexti	2
152	ccwildfire1	2
152	ilynyan	2
152	Valoth	2
152	Malorn_Aetherius	2
152	m_be9	2
152	noodlepack	2
152	ConcretePirate	2
152	Smashic	2
152	Mewar	2
152	eviltunix	2
152	SharpDev	2
152	xxPipperDipperxx	2
152	Covalents	2
152	Windo_licker	2
152	Giannism	2
152	fr_ser	2
152	LAVA129	2
152	Hiryu27	2
152	oscminus	2
152	ooga47	2
152	Truckoss	2
152	F_Uhre	2
152	Mattesco	2
152	Jonte0599	2
152	cedric72	2
152	MousePlays	2
152	KliBeast21	2
152	wezzzi	2
152	Tropiicant	2
152	yulgur1	2
152	Karbl	2
152	_Karmaa	2
152	ewpunk	2
152	FlashMigma	2
152	Blu3beast	2
152	censorsheep	2
152	MightyWertu	2
152	Warlord324	2
152	Hisiste	2
152	Factoroni	2
152	Burge_r	2
152	ayamefag	2
152	kyouma777	2
152	voiding_	2
152	SammiWolfGirl	2
152	NATE_the_HALO	2
152	LeeMcGee30	2
152	EngagedGrub41	2
152	TheBananaKat	2
152	OfficerAnvil	2
152	Aryamanee	2
152	Iamthejo	2
152	EcksD	2
152	RadarHz	2
152	Nicserso	2
226	JuckFuan	1
226	Groovy_MoonBird	1
226	Zee_zey	1
226	Matemax	1
226	NatalieTW	1
226	Froste131	1
226	JohnnyFyes	1
226	chipklip	1
226	_Huge_Male_	1
226	dudcreeper	1
226	fanofbands101	1
226	BPTY4618	1
226	_darky1_	1
226	KingFaenor	1
226	Tommhh	1
226	chimpmunker	1
226	Creativebuilder2	1
226	Iagoku	1
226	ssleepless	1
226	TooManyDuck	1
226	LagVibes	1
226	lorywithay	1
226	Natty	1
226	lotarp	1
226	TAKrules	1
226	MoistMicrowave	1
226	Arteriana	1
226	buss081	1
226	SpaceGrenadier	1
226	Meme25327	1
226	Pofen	1
226	gabukun_	1
226	Prodiginus	1
226	picardred	1
226	SnowyAvi	1
226	xPixelRainx	1
226	SDMNAEK	1
226	Cryptacity	1
226	Zedducius	1
226	jacxhadow	1
226	MinttyFressh	1
226	Tiberonus	1
226	ProfessorBee	1
226	Megarboh	1
226	zorin123	1
226	_Dean_123	1
226	Enigma0251	1
226	500am	1
226	Z3braYTIL	1
226	4774	1
226	UncreativeArtist	1
226	lorpus	1
226	Pineapplesugr	1
226	orxngejuice	1
226	Patwannabegamer	1
226	hcb238	1
226	Paintz	1
226	XboxPanda	1
226	SeverianOfUrth	1
226	NLKBuilder	1
226	fallingemma	1
226	breadbowlgamer	1
226	Marbz_	1
226	thatbeanyboi	1
226	GOOBERGABE04	1
226	hanaryheatwave	1
226	WET_WET_WET	1
226	Zythose	1
226	King_Pancake1	1
226	Reneedium	1
226	Lo_zio_Diego	1
226	Rebytre	1
226	Skylord_Luke	1
226	CaptainDeadBread	1
226	The11thDoctor	1
