rank	username	minecraft:used/minecraft:iron_bars
215	Eraza	56
215	fkGrim	56
218	RobotMinion101	55
219	Natty	54
219	obzii	54
221	Bandito_Roamer	53
221	Jimi7hits	53
223	Kubeusz2010	52
224	Saucepeh	51
224	ooga47	51
224	goldyx	51
224	wezzzi	51
228	Malorn_Aetherius	50
228	Smashic	50
228	PuFY	50
228	Luigipunch989	50
232	drunkeeez	49
232	EcksD	49
232	TheSandwhich_	49
235	ProfessorBee	48
235	ZeroAbyssTTV	48
235	Jackattack53	48
235	SkateboardR6	48
239	U_Mos_	46
240	non089	45
241	jewbacaman	44
241	iSammael	44
243	Wooptey	43
244	q_wq	42
244	RebelAndroid	42
244	cedric72	42
244	Groundler	42
248	Crowvens	41
248	2Stout	41
250	6king6colt6	40
251	GreedyFern8581	39
251	NomadicRobin_	39
251	Spenduh	39
251	KamFurnace	39
255	Napoleonpancake	38
255	Admiral_Fizzy	38
255	dendydoom	38
255	RebytreGT	38
255	dartwaffle	38
260	Yahrto	37
261	Luminad3	36
262	Pumpkin_P_Patch	35
263	MuffinManzz	34
263	Shin69	34
265	RadarHz	33
266	Tobinator_007	32
267	Stiar	31
267	Meatlaugh	31
269	gcaisawesome	30
269	prizm_	30
269	BlankityMcBlank	30
272	Froste131	29
272	xXTheWolfmanXx	29
272	Zaridey	29
272	fluddd	29
276	Secret_Canary	28
276	Rumpletaezer	28
276	Nekomin0	28
276	FelixPSY375	28
280	NoxxxxiS	27
280	Fuhrer_Teemo	27
280	Druid95	27
280	SammiWolfGirl	27
284	Cryptacity	26
284	wwwwinnebagoooo	26
284	MovingFish7	26
287	Haadrada	25
287	Powowowow	25
289	_Nuf	24
289	Zythose	24
289	F_Uhre	24
292	shineh10	22
292	MS_Pryxx	22
292	tonyth3tiger	22
292	SpacesickPrism	22
292	krutas2000	22
292	Tristankill	22
298	KarlKaek	21
298	Killercatty78	21
298	fr0stss	21
