rank	username	minecraft:used/minecraft:cooked_cod
120	MeetTheWollo	504
121	Kakolbus	500
122	the_russell1611	497
123	Powowowow	496
124	Swexti	487
125	Ecplosive	483
126	Scathra	480
127	lordpipe	477
128	AlphaWolfPlaysMC	473
129	JohnnyFyes	450
129	Rasmanden	450
131	wezzzi	449
132	JESS_THE_RERE	448
133	QueenShuvi	447
134	Bandito_Roamer	433
134	laron58	433
136	EcksD	432
137	NoChumpChange	418
138	Groovy_MoonBird	414
139	Spacewardharpy7	404
140	Cyntrical	403
141	stahouo	400
142	RodSerlingCringe	399
143	livingdaydreams	395
144	Quincannon	391
145	BlancoFlaco	390
146	SpaceGrenadier	384
146	Rocco_Lane	384
148	BumbleBeever	380
149	CliffEmAll	371
150	H72l9w	366
150	theonlymagikarp	366
152	_Razar	352
153	Incinere	342
154	the__Reaper4999	341
155	AuroraValkyrie	338
156	LetsDoItLive	331
157	Sleek_Storm_721	326
158	ssleepless	324
159	little_dUki	321
160	xPixelRainx	320
161	2Stout	319
162	amkold	315
163	set67	314
164	Di_infiri	311
165	KarlKaek	309
166	Crowvens	306
166	mariominejedi	306
168	pZygh0st	304
168	Soap_Bender	304
170	Hisiste	300
171	strongman951753	298
172	_Dri_	293
173	KliBeast21	281
174	DemTechAlpha	280
175	Natty	279
175	Jordan_R	279
177	Chrisdeadeye	277
178	Yahir091	276
179	RadarHz	274
179	jnp_gaming	274
181	Fuhrer_Teemo	271
182	NoxxxxiS	267
183	chlorinex	264
184	fanofbands101	263
185	chipklip	262
186	Notta	260
187	Dusk_95	259
188	Wooptey	257
188	SpookyDraggin	257
188	diggydog67	257
191	Onennon	256
191	kyouma777	256
191	TechnoNinja64	256
194	smogfrog	255
195	slkiey	251
195	Yahrto	251
197	NomadicRobin_	244
198	MousePlays	243
199	Teebone15	241
200	PegLegPete93	239
201	Mistruth	237
202	Strangemonkey71	233
203	Frozil12	232
204	Leyna3	229
205	Nekomin0	227
206	Unitas_isa	225
207	RatatJuice	224
207	SlimeBOI03	224
209	NinjaKnifeKill	222
210	ooga47	220
210	Airem_Core	220
210	KingMatthew506	220
213	mawileite	219
214	DanielMmm	215
215	JEWISHBadenBeele	214
216	SpouHn	213
217	AlazelTheReal	211
218	elicobnoah	210
219	_k2x	208
220	Kateesaur	205
221	JohnPrice	204
222	Nach0Bear	203
222	DC_XII	203
224	Omar_Alone	199
225	Ssor69	197
226	Da_Boss_Rani	196
226	DirtyDalle	196
226	Winston_Ingram	196
229	_Karmaa	195
229	RedcatVII	195
229	TheALV	195
232	DiscardedCE	192
232	Megarboh	192
232	SharpDev	192
232	UCP_TheKingK	192
236	Healthing	190
236	ewpunk	190
236	cringenaynaybaby	190
236	Pickel_Lord	190
240	Seyaboy	185
240	GoofyBread	185
242	error10101	181
242	xxPipperDipperxx	181
244	mimbo1211	180
244	DeGodz4life	180
244	djancak	180
247	Leonidas2k17	179
248	GingerNeutron	178
248	WYFYoyo	178
250	audiocracked	174
251	jacxhadow	171
252	__Fanda__	169
253	ese_wn_po	167
254	_Magdo_	165
255	AshleeCW	164
255	xXTheWolfmanXx	164
255	WarHammer3	164
255	G1ldor	164
255	PigDab	164
260	SSytex_X	160
261	KnightmareD	157
261	Toriankel	157
263	purpolepickle	156
264	joethahobo	155
264	fw3xywashere	155
266	boog4loo	154
266	Groundler	154
266	silverpopcorn	154
269	Lukeee33	152
270	nocturne78	150
270	Malorn_Aetherius	150
270	CharlieButt	150
273	lcvezra	149
274	Cortexia	147
275	Jackster03	146
275	IAmTheWalrus910	146
277	Prodiginus	145
277	nitram49b	145
277	Soplight	145
277	Slapface522	145
281	CruncyIsTaken	144
281	BRRRN179	144
281	Nycteus_	144
284	dongli	143
285	Spaghettatron	141
285	4383	141
287	_Nuf	139
287	MAns_44	139
289	Hail_the_wombat	138
290	Misato_0	137
291	MineMaster0012	136
292	TAKrules	135
293	madderfall	134
294	Lutres_Torane	133
294	TheOuterCore	133
296	xX_Stalin69_Xx	132
297	fr0stss	130
297	Afinnity	130
299	wickedword	129
299	halfbakedlasagna	129
