rank	username	minecraft:used/minecraft:dark_oak_planks
131	CalebDHawk	877
132	Ze_BaronKrigler	876
133	LeauVox4921	857
134	Ecplosive	839
135	Yirtle	820
136	Typadopoulos	805
137	MindyDooWho	790
138	bruh072	789
139	Mahoose	773
140	Eraxa	772
141	Meatlaugh	761
142	Ganongeek	750
143	BlankityMcBlank	748
144	benediktine1	747
145	ShedJr_	742
146	Jakobo1337	727
147	Tristankill	712
148	avalan64	703
149	Barlycorn	702
150	MyNameIsJobo	701
151	__tomato	698
152	ApophisNova	686
152	MyNamaSheff	686
154	KlausVonStiglitz	684
155	ZigzagLily43042	682
156	PlasticOtari	676
157	Motsaro	675
158	CliffEmAll	673
159	catandmoose	670
160	Matorz	667
161	Deathkob	666
162	2bolx_	665
163	The_Fulgurator	659
164	Kakolbus	658
165	Rexorout	647
166	censorsheep	633
167	MakeHistory157	611
167	Soplight	611
169	cichy096	601
170	EMC_	599
171	NormanFetus	598
172	LilyNova	593
173	TildaAndrea	590
174	ITDV	583
175	MyNameIsDakar	582
176	Deguns123	579
177	thgrocks	569
178	lordpipe	562
179	LexMakesHistory	561
180	PigDab	552
181	SammiWolfGirl	542
182	GlitchyPlate810	537
183	seanitoo	536
184	audiocracked	531
184	jnp_gaming	531
186	fkGrim	530
187	AlphaWolfPlaysMC	527
188	Matek_	516
189	parodypatient	514
190	claivin	507
191	NYJ	504
192	Winston_Ingram	501
193	fallingemma	497
194	gabriels543	486
194	Karbl	486
196	The_slideV3	483
197	Huwulling	480
198	Karetoko	477
199	LAVA129	473
200	ratglock	465
200	PncakeUniverse	465
202	dongli	461
203	smogfrog	452
204	LeGold	448
205	CoffeeNoir	444
206	Bandito_Roamer	430
206	NomadicRobin_	430
208	sp00ky_ghost977	428
209	youhjjhhhjj	424
209	CrazyPotater	424
211	Touched_Bread	422
212	WYFYoyo	419
213	NoxxxxiS	416
214	Ardennes	413
214	Toriankel	413
216	Snowflowe	411
217	intropass	398
218	aao001	393
219	anbbang	389
220	IamCL4SSY	387
221	thescout7	385
222	YungMaki	383
223	Ch4osDoom64	373
224	prizm_	372
225	weabis	369
226	SellyZ	360
227	Fuad_R	353
228	ArdaAslan02	347
229	tramizu	345
230	TechnoNinja64	340
231	Steelynan	334
232	ImpavidArcher	333
232	Chromary	333
232	Sral7	333
235	Airem_Core	331
236	nocturne78	330
237	DinoDoctor_	328
238	Stiar	322
239	420BreadLizard	321
239	LeeMcGee30	321
241	snizv1	319
242	DarlaMeow	310
243	ImDisconnected_	308
244	DebbieBrunswick	301
245	pr33tu	300
246	buss081	298
247	_Huge_Male_	284
248	KingMatthew506	281
249	Sheldor097	277
250	Bumpy419	276
251	PegLegPete93	273
251	thewindmillman	273
253	Lotheburgh	272
253	Hyugo	272
255	diamondgolem35	265
256	LittleBug562	259
256	Lekol	259
258	heckface	258
259	tobinwilliams	249
260	Chayula	246
261	JayToe	245
262	platinumzero	244
263	Myrlewen	242
264	Blazebit	235
265	SquadMonster	228
266	LilLizardWizard	227
267	bpmm	225
268	Rumpletaezer	224
269	Blaiku	222
270	The_SlideV5	218
271	RohnJosin	217
272	Travka100	216
273	minersam1	213
274	00000000-0000-0000-0009-01f073f37a91	212
275	Leyna3	211
275	07shiny	211
277	DC_XII	207
278	potatocan	206
279	felincaus	205
280	Khelvoryk	196
281	00000000-0000-0000-0009-01f80c5e9346	194
282	the_russell1611	187
282	Hermanni__	187
284	MusicMe1005	185
285	Jimi7hits	182
286	Lord_Zacler	179
287	mariominejedi	177
287	brycepants	177
287	DarkS0L	177
290	tuckerdoodle	173
291	Akoot_	172
291	wirelesstree	172
293	Mr_Byzantine	169
294	Jalvajar	168
295	Sleek_Storm_721	165
295	Smiguli_	165
297	2Stout	163
298	Norrhede	162
298	yaboo88	162
300	dezxalo	160
