rank	username	minecraft:used/minecraft:lava_bucket
155	RocketRidge	64
155	Deodorante	64
158	SaucyDark	63
158	SyntheticSurgeon	63
158	Ssor69	63
158	FishisTTV	63
162	SaphLaseer	60
163	bloodbiter	59
164	ROY4LE	58
164	skrongus	58
166	KingFaenor	55
166	Comma__	55
168	iSammael	53
169	seanitoo	52
169	yoyonovice63	52
169	prizm_	52
169	HoldThatPee	52
169	NATE_the_HALO	52
174	ECstardust	51
174	Ryker	51
174	Kubelz	51
174	Onennon	51
178	SUN_DREAM	50
179	_bubbley_	49
179	Legendosh	49
181	k_ce	48
181	ITDV	48
181	Kowcio_	48
181	MilleGrug	48
185	CoffeeNoir	47
185	FirsTimeGamingTV	47
185	_Mythic____	47
185	jcool7	47
189	kekhon	46
189	RadarHz	46
189	CrazyPotater	46
192	MuffinManzz	45
192	MattieHD	45
194	RoskobiOne	44
194	Lez_	44
194	TheThomas69	44
194	Hiryu27	44
194	Fuhrer_Teemo	44
199	dimondking777	43
199	I_Moose	43
199	TheHarryMeister	43
199	layabout100	43
199	camando92	43
204	Elastiq	42
204	LordAurum	42
204	KingMatthew506	42
204	Sral7	42
208	Franco093	41
208	Spenduh	41
208	athereall	41
211	youhjjhhhjj	40
211	Auseawesome	40
211	surfinggiraffejp	40
211	sufjanlover	40
215	NatalieTW	39
215	Zaridey	39
215	Winklepicker279	39
215	fr_ser	39
219	EveryonesUncle	38
219	GoofyBread	38
219	Racengan	38
222	Miroryk	37
222	Krowuss	37
222	TitanCrafting	37
225	Badenbeele	36
225	Tiberonus	36
225	MinerDec	36
225	Ze_BaronKrigler	36
225	TheEnderMan548	36
225	AssFullaCum	36
225	TheALV	36
225	The_SlideV5	36
233	xambsam	35
233	groofles	35
233	BlankityMcBlank	35
236	RebelAndroid	34
236	Da_Boss_Rani	34
236	WET_WET_WET	34
239	ebanana	33
240	itburb	32
240	Zythose	32
240	HolyVenom	32
240	LeonelSalamanca	32
240	laron58	32
245	Bobby808	31
245	Kubeusz2010	31
247	Historical_Sand	30
247	Paintz	30
247	Charmyboi	30
247	KermitTheKripple	30
247	censorsheep	30
252	Batman922	29
252	_Boipl_	29
252	sadvavilloso	29
255	shadowthemonkey	28
256	TinMaster	27
256	ClemenPine	27
256	ILoveCarrot	27
256	Lord_Zacler	27
260	ZaneABrain	26
260	Skyle169	26
262	Apollo_993	25
262	xXTheWolfmanXx	25
262	BlancoFlaco	25
262	jessewegottacook	25
262	mwrty	25
262	emrekn	25
262	mick407	25
262	BRRRN179	25
262	Xclax101	25
262	BumbleBeever	25
262	Kura2218	25
262	zmpeg	25
274	Froste131	24
274	teslawolf38	24
274	cedric72	24
274	drumine	24
274	Jij0	24
279	Jorrdi	23
279	MinttyFressh	23
279	Promsiel	23
279	Cocoamallows	23
283	H0UNDFRMH3LL	22
283	ofek_bahaloul	22
283	Whiterooster001	22
283	Vizzoid	22
283	Raspberry_Sodas	22
283	CranialBlowout	22
283	GooseWithin	22
283	ChocolatePepsi	22
283	DemTechAlpha	22
283	LordSpeed37	22
283	561cool	22
283	00000000-0000-0000-0009-01fc3bb26159	22
295	ExtraDumb	21
295	H72l9w	21
295	heckface	21
295	Nicky_H225	21
295	Afinnity	21
295	IdeallyGrey	21
