rank	username	minecraft:used/minecraft:stone_hoe
156	MasterNueve	131
156	Deguns123	131
180	titanlax	130
181	Bazongoman	128
182	dopplexd	127
182	Sral7	127
184	openatheclose	125
184	leaf26	125
186	Prismyst	123
186	Shavrin	123
188	HellsSponge	121
189	comjosh64	119
189	Hisiste	119
191	Toowny	118
192	breadbowlgamer	117
192	grislgrobl	117
192	xsewn	117
195	CoryJJ	116
196	Myrosia	115
196	Blackberry1310	115
198	Winklepicker279	114
198	coobert42	114
200	Purplehere	109
200	seramalen	109
200	Sharkbyte0	109
203	Sparky_KT	108
203	gilesmcriles	108
203	firesgal3116	108
206	H72l9w	107
206	Nyxiom_	107
206	a_smol_bean	107
209	Killswitch_RW	105
209	Hormones	105
209	gaziter10	105
212	MineMaster0012	104
213	eitanzaki	103
213	IWorkAtIkea	103
213	Lumien_	103
213	wrinkledpiglet	103
217	NoChumpChange	102
217	master9067	102
219	TheSecondLord	101
219	Renchi19	101
219	Deerfoot	101
219	Yogscast_Manden	101
223	Bruh77	98
223	Sleek_Storm_721	98
223	eiC_	98
223	Xi_J1nping	98
227	_AAZAR	97
228	Stynxy	96
228	Misty_Breeze	96
228	fffMike	96
231	Karetoko	95
231	AnnieBathory	95
233	DennyKai	94
234	dimondking777	93
234	Laykon	93
234	Bucscw24	93
237	YungJakobo	92
237	ADEXTV	92
237	pixelviolin	92
240	BreadBacon	91
241	TinMaster	90
241	SlayerCrypto	90
243	Base_Tempest	89
244	dudcreeper	87
245	BobDeBouwer1337	86
245	athereall	86
247	ehunt54	85
248	RustyKedel	83
248	NLKBuilder	83
248	faulder	83
248	ProfessorDiaper	83
252	lordofthelight95	82
252	xxPipperDipperxx	82
252	Arceus1975	82
252	stuy9	82
252	carpet4_69	82
257	prizm_	81
257	juuustpeachy	81
257	_8man	81
257	Juh1s	81
261	RebelAndroid	80
261	stopfive	80
261	falcn15	80
261	Schlitzman	80
265	FGamerJ	77
266	BlossomOwO	76
267	_j_u_n_o_	75
267	underscore_2	75
269	jpoxman	74
269	ImpavidArcher	74
269	WarHammer3	74
269	Shiirazuku	74
269	Western_1	74
274	minersam1	73
274	striker90333	73
276	Minc_	71
276	Chuglyfe	71
278	Meepcraft	70
278	balin55	70
280	AlexStrange	68
280	WYFYoyo	68
282	Cryptacity	67
282	bluemage31	67
282	XenoWolf_ITA	67
285	Peeing	66
285	GravitySaint	66
287	mrnosetackle	65
287	Glowhetic	65
289	PhantomBionic	64
289	NoxxxxiS	64
289	Kynigito	64
289	AlphaWolfPlaysMC	64
293	MentheMan09	63
294	JohnnyMines	62
294	ILoveCarrot	62
294	KermitTheKripple	62
297	ooga47	61
297	StinkyDiplomat	61
299	elijahmaroney	60
300	nocturne78	59
