rank	username	minecraft:used/minecraft:flint_and_steel
193	CliffEmAll	91
193	SuperPooch06	91
193	AstreaTSS	91
196	Windo_licker	90
196	Skippeh	90
196	BiggieDawg	90
199	SquadMonster	89
199	r123moore	89
199	Teebone15	89
202	Wowful	88
202	Kubeusz2010	88
204	gren_ben	85
204	MakeHistory157	85
204	AssFullaCum	85
204	Faart	85
204	561cool	85
209	Da_Boss_Rani	84
210	SyntheticSurgeon	83
210	Saucepeh	83
210	RefluxRatio	83
210	cedric72	83
210	starbits140	83
215	calamariclam_I	82
216	CLG_Kata	81
216	Killercatty78	81
216	Vizzoid	81
216	eviltunix	81
216	Onennon	81
221	XxCookiequeenxX	80
222	Malorn_Aetherius	78
223	FishisTTV	77
224	Jonte0599	76
224	ayamefag	76
226	legal_tax_evader	75
227	TheBiggestFeller	73
227	jushykins	73
227	Sheldor097	73
230	6king6colt6	72
230	Avocadogerms	72
230	AltnumberF4	72
233	FirsTimeGamingTV	71
234	Euclidoris	70
234	ZeroAbyssTTV	70
234	KingMatthew506	70
237	imcombxt	69
237	MineMaster0012	69
239	alderban107	68
239	TheOuterCore	68
241	burbankbuilder28	67
241	MustaLoordi	67
241	FelixPSY375	67
241	MelodyGaysharks	67
245	hm947	66
246	Hisiste	65
246	ProbsNotNova	65
246	SprinklerMan	65
249	TildaAndrea	64
249	Tommhh	64
249	Iagoku	64
249	ColeSnyder	64
249	MrKrabOnCoke	64
249	Stynxy	64
249	swag_bro2004	64
249	impossibleteapot	64
249	Billious	64
249	LeGold	64
249	Zielo2017PL	64
249	KliBeast21	64
249	wirelesstree	64
249	Lunkuku	64
249	bndo	64
249	CalebDHawk	64
249	Aryamanee	64
266	aldplaysmc	63
267	Ssor69	62
267	AJbeast01	62
267	NotoriousNina	62
267	SwooshBoi	62
271	_Nuf	61
271	wwwwinnebagoooo	61
273	elmer1234	60
273	DermeinUser	60
273	WET_WET_WET	60
273	Reneedium	60
273	13lolo	60
278	ApophisNova	59
278	MyNamaSheff	59
280	TheSeismicDuck	58
281	Kubelz	57
281	MustardDrinker	57
283	Kkanot	56
283	JETrotter	56
283	F_Uhre	56
283	lillips	56
283	stavgod	56
288	_Razaria	55
288	HesDemonPants	55
290	_Huge_Male_	54
290	Badenbeele	54
290	q_wq	54
290	MrSSoaper	54
290	Secret_Canary	54
295	Aeons666	53
295	SvenskaHugo	53
297	SpaceGrenadier	52
297	ciemacigans	52
297	gcaisawesome	52
297	Elastiq	52
