rank	username	minecraft:used/minecraft:golden_apple
190	heckface	1
190	picardred	1
190	Gooberkid223	1
190	SDMNAEK	1
190	Cryptacity	1
190	jushykins	1
190	Nicky_H225	1
190	Ardennes	1
190	Cortexia	1
190	eclipseboi	1
190	SteveCraftBlocks	1
190	500am	1
190	CyrusIsTired	1
190	set67	1
190	groggregg42	1
190	_Magdo_	1
190	surfinggiraffejp	1
190	2Stout	1
190	Covalents	1
190	ItzYaBoiPicard	1
190	XboxPanda	1
190	Avrelion	1
190	phomic	1
190	Windo_licker	1
190	Jackattack53	1
190	Useless_Relic	1
190	AmbroseForLife	1
190	CranialBlowout	1
190	Mpkkiller	1
190	WhosJPG	1
190	CaptainDeadBread	1
190	out1s	1
190	MinerDec	1
190	Jonte0599	1
190	TheShyPig	1
190	_naturell	1
190	Dan_Scha	1
190	YahooScreen9000	1
190	KliBeast21	1
190	Klerick	1
190	Lord_Jord	1
190	englandlondon	1
190	TheSeismicDuck	1
190	Gryglu583	1
190	XxCookiequeenxX	1
190	_Bguette_	1
190	YungWali	1
190	Emily_Rosa	1
190	majlin16	1
190	Soap_Bender	1
190	_Karmaa	1
190	EfficientC52	1
190	bluefragmentt	1
190	GravitySaint	1
190	DeGodz4life	1
190	yoyoYoloMonke	1
190	cytotoxaint	1
190	SUN_DREAM	1
190	ElKaySVK	1
190	TheTommyGun63	1
190	Chaotic1s	1
190	ElectricDragon81	1
190	07shiny	1
190	Shin69	1
190	pixelviolin	1
190	_TCARREIRA_	1
190	Logain42	1
190	HAruSAme14	1
190	mawileite	1
190	Hermanni__	1
190	Miko_Fullbuster	1
190	oxfordschool	1
190	cichy096	1
190	Nicserso	1
190	FelixPSY375	1
190	Lowjinx	1
190	Powowowow	1
190	Jordan_R	1
190	JayToe	1
190	561cool	1
