rank	username	minecraft:used/minecraft:stone_pickaxe
201	iGotUrHost	925
202	IgnoredBee	923
203	MyNameIsJobo	921
203	SwooshBoi	921
203	Teebone15	921
206	wwwwinnebagoooo	920
206	CACTUSLAD	920
208	lordofthelight95	919
209	Studyhallsaver	918
209	OreoPenguin_	918
209	Xclax101	918
209	Sank34	918
213	BigBootyHudge	917
213	eitanzaki	917
213	Franco093	917
213	Silenttieg	917
217	DangusCnt	916
218	_Magdo_	914
219	NatalieTW	910
220	sufjanlover	902
221	_nahoy	897
221	PortlyPete69	897
223	Racengan	896
224	ItzYaBoiPicard	893
225	Tolhart	892
226	Boogaloo242	889
227	xPixelRainx	882
228	RoskobiOne	865
229	Factoroni	860
230	fluddd	853
231	ibarker21	847
232	Hormones	843
233	MelodyGaysharks	842
234	Kamflame10	841
235	Comma__	835
235	LitoDelvito	835
237	ImNotYuqii	832
238	Mitchasnipe	828
239	WarHammer3	822
239	Fuhrer_Teemo	822
241	OfficerAnvil	821
242	GeromeMerris	818
243	MAns_44	809
244	Optiprimus	804
245	ABUSNA1996	803
245	KingMatthew506	803
247	pk1297	800
248	StanceTB	797
248	Moofyman	797
248	DamagedSin	797
248	noodlesforbrains	797
252	Prodiginus	796
252	yulgur1	796
254	spencersolberg	795
255	Austinizzle	794
255	bruh072	794
257	MADDMASTA	793
258	pr33tu	791
259	ryan521	788
259	CharlieButt	788
259	faulder	788
262	lilsay	787
262	Corran_Dahgus	787
264	Aneurysmas	786
264	Blu3beast	786
264	djancak	786
267	noam464	784
268	SpaceGrenadier	783
268	_Dean_123	783
270	QueenOfDirt	778
271	Cortexia	775
272	SpicyDuckMan	774
273	Crourey	769
274	oscminus	768
274	claivin	768
276	Vetral1	764
277	Segotep999	763
278	Tyrannosplart	759
279	yoyoYoloMonke	758
280	NebulousBadger	753
281	ItsAki_	745
282	CalebDHawk	742
283	F_Uhre	740
284	nattybears	735
285	Ripzch	733
286	Paint	716
287	SkateboardR6	712
287	jaimshae	712
289	tt4yy4	711
290	RohnekK	708
291	_k2x	703
292	Tiberonus	702
293	IronicUwU1	701
294	Suraidu	700
295	Scags	693
296	natajimi	687
297	ThePoliteG	680
298	not_a_duck_23	679
299	spaece	678
300	_themselves	674
