rank	username	minecraft:used/minecraft:blackstone
100	bl1ss0	151
101	lunkuku	135
102	wwwwinnebagoooo	134
103	Lil_Breadboy	128
104	12Magner05	126
104	MissCeleste7	126
106	PortlyPete69	124
107	Di_infiri	122
108	ShedJr_	117
109	Optiprimus	116
110	xxPipperDipperxx	114
111	_Razaria	113
112	MinttyFressh	112
113	diggydog67	111
114	Miroryk	110
115	StarCookiees_	100
116	Fuad_R	99
117	Cowison	96
118	benediktine1	95
119	Snowflowe	92
120	teqilas	91
121	DarlaMeow	90
121	Soplight	90
121	_i_ERROR_i_	90
124	Hydro___________	89
125	fragrantmonke444	88
126	PigDab	87
127	Merv__	86
127	HellsSponge	86
129	Jonafrog99	84
129	_Mythic____	84
131	Awyrlas	83
132	skroobiez	79
132	4774	79
132	brofrickcheaters	79
135	Blackberry1310	78
136	MustardSquid	77
137	ImpavidArcher	76
138	PaperCanvas	75
139	Eraxa	74
140	Pineapplesugr	73
140	Jimb0nat0r	73
142	Spacewardharpy7	71
143	Smashic	70
144	77Holly7	69
145	HumanBeing112	67
146	Jackattack53	66
147	TheWickedBird	65
148	NATE_the_HALO	64
149	blackeemperor	63
150	zToasty69z	62
150	Luigipunch989	62
152	SingedBread	61
153	Arceus1975	58
153	Krowuss	58
153	HyperCave	58
156	TheALV	57
157	Winklepicker279	55
158	Moofyman	54
159	Decaying_Lotus	53
160	Groovy_MoonBird	52
161	ConnorDanky_	51
162	Ryan_GEMS	50
162	groofles	50
164	diamondgolem35	49
164	taengoos	49
166	H0UNDFRMH3LL	47
166	_Dean_123	47
166	Dakar_	47
166	ProfessorDiaper	47
170	Strangemonkey71	46
171	_Huge_Male_	44
172	livingdaydreams	43
172	whoaluv	43
172	TheShyPig	43
175	masskedman	42
176	Hahaa_0	41
176	DarkS0L	41
176	NameGenerat0r	41
179	gcaisawesome	39
180	SkateboardR6	38
180	Druid95	38
182	Jindong	37
182	TheTommyGun63	37
182	Njensen7	37
185	mwrty	36
186	Tiberonus	35
187	LazySupport00	34
187	mihimihimihi	34
189	AuroraSkies	33
189	Pumpkin_P_Patch	33
191	chipklip	32
191	shineh10	32
191	JitteryJared2	32
194	ROY4LE	31
194	goldyx	31
196	SnowyAvi	30
197	Ze_BaronKrigler	28
198	MSK__	27
198	FelixPSY375	27
198	00000000-0000-0000-0009-01ff0c3e5e4f	27
201	TheFlfthHorseman	26
201	XboxPanda	26
203	nattybears	24
203	Saucepeh	24
203	monky_irl	24
203	AssFullaCum	24
207	bloodbiter	23
207	shadowthemonkey	23
209	6king6colt6	22
209	ratglock	22
209	oscminus	22
212	NatalieTW	21
212	PhantomsGhost_	21
212	CharlieButt	21
212	bluefragmentt	21
212	TheEnderMan548	21
217	jushykins	20
217	Jakobo1337	20
217	Afinnity	20
220	__lizi	19
220	Hpdinosaur	19
220	_Magdo_	19
220	M_Patata	19
220	MasterNueve	19
225	powercas_gamer	18
225	SuperPooch06	18
225	Heisenbberrg	18
228	SygnalX	17
228	Sleek_Storm_721	17
228	myaccountwasgone	17
228	CoffeeNoir	17
228	e_hernandez57	17
228	Klerick	17
228	SirBreadward	17
228	SnivyPCCG	17
236	RoskobiOne	16
236	UltraZombie	16
238	ccwildfire1	14
238	prizm_	14
238	KartivGal	14
238	EngagedGrub41	14
238	cichy096	14
238	CattSoup	14
244	catandmoose	13
244	CollinMH06	13
244	ReSynced	13
244	censorsheep	13
248	teslawolf38	12
249	AuroraValkyrie	11
249	SteveCraftBlocks	11
249	PuFY	11
252	Krasnal1337	10
252	Chickenchaser2	10
252	MattieHD	10
252	Mookle96	10
252	fw3xy74	10
252	EdGalbraith	10
252	tartanboy	10
252	annebolyn	10
260	trixterrx	9
260	SvenskaSara	9
260	Shortest_Man	9
260	IdeallyGrey	9
260	Ezekson	9
265	ooga47	8
265	weabis	8
265	obzii	8
265	calamariclam_I	8
269	BadenStayFly	7
269	Yatitay	7
269	lotarp	7
269	FirsTimeGamingTV	7
269	burbankbuilder28	7
269	Eczbox	7
269	Solar_Power	7
269	TheWildMateo	7
269	F_Uhre	7
269	Akoot_	7
279	I_Am_Mushkin	6
279	DinoDoctor_	6
279	IgnoredBee	6
279	eclipseboi	6
279	fade_emerge78823	6
279	Cellcorgi649	6
279	crashomon	6
279	Chromary	6
279	Cyntrical	6
279	Razzgriz	6
279	LeEricc	6
279	Erased_Identity	6
291	_Virify_	5
291	CliffEmAll	5
291	Sleepy_Evelyn	5
291	kekhon	5
291	orxngejuice	5
291	Inchef	5
291	Boipl	5
291	CowOfTheNile	5
291	AstreaTSS	5
291	pretty_pink_reno	5
