rank	username	minecraft:used/minecraft:stone_pressure_plate
123	H0UNDFRMH3LL	12
123	_Huge_Male_	12
123	royal_2	12
123	ROY4LE	12
123	Jackattack53	12
123	Zythose	12
123	Fildyr	12
123	Matorz	12
123	Myntsys	12
123	Kekoo	12
123	MrMeisterProper	12
134	Blackberry1310	11
134	m_be9	11
134	Malware_Mara	11
134	Boipl	11
134	Hisiste	11
134	Factoroni	11
134	Skippeh	11
134	ConnorDanky_	11
134	smogfrog	11
143	teslawolf38	10
143	T045RTY	10
143	Prismyst	10
143	Ssor69	10
143	Vizzoid	10
143	eviltunix	10
143	SeverianOfUrth	10
143	Shogunite	10
143	BTL_craft	10
143	wwwwinnebagoooo	10
143	jcool7	10
143	mawileite	10
143	EcksD	10
143	jnp_gaming	10
143	LuvLuvLove	10
158	_witch_craft_	9
158	set67	9
158	mwrty	9
158	Awyrlas	9
158	emreknugrlu	9
158	ConnorTG5	9
158	SvenskaHugo	9
158	djancak	9
158	jaimshae	9
167	jspwn	8
167	EKUG	8
167	hcb238	8
167	craaaash	8
167	burbankbuilder28	8
167	andy_rex	8
167	Krowuss	8
167	KingMatthew506	8
175	ShedJr_	7
175	oreee	7
175	Sparky_KT	7
175	Sleepy_Evelyn	7
175	Wowful	7
175	Quaintster	7
175	_flud	7
175	AltnumberF4	7
183	diamondgolem35	6
183	Meme25327	6
183	Tiberonus	6
183	Jokerman369	6
183	Robby_Cream	6
183	xxPipperDipperxx	6
183	WET_WET_WET	6
183	Cruncy_	6
183	Samificator	6
183	Akoot_	6
183	AlphaWolfPlaysMC	6
183	Meatlaugh	6
183	El_Jalapeno	6
183	PabloGonza02	6
183	Zetsey	6
198	hm947	5
198	RebelAndroid	5
198	Fullut	5
198	J4k__	5
198	AstreaTSS	5
198	claivin	5
198	ReflexCode	5
198	Cyntrical	5
198	StarCookiees_	5
198	Celeste_121	5
198	PortlyPete69	5
198	Western_1	5
198	athereall	5
198	TheWickedBird	5
212	Jovaphobic	4
212	Groovy_MoonBird	4
212	RoskobiOne	4
212	dabloons	4
212	6king6colt6	4
212	Sleek_Storm_721	4
212	DinoDoctor_	4
212	TooManyDuck	4
212	Myszoaz	4
212	Malorn_Aetherius	4
212	BobDeBouwer1337	4
212	Motsaro	4
212	SPUDonSTEROIDS	4
212	XboxPanda	4
212	prizm_	4
212	Giannism	4
212	Chromary	4
212	Arceus1975	4
212	Mattesco	4
212	MinerDec	4
212	Dragonlfw	4
212	Leyna3	4
212	Maenara	4
212	AuroraSkies	4
212	Fuhrer_Teemo	4
212	Soap_Bender	4
212	MAns_44	4
212	Groundler	4
212	Buuck_	4
212	lunkuku	4
212	SexcMf	4
212	Kowcio_	4
212	obzii	4
212	Rainaldus	4
212	JayToe	4
247	PhantomsGhost_	3
247	ECstardust	3
247	powercas_gamer	3
247	EMC_	3
247	mymayowasgone	3
247	Huwulling	3
247	Ao_Ken	3
247	Swexti	3
247	FirsTimeGamingTV	3
247	rarrq	3
247	arvous	3
247	Saucepeh	3
247	corvidpartyfor6	3
247	redikul	3
247	Covalents	3
247	DermeinUser	3
247	Bazongoman	3
247	RyuNeko932000	3
247	HolyVenom	3
247	ILoveCarrot	3
247	Lord_Jord	3
247	AspenLightVT	3
247	Fuad_R	3
247	NameGenerat0r	3
247	BumbleBeever	3
247	MovingFish7	3
247	radioactv_jelly	3
247	Spenduh	3
247	miramyu	3
247	_TCARREIRA_	3
247	MilleGrug	3
247	little_dUki	3
247	Enderxz3	3
247	h2p_emrld	3
281	NatalieTW	2
281	Jalvajar	2
281	abramgray	2
281	dimondking777	2
281	Minimize501	2
281	Hpdinosaur	2
281	ZaneABrain	2
281	MOSS000	2
281	skroobiez	2
281	nocturne78	2
281	_vlex	2
281	hydrothebot	2
281	jacxhadow	2
281	crying_wolf_13	2
281	lorpus	2
281	eiC_	2
281	yaboo88	2
281	JitteryJared2	2
281	Bumpy419	2
281	seramalen	2
