rank	username	minecraft:used/minecraft:packed_ice
214	CruncyIsTaken	39
215	Deathkob	38
216	DarlaMeow	36
217	slkiey	35
217	kyouma777	35
219	masskedman	34
220	Mewar	32
221	Lord_Jord	31
222	Paintz	30
222	stahouo	30
222	OfficerAnvil	30
225	Vizzoid	29
226	Nycteus_	26
226	aao001	26
228	diamondgolem35	25
229	Zythose	22
230	fanofbands101	21
230	Leyna3	21
232	Cowison	20
232	Luuk2909	20
232	Kouridragon	20
235	Covalents	19
236	Incinere	18
236	_naturell	18
236	FelixPSY375	18
239	titanlax	17
239	BronkerBrum	17
241	dabloons	16
241	bloodbiter	16
241	ibarker21	16
244	NomadicRobin_	15
245	teslawolf38	14
245	egglapras	14
245	DaviusMaximoose	14
248	drippysusbaka	13
248	Giannism	13
250	Bumpy419	12
251	I_Am_Mushkin	11
252	MattieHD	10
252	ese_wn_po	10
252	Strangemonkey71	10
252	ReyTheLegend	10
256	Hpdinosaur	9
256	Ardennes	9
256	SlayerCrypto	9
256	lillips	9
256	sebastiensaborio	9
261	MrExplorer	8
262	Crowvens	7
262	SokaOtaku	7
264	livingdaydreams	6
264	benediktine1	6
264	valiSW	6
264	_Boipl_	6
264	Njensen7	6
264	5712	6
270	shyshyannne	5
270	CaptainDeadBread	5
270	Dabatha	5
273	Sleek_Storm_721	4
273	jiggywraps	4
273	Dragonlfw	4
273	HolyVenom	4
273	Nagasaki_Riku	4
273	yoonjisoo	4
273	MeetTheWollo	4
273	2blox	4
281	Flores991	3
281	BodaciousCake	3
281	AngalexikCZ	3
281	Avermu	3
281	ChillenChiggen	3
281	Fuhrer_Teemo	3
281	proxivitoid	3
281	EfficientC52	3
281	ProfessorDiaper	3
281	vandmanden	3
291	BilboBaggins23	2
291	SellyZ	2
291	M_Patata	2
291	reiwai	2
291	AmbroseForLife	2
291	_8man	2
291	MangoTheFish	2
291	sxc_	2
291	SpookyDraggin	2
291	MasterNueve	2
