rank	username	minecraft:used/minecraft:spruce_door
108	impossibleteapot	27
108	Deathkob	27
108	Teebone15	27
112	John6970	26
112	layabout100	26
114	_Huge_Male_	25
114	ROY4LE	25
114	Snowflowe	25
114	JayToe	25
118	PazinGaming	24
118	LeonelSalamanca	24
118	NameGenerat0r	24
118	Groundler	24
122	TheDankPlatypus	23
122	Jackattack53	23
122	CLUBN2	23
122	BreadBacon	23
126	SmashingPump	22
126	whoaluv	22
126	SvenskaSara	22
126	Fakiuss	22
126	Meepcraft	22
126	_i_ERROR_i_	22
126	fffMike	22
126	Soffbord	22
134	Natty	21
134	Swexti	21
134	SteveCraftBlocks	21
134	UCP_TheKingK	21
138	morgangauk	20
138	jessewegottacook	20
138	SquadMonster	20
138	Tiberonus	20
138	thebaddruid	20
138	Leyna3	20
138	Akoot_	20
138	AuroraSkies	20
138	SammiWolfGirl	20
147	Tolhart	19
147	imcombxt	19
147	Winklepicker279	19
147	Mr_Sun15	19
147	wezzzi	19
147	EveryonesUncle	19
147	PortlyPete69	19
154	MyNameIsJobo	18
154	sammidk	18
154	Meatlaugh	18
154	RedcatVII	18
154	YungMaki	18
154	Nicserso	18
160	Louiis123	17
160	Alteriity	17
160	Historical_Sand	17
160	12Magner05	17
160	DermeinUser	17
160	Spacewardharpy7	17
160	FadedSpade82	17
167	Tommhh	16
167	TooManyDuck	16
167	Jackster03	16
167	roxycherry	16
167	Studyhallsaver	16
167	drumine	16
167	Blu3beast	16
167	Bloo2406	16
167	MovingFish7	16
167	WYFYoyo	16
177	rats_life	15
177	MixerDixer	15
177	eitanzaki	15
177	poopybh	15
177	noam464	15
177	ZoomieZoomie	15
183	ganyuganyu	14
183	Cowison	14
183	hm947	14
183	Cortexia	14
183	excelsionprime	14
183	breadbowlgamer	14
183	Chromary	14
183	RobotMinion101	14
183	Austinizzle	14
183	Powowowow	14
193	jspwn	13
193	ImNotYuqii	13
193	Iagoku	13
193	thescout7	13
193	IforgotCS_Source	13
193	ClemenPine	13
193	IamCL4SSY	13
193	yoyoYoloMonke	13
193	PabloGonza02	13
193	BlankityMcBlank	13
203	Huwulling	12
203	jacxhadow	12
203	orxngejuice	12
203	PegLegPete93	12
203	corpsecity	12
203	Renchi19	12
203	Fuad_R	12
203	MineMaster0012	12
203	Luigipunch989	12
203	vandmanden	12
213	Frozil20	11
213	MOSS000	11
213	M_Patata	11
213	BlueZabu	11
213	pappaberg	11
213	Werbe	11
213	lizardfightclub	11
213	Lord_Jord	11
213	NomadicRobin_	11
213	Avocadogerms	11
213	MasterNueve	11
213	Lord_Doob	11
213	SexcMf	11
213	zOnlyKroks	11
213	anbbang	11
228	H72l9w	10
228	potato292	10
228	Smashic	10
228	set67	10
228	prizm_	10
228	Moham	10
228	yheece	10
228	grislgrobl	10
228	kairosIV	10
228	thgrocks	10
228	ADEXTV	10
228	Jiminbub	10
228	Lutres_	10
228	Xclax101	10
228	Bonzaidalek	10
228	blackmage426	10
228	diggydog67	10
245	squigglybones	9
245	6king6colt6	9
245	SaucyDark	9
245	Laykon	9
245	Awyrlas	9
245	SlayerCrypto	9
245	hanaryheatwave	9
245	CarryLine	9
245	XxCookiequeenxX	9
245	DemTechAlpha	9
245	fluddd	9
245	Druid95	9
245	_3Stump_	9
245	athereall	9
259	Foof13	8
259	Ryker	8
259	CoffeeNoir	8
259	TheMaster972	8
259	Malorn_Aetherius	8
259	cheerytomato	8
259	Allanon1235	8
259	Kkanot	8
259	lorpus	8
259	2Stout	8
259	SpicyMeatballs	8
259	TableTim	8
259	Bazongoman	8
259	fr_ser	8
259	andy_rex	8
259	Shiirazu	8
259	Dragonlfw	8
259	Hail_the_wombat	8
259	MinuteMira	8
259	DarlaMeow	8
259	ewpunk	8
259	Racengan	8
259	Segotep999	8
259	tsitrawhy	8
259	Celeste_121	8
259	krutas2000	8
259	Rainaldus	8
259	VentiHilton	8
287	Apollo_993	7
287	IgnoredBee	7
287	titanlax	7
287	MrExplorer	7
287	MinttyFressh	7
287	supernecessary	7
287	NoxxxxiS	7
287	CaptainSteve345	7
287	DaKaveMan	7
287	ILoveCarrot	7
287	Dabatha	7
287	420BreadLizard	7
287	KevinLikesPie	7
287	Syropatathe	7
