rank	username	minecraft:used/minecraft:glass_bottle
229	set67	12
229	SharpDev	12
229	SeverianTheLame	12
229	mariominejedi	12
229	fr_ser	12
229	Wowful	12
229	jambvds	12
229	1442	12
229	The_slideV3	12
229	EfficientC52	12
229	Luigipunch989	12
229	laron58	12
242	Kalwag	11
242	Covalents	11
242	HolyVenom	11
242	SpouHn	11
242	SvenskaHugo	11
247	Franco093	10
247	himak1	10
247	NotoriousNina	10
247	SokaOtaku	10
247	Ze_BaronKrigler	10
247	KG1999	10
253	Huwulling	9
253	NinjaKnifeKill	9
253	H72l9w	9
253	_Dean_123	9
253	paranoid_plant	9
253	Maenara	9
253	KnightmareD	9
253	MyNameIsDakar	9
253	LetsDoItLive	9
253	RadarHz	9
253	HesDemonPants	9
253	Sral7	9
253	diggydog67	9
266	Hpdinosaur	8
266	ShedJr_	8
266	Lez_	8
266	tramizu	8
266	jushykins	8
266	Cambo5000	8
266	Agent108	8
266	NameGenerat0r	8
266	Barlycorn	8
266	DeGodz4life	8
266	Legendosh	8
277	Da_Boss_Rani	7
277	whoaluv	7
277	master9067	7
277	CalebDHawk	7
281	_stets	6
281	BlancoFlaco	6
281	TAKrules	6
281	301851	6
281	gaziter10	6
281	zorin123	6
281	groggregg42	6
281	__TheNorseMan__	6
281	John6970	6
281	_8man	6
281	seramalen	6
281	Leyna3	6
281	TheSeismicDuck	6
281	DTwenty	6
281	Lutres_Torane	6
281	El_Jalapeno	6
281	babyjimmyneutron	6
281	SexcMf	6
281	MissCeleste7	6
281	tartanboy	6
