rank	username	minecraft:used/minecraft:glass_pane
248	DeeDeeThonk	80
248	IsabellasOF	80
253	funnyblitz123	78
253	AnnieBathory	78
253	DanielMmm	78
253	EcksD	78
253	cichy096	78
258	Spacewardharpy7	77
258	al626win52	77
260	JMK208	75
260	swag_bro2004	75
260	kyouma777	75
260	Juh1s	75
264	Hpdinosaur	74
264	TakeThis2UrGrave	74
264	Nicserso	74
267	Skyler_Diablo	72
267	Shychelsoo	72
267	Leyna3	72
267	Toriankel	72
271	diamondgolem35	71
271	elleparo	71
271	AngalexikCZ	71
274	PortlyPete69	70
274	LeeMcGee30	70
276	NarwhalTaco	68
276	Jaka_Saurus_715	68
276	LordAurum	68
279	ROY4LE	67
279	LuceImaginary	67
281	Seindi	66
282	BronkerBrum	65
282	RedcatVII	65
284	Lotheburgh	64
284	Ilinca_Io	64
284	eviltunix	64
284	fkGrim	64
284	Kukkelikuk	64
289	MyNameIsJobo	63
289	mobunni	63
291	wiqor	62
291	Snowflowe	62
291	krutas2000	62
294	Prodiginus	61
294	DermeinUser	61
294	epiksk8erduck	61
294	1442	61
298	GoofyBread	60
299	_Boipl_	59
299	MousePlays	59
