rank	username	minecraft:used/minecraft:gold_block
182	XboxPanda	16
182	Kakolbus	16
182	wezzzi	16
188	Dogbound	15
188	sufjanlover	15
188	Cocoamallows	15
191	rarrq	14
191	TheEnderman548	14
191	SSytex_X	14
191	jnp_gaming	14
195	Wooptey	13
195	TechnoNinja64	13
197	ShedJr_	12
198	PhantomsGhost_	11
198	RyuNeko932000	11
198	_naturell	11
198	FishyBoy3811	11
198	Inbefour	11
198	The_slideV3	11
204	301851	10
204	Swexti	10
204	r123moore	10
204	Kynigito	10
204	audiocracked	10
204	NameGenerat0r	10
210	jspwn	9
210	TheThomas69	9
210	TheDumbHuman	9
210	CalebDHawk	9
210	Kubeusz2010	9
215	Blackberry1310	8
215	Guillemet	8
215	theonlymagikarp	8
215	Chromary	8
215	SkateboardR6	8
215	ElectricDragon81	8
215	anbbang	8
215	EcksDofficial	8
223	roxycherry	7
223	Xalithia	7
223	The_Quack_Dealer	7
223	MovingFish7	7
223	fffMike	7
223	JayToe	7
229	Sabby65	6
229	Shadoko_	6
229	egglapras	6
229	surfinggiraffejp	6
229	walll	6
229	BigMoneyH	6
229	The11thDoctor	6
229	Vorlice	6
229	Nargotah	6
229	KingMatthew506	6
239	MattieHD	5
239	loveseeker	5
239	lizardfightclub	5
239	SexcMf	5
239	Spenduh	5
239	Nekomin0	5
245	Thaumatarge	4
245	NotP0tato	4
245	Whiterooster001	4
245	FirsTimeGamingTV	4
245	Enigma0251	4
245	GreedyFern8581	4
245	420BreadLizard	4
245	_Bguette_	4
245	GravitySaint	4
245	Yahir091	4
245	KG1999	4
245	Zetsey	4
245	BlankityMcBlank	4
258	ActivelyLogicalt	3
258	Da_Boss_Rani	3
258	ChampPog_	3
258	heckface	3
258	MEMES4_LIFE	3
258	Hoid_the_Roamer	3
258	ooga47	3
258	obzii	3
266	Bandito_Roamer	2
266	xyct	2
266	UltimuShadow	2
266	ColeSnyder	2
266	Ssor69	2
266	Covalents	2
266	Winklepicker279	2
266	Arceus1975	2
266	Mattesco	2
266	BRRRN179	2
266	Huic_ostiarius	2
266	Dan_Scha	2
266	Nicky19	2
266	ProfessorDiaper	2
266	Typadopoulos	2
266	ItsDeltaMC	2
266	Winston_Ingram	2
266	UrbanPlanner1978	2
266	Sral7	2
266	dune__	2
266	00000000-0000-0000-0009-01f898304150	2
287	Drlzyy	1
287	KingFaenor	1
287	EMC_	1
287	ssleepless	1
287	Batman922	1
287	AlazelTheReal	1
287	Myszoaz	1
287	InfernalMound	1
287	Cryptacity	1
287	ABUSNA1996	1
287	Ardennes	1
287	ProfessorBee	1
287	CarbonatedCola	1
287	ketaminmann	1
