rank	username	minecraft:used/minecraft:quartz_block
90	Crowman1	378
91	PigDab	365
92	Bazongoman	358
93	Blu3beast	351
94	Kowcio_	350
95	marumochis	343
96	XboxPanda	338
97	Jackattack53	332
98	TheSecondLord	315
98	ProfessorBee	315
100	Nycteus_	308
101	Legendosh	307
102	Zaridey	304
102	Jonafrog99	304
104	Xalithia	297
105	jnp_gaming	292
106	yheece	280
107	TheShyPig	271
108	weabis	260
109	Soplight	250
110	iSammael	247
111	Elastiq	231
112	hanaryheatwave	230
113	EcksD	222
113	skrongus	222
115	bearlystraight	218
115	fffMike	218
117	Bandito_Roamer	217
118	MattieHD	214
119	Spacewardharpy7	211
120	_Boipl_	202
121	fw3xy74	198
122	CliffEmAll	197
123	SexcMf	195
124	EveryonesUncle	192
125	SuperPooch06	190
126	Cowison	189
127	ROY4LE	184
128	oscminus	177
128	claivin	177
130	tsitrawhy	175
131	XxCookiequeenxX	174
132	Blaiku	173
132	The_SlideV5	173
134	Leyna3	171
135	ZoomieZoomie	163
135	2blox_	163
137	Napoleonpancake	160
138	sp00ky_ghost977	152
139	TechnoNinja64	149
140	Touched_Bread	148
141	Syropatathe	144
142	Inchef	140
143	El_Jalapeno	138
144	Groovy_MoonBird	135
144	Factoroni	135
146	Lutres_	132
147	Rasmanden	130
148	2Stout	128
149	KliBeast21	127
149	MakeHistory157	127
151	chimpmunker	126
151	Jackster03	126
153	WyngGoy	119
154	_Huge_Male_	117
154	Akoot_	117
156	MirielThePastor	112
157	Hyp3rion_	110
158	SyntheticSurgeon	108
159	RobotMinion101	107
160	Arceus1975	106
160	Blamphe	106
162	lcvezra	105
163	NatalieTW	100
164	Awyrlas	97
165	catandmoose	95
166	set67	94
167	RohnJosin	90
168	Maenara	89
169	FishyBoy3811	87
170	__tomato	86
171	MyNameIsJobo	84
171	wobn	84
173	fallingemma	83
174	Incinere	80
175	shadowthemonkey	73
175	bloomkieren	73
175	UltraZombie	73
178	Werbe	70
179	4774	69
180	noodlepack	67
181	Fullut	66
182	FelixPSY375	65
183	MightyWertu	64
184	Swexti	60
185	Mattesco	58
185	Spenduh	58
187	Dakar_	54
188	Y_A_N_N_I	53
188	Typadopoulos	53
190	selectrix	52
191	fade_emerge78823	51
191	Krowuss	51
193	_Nuf	50
193	excelsionprime	50
193	alderban107	50
196	Jovaphobic	49
196	BlankityMcBlank	49
198	jimintyy	47
198	SteveCraftBlocks	47
198	Kamflame10	47
198	drunkeeez	47
198	Zoeyfortnite	47
203	Lukeee33	46
204	k_ce	42
204	EMC_	42
204	Ssor69	42
204	CLUBN2	42
204	LeEricc	42
209	CattSoup	38
210	emrekn	37
210	andy_rex	37
212	JayToe	36
213	PazinGaming	35
214	LeauVox4921	34
215	_Mythic____	33
216	Alteriity	32
216	Natty	32
216	erkada	32
219	I_Am_Mushkin	31
220	MrKrabOnCoke	30
220	The11thDoctor	30
220	epiksk8erduck	30
220	KingMatthew506	30
220	RadarHz	30
225	Mewar	29
226	ShedJr_	28
227	tobinwilliams	27
227	dartwaffle	27
227	APS_Dan	27
230	Bumpy419	26
230	fkGrim	26
230	MovingFish7	26
233	NameGenerat0r	24
233	fluddd	24
235	audiocracked	23
235	wwwwinnebagoooo	23
237	ColeSnyder	22
237	Rebytre	22
239	Seindi	21
239	Northernrabbit	21
241	FreddyFart	20
241	Yahrto	20
243	NieToksikpl	19
243	Invisie	19
243	Sheldor097	19
246	ITDV	18
246	ClemenPine	18
246	TheOuterCore	18
249	Racengan	17
249	Eraxa	17
249	Steelynan	17
252	Arteriana	16
252	titanlax	16
252	obzii	16
255	olliebollie48	15
255	parodypatient	15
257	soundad	14
257	IgnoredBee	14
257	Silvo614	14
257	Deathkob	14
257	KlausVonStiglitz	14
257	sea_otter_h	14
263	Sleepy_Time_	13
263	ratglock	13
263	eclipseboi	13
263	BlueZabu	13
263	R1CHY2K	13
263	MAns_44	13
263	ProfessorDiaper	13
263	_KuruKuru	13
271	bloodbiter	12
271	intropass	12
271	smarticuno	12
271	burbankbuilder28	12
271	CrateOfBoxes	12
271	Hiryu27	12
271	ApophisNova	12
271	luseis	12
271	MyNamaSheff	12
271	00000000-0000-0000-0009-01ff0c3e5e4f	12
281	Drewen24	11
281	Kura2218	11
281	Ma_name_alex	11
281	starbits140	11
281	Luigipunch989	11
286	Hpdinosaur	10
286	Historical_Sand	10
286	ooga47	10
286	jcool7	10
290	12Magner05	9
290	theonlymagikarp	9
290	Quincannon	9
290	Rocket103	9
290	AssFullaCum	9
290	AltnumberF4	9
296	Avrelion	8
296	xFaiithyX	8
296	killmeiamtraitor	8
296	GooseWithin	8
296	AlphaWolfPlaysMC	8
