rank	username	minecraft:dropped/minecraft:netherrack
165	ApophisNova	4419
165	MyNamaSheff	4419
167	Mewar	4384
168	Secret_Canary	4309
169	MS_Pryxx	4289
170	Flores991	4230
171	calamariclam_I	4205
172	AlexxO_o	4170
173	diggydog67	4157
174	pappaberg	4116
175	lcvezra	4013
176	diamondgolem35	3997
177	Hpdinosaur	3982
178	Badenbeele	3945
179	NameGenerat0r	3911
180	Swexti	3863
181	RoskobiOne	3848
182	WET_WET_WET	3804
183	lillips	3755
184	Strangemonkey71	3676
185	FishisTTV	3598
186	_Nuf	3569
187	MissCeleste7	3557
188	FirsTimeGamingTV	3544
189	__tomato	3514
190	FishyBoy3811	3508
191	Lord_Jord	3464
192	Erased_Identity	3447
193	Tyrannosplart	3445
194	SmashingPump	3400
195	Krasnal1337	3387
196	whoaluv	3356
197	MinttyFressh	3234
198	Ssor69	3149
199	xzvu	3030
200	JohnnyFyes	3023
201	00000000-0000-0000-0009-01ff0c3e5e4f	3013
202	SammiWolfGirl	2933
203	Kateesaur	2902
204	tartanboy	2891
205	_Mythic____	2795
206	0Vyp_	2711
207	prizm_	2706
208	Hiryu27	2705
209	yulgur1	2673
210	sp00ky_ghost977	2670
211	DanTheBuilderino	2657
212	MineMaster0012	2598
213	SaucyDark	2574
214	2blox_	2572
215	CLG_Kata	2539
216	striker90333	2530
217	gustarlep	2526
218	_Bguette_	2467
219	ccwildfire1	2421
220	Arceus1975	2416
221	Vorlice	2405
222	groofles	2393
223	Cellcorgi649	2376
224	_Dean_123	2339
225	AuroraSkies	2321
226	oscminus	2308
226	claivin	2308
228	ROY4LE	2288
229	Xalithia	2258
230	Razzgriz	2251
231	TechnoNinja64	2222
232	THEKINGLyric10	2219
233	itburb	2168
234	Zoeyfortnite	2142
235	AlphaWolfPlaysMC	2122
236	Apollo_993	2100
237	stevewithclout	2094
238	Raspberry_Sodas	2048
239	Aryamanee	2023
240	Awyrlas	2014
241	Ze_BaronKrigler	2000
242	Solar_Power	1974
243	Franco093	1962
244	MixerDixer	1950
245	NoChumpChange	1914
246	IamCL4SSY	1886
247	Scathra	1867
248	__Auspicious	1848
249	WyngGoy	1827
250	mattybeewrapss	1798
251	I_Am_Mushkin	1793
252	Kkanot	1787
253	shrimp_flips	1778
254	MuffinManzz	1767
254	legal_tax_evader	1767
256	Fuad_R	1743
257	JayToe	1737
258	Blu3beast	1720
259	audiocracked	1701
260	mexicancharlie	1700
261	MattieHD	1698
262	YungWali	1690
263	NATE_the_HALO	1684
264	Huwulling	1681
265	CalebDHawk	1664
266	ConnorDanky_	1629
267	SteveCraftBlocks	1621
268	Chickenchaser2	1615
269	hanaryheatwave	1605
270	Eraza	1599
271	Xclax101	1594
272	Myszoaz	1590
273	MAns_44	1586
274	DemTechAlpha	1568
275	LexMakesHistory	1563
276	ooga47	1550
277	iSammael	1524
278	Malorn_Aetherius	1511
279	__TheNorseMan__	1503
280	Mattesco	1497
281	anbbang	1475
282	Sabby65	1470
283	ausrctten	1441
284	SSytex_X	1429
285	TheShyPig	1415
286	shineh10	1410
287	I_Moose	1402
288	PuFY	1375
289	SaintJosie	1366
290	luseis	1346
291	QuiCreans	1344
292	ProfessorDiaper	1330
293	RyuNeko932000	1318
294	Jakobo1337	1313
295	_Razaria	1291
296	Jonafrog99	1287
297	501g	1285
297	ayamefag	1285
299	VentiHilton	1280
300	masskedman	1276
