rank	username	minecraft:dropped/minecraft:cooked_mutton
188	weabis	2
188	QueenShuvi	2
188	Hisiste	2
188	IAmTheWalrus910	2
188	MakeHistory157	2
188	PortlyPete69	2
188	AppleJacks	2
188	Eczbek	2
188	Smoke____	2
228	Mr_Anders	1
228	daisnny	1
228	Foof13	1
228	Tommhh	1
228	Sleek_Storm_721	1
228	Wooptey	1
228	Franco093	1
228	livingdaydreams	1
228	CoffeeNoir	1
228	ThiccExotic	1
228	Dipjol	1
228	spaece	1
228	ShedJr_	1
228	301851	1
228	w3nd3lbo3	1
228	Euclidoris	1
228	ellygaytor	1
228	Chickenchaser2	1
228	m_be9	1
228	GingerNeutron	1
228	Touched_Bread	1
228	Kubelz	1
228	DermeinUser	1
228	MyNameIsJobo	1
228	Norrhede	1
228	AJplaysMC_	1
228	WET_WET_WET	1
228	AlexStrange	1
228	Neemuuri	1
228	Silvo614	1
228	ItsMrRamen	1
228	epiksk8erduck	1
228	Ender_Souls	1
228	MrQuanQuan	1
228	MyNameIsDakar	1
228	HellsSponge	1
228	SlinkyPinky	1
228	Quaintster	1
228	MAns_44	1
228	censorsheep	1
228	GravitySaint	1
228	Breb74	1
228	sp00ky_ghost977	1
228	Cocoamallows	1
228	PabloGonza02	1
228	airbkane	1
228	starbits140	1
228	__tomato	1
228	tsitrawhy	1
228	SammiWolfGirl	1
228	Nargotah	1
228	Erased_Identity	1
228	youarefrench_	1
228	imaginek1d	1
228	Zoeyfortnite	1
228	trexgb	1
228	h2p_emrld	1
228	00000000-0000-0000-0009-01faf4342590	1
