rank	username	minecraft:dropped/minecraft:arrow
148	djancak	201
149	ApophisNova	199
149	MyNamaSheff	199
151	tuckerdoodle	197
152	Powowowow	196
153	geekbird	190
154	EcksDofficial	189
155	Zythose	188
156	set67	185
156	33sudo	185
158	heysushii	179
159	Wowful	178
160	NameGenerat0r	174
161	6king6colt6	170
162	Inchef	169
163	FishisTTV	168
164	AlexxO_o	164
165	diamondgolem35	163
166	SwooshBoi	162
166	fluddd	162
168	Fuad_R	160
169	egglapras	159
169	Touched_Bread	159
171	Luigipunch989	158
172	fred870d	156
173	Xalithia	155
173	Nicserso	155
175	Alteriity	151
175	CyrusIsTired	151
177	Kyrum2169	150
177	UrbanPlanner1978	150
179	SaucyDark	146
180	fkGrim	145
180	_Karmaa	145
182	_naturell	144
183	dudcreeper	143
183	Prodiginus	143
185	Ssor69	142
186	livingdaydreams	137
186	AlphaWolfPlaysMC	137
188	JayToe	135
189	xPixelRainx	133
189	burbankbuilder28	133
189	amkold	133
192	PuFY	131
193	seanitoo	128
193	MrAdamant209	128
193	CJPerson	128
193	Katthaj	128
197	Corbsman	125
197	Invisie	125
199	Bandito_Roamer	124
200	M_Patata	123
201	fanofbands101	121
201	Leyna3	121
201	Ze_BaronKrigler	121
204	Kouridragon	120
205	sadvavilloso	118
206	Kuragari_	117
207	CrateOfBoxes	114
208	PhantomsGhost_	112
208	KingMatthew506	112
210	Deodorante	109
210	ItzWqlfy	109
212	MasterNueve	108
212	Sral7	108
214	Steelynan	107
215	NinjaKnifeKill	106
215	h2p_emrld	106
217	DarlaMeow	105
218	sammidk	103
218	sp00ky_ghost977	103
218	ediballbearings	103
221	fw3xywashere	102
222	_Dean_123	101
222	Dogcorn69420	101
222	fffMike	101
225	SpaceGrenadier	100
225	Comma__	100
225	jacxhadow	100
225	Jiminbub	100
229	John6970	98
229	Maenara	98
231	SellyZ	97
232	Sleek_Storm_721	95
232	GlitchyPlate810	95
234	Jovaphobic	94
234	XboxPanda	94
236	Lord_Zacler	93
237	Shiirazuku	92
238	dabloons	89
238	Natty	89
238	FirsTimeGamingTV	89
238	Arceus1975	89
238	seramalen	89
238	Fuhrer_Teemo	89
238	Nycteus_	89
245	Jeteight	87
246	BlancoFlaco	85
247	boog4loo	84
247	Awyrlas	84
249	Toriankel	82
249	lcvezra	82
251	Legendosh	81
252	obzii	80
253	emrekn	79
254	NotKaden_	78
255	Flores991	77
255	_TCARREIRA_	77
255	Sheldor097	77
258	Dedalus36	76
258	titanlax	76
258	Nicky_H225	76
258	TheSeismicDuck	76
262	heckface	75
262	monky_irl	75
262	PlzNoBM	75
265	Hisiste	74
266	H72l9w	73
266	r123moore	73
266	Ecplosive	73
266	RyuNeko932000	73
266	k1ngGilgamesh	73
266	wezzzi	73
266	Eczbek	73
273	TheThomas69	72
273	Marbz_	72
275	Flegneh	71
275	MangoTheFish	71
277	SullyhS	70
277	501g	70
279	paranoid_plant	69
280	RobotMinion101	68
281	numbra	67
282	Da_Boss_Rani	66
282	Jordan_R	66
284	camando92	65
285	CompAir	64
285	Paleshield	64
285	Rasaq	64
285	TheDiamondCG	64
285	benediktine1	64
285	yaboo88	64
285	dezxalo	64
292	mimbo1211	63
293	BronkerBrum	62
293	MovingFish7	62
295	bloodbiter	61
295	CollinMH06	61
295	Lutres_Torane	61
295	GoofyBread	61
295	Warlord324	61
295	stavgod	61
