rank	username	minecraft:dropped/minecraft:black_wool
128	Enderxz3	3
128	UrbanPlanningEx	3
128	Calbo_	3
147	CLG_Kata	2
147	PhantomsGhost_	2
147	123louis456	2
147	squigglybones	2
147	PazinGaming	2
147	Merv__	2
147	q_wq	2
147	chimpmunker	2
147	Batman922	2
147	No_u4	2
147	elleparo	2
147	Swexti	2
147	Shazzyling	2
147	ccormacs	2
147	heckface	2
147	Chickenchaser2	2
147	Nicky_H225	2
147	o0z	2
147	Guillemet	2
147	mwrty	2
147	lorpus	2
147	2Stout	2
147	gcaisawesome	2
147	M_Patata	2
147	Jackattack53	2
147	AJplaysMC_	2
147	Arceus1975	2
147	oscminus	2
147	halfwayup	2
147	IamCL4SSY	2
147	Lord_Jord	2
147	Hahaa_0	2
147	Inbefour	2
147	Jiminbub	2
147	Dakar_	2
147	DarlaMeow	2
147	claivin	2
147	babycamm	2
147	MasterNueve	2
147	StarCookiees_	2
147	MrTentacles2169	2
147	Steelynan	2
147	MirielThePastor	2
147	JayToe	2
147	h2p_emrld	2
192	lolofied	1
192	xyct	1
192	SoosAmongus	1
192	CloroxBleach385	1
192	BPTY4618	1
192	RebelAndroid	1
192	Natty	1
192	TheFlfthHorseman	1
192	FirsTimeGamingTV	1
192	picardred	1
192	ZigzagLily43042	1
192	Comma__	1
192	bloodbiter	1
192	ProfessorBee	1
192	_Nuf	1
192	Sloths_Ender	1
192	Secret_Canary	1
192	IcyUzi	1
192	500am	1
192	boog4loo	1
192	leaf26	1
192	excelsionprime	1
192	Kamflame10	1
192	Scathra	1
192	Eraza	1
192	Inchef	1
192	xxPipperDipperxx	1
192	hcb238	1
192	theonlymagikarp	1
192	SpicyMeatballs	1
192	KingEgg1	1
192	TheDankPlatypus	1
192	shadowthemonkey	1
192	legal_tax_evader	1
192	CarltheCuck	1
192	nitram49b	1
192	Silvo614	1
192	Eczbox	1
192	Krowuss	1
192	BenPenguin	1
192	Rebytre	1
192	RobotMinion101	1
192	Onennon	1
192	DanielMmm	1
192	BRRRN179	1
192	6e519903-6217-4a88-968d-485bf79491f4	1
192	MeanTugger	1
192	AlphaWolfPlaysMC	1
192	TheSeismicDuck	1
192	fkGrim	1
192	handsome_strong	1
192	shrimp_flips	1
192	SlinkyPinky	1
192	QueenShuvi	1
192	Travka100	1
192	BumbleBeever	1
192	Buuck_	1
192	VilsSwag	1
192	ElKaySVK	1
192	IAmTheWalrus910	1
192	Ze_BaronKrigler	1
192	Kura2218	1
192	lilguppy	1
192	stavgod	1
192	Sank34	1
192	IdeallyGrey	1
192	UCP_TheKingK	1
192	starbits140	1
192	ediballbearings	1
192	lcvezra	1
192	PortlyPete69	1
192	Soffbord	1
192	Winston_Ingram	1
192	Eczbek	1
192	Erased_Identity	1
192	mobunni	1
192	_KuruKuru	1
192	cichy096	1
192	smogfrog	1
192	AstroLightz_	1
192	Zoeyfortnite	1
192	FishisTTV	1
192	Faart	1
