rank	username	minecraft:dropped/minecraft:iron_sword
136	YairZaki	4
136	Gregward_Smith	4
136	ChampPog_	4
136	CaracolCxnt	4
136	picardred	4
136	PoofHairGuy	4
136	jushykins	4
136	12Magner05	4
136	corvidpartyfor6	4
136	Pelbo	4
136	set67	4
136	fade_emerge78823	4
136	himak1	4
136	gcaisawesome	4
136	M_Patata	4
136	swag_bro2004	4
136	popcanter	4
136	LugusMcGrugus	4
136	BRRRN179	4
136	PigDab	4
136	Tou3bann	4
136	Dan_Scha	4
136	sufjanlover	4
136	handsome_strong	4
136	Manaateee	4
136	jacobsoy	4
136	fluddd	4
136	MightyWertu	4
136	RedcatVII	4
136	Groundler	4
136	Racengan	4
136	Yahir091	4
136	Razzgriz	4
136	SvenskaHugo	4
136	pixelviolin	4
136	bloomkieren	4
136	NeoJordache	4
136	obzii	4
136	taengoos	4
136	ConnorDanky_	4
136	Zoeyfortnite	4
136	CrazyPotater	4
183	j5ylim	3
183	Jalvajar	3
183	RoskobiOne	3
183	soundad	3
183	jspwn	3
183	gren_ben	3
183	Ryan_GEMS	3
183	ColeSnyder	3
183	TooManyDuck	3
183	Zippyzam	3
183	livingdaydreams	3
183	ewsophie	3
183	Alteriity	3
183	ZaneABrain	3
183	Seyaboy	3
183	SidorAlex	3
183	MoistMicrowave	3
183	IgnoredBee	3
183	Da_Boss_Rani	3
183	FirsTimeGamingTV	3
183	chlorinex	3
183	Upstro10	3
183	roxycherry	3
183	Frxnkz	3
183	CliffEmAll	3
183	dawerty	3
183	TheRealGameBoy24	3
183	Guillemet	3
183	Sloths_Ender	3
183	Kkanot	3
183	Kamflame	3
183	hijeatsdirt	3
183	IceYoung	3
183	platinumzero	3
183	Nightfigh1	3
183	Ecplosive	3
183	shadowthemonkey	3
183	MyNameIsJobo	3
183	xambsam	3
183	Arceus1975	3
183	Zythose	3
183	U_Mos_	3
183	domagawha	3
183	BronkerBrum	3
183	DAD_1996	3
183	Will_Bee	3
183	RebytreGT	3
183	ItsAki_	3
183	TheWildMateo	3
183	selectrix	3
183	ooga47	3
183	Kouridragon	3
183	_Cloverbelle_	3
183	Shortest_Man	3
183	Mr_Froxy	3
183	XeroByMyth	3
183	MeanTugger	3
183	YahooScreen9000	3
183	groofles	3
183	GooseWithin	3
183	Fakiuss	3
183	fw3xy74	3
183	EdGalbraith	3
183	Benzito07	3
183	GoofyBread	3
183	DarlaMeow	3
183	Soap_Bender	3
183	QueenShuvi	3
183	TiborSterle	3
183	blackeemperor	3
183	splatterhawk	3
183	GravitySaint	3
183	ProfessorDiaper	3
183	_Meow_Mix	3
183	Smiguli_	3
183	Ze_BaronKrigler	3
183	Blasterboy54	3
183	PabloGonza02	3
183	Sank34	3
183	_Mythic____	3
183	voiding_	3
183	__tomato	3
183	SSytex_X	3
183	non089	3
183	HAruSAme14	3
183	UltraZombie	3
183	al626win52	3
183	CalebDHawk	3
183	KingMatthew506	3
183	HuangMeiHua	3
183	Quotary	3
183	smogfrog	3
183	Kiki_Majiki	3
183	2blox_	3
183	Paguz01	3
183	skitzxo	3
279	TheBiggestFeller	2
279	JuckFuan	2
279	Groovy_MoonBird	2
279	seanitoo	2
279	NatalieTW	2
279	_Virify_	2
279	SpartanNamor	2
279	Mr_Byzantine	2
279	heysushii	2
279	JohnnyFyes	2
279	_Huge_Male_	2
279	fanofbands101	2
279	Cowison	2
279	MadBroMad	2
279	TrNrGhost	2
279	_darky1_	2
279	Adem192	2
279	teslawolf38	2
279	ECstardust	2
279	Ilinca_Io	2
279	DepressedCubic	2
279	ImNotYuqii	2
