rank	username	minecraft:dropped/minecraft:gold_ore
241	Iamthejo	4
241	PlasticOtari	4
256	cletemo	3
256	ssleepless	3
256	Mahoose	3
256	picardred	3
256	bloodbiter	3
256	Resner	3
256	hanaryheatwave	3
256	Shiirazu	3
256	valkam13	3
256	Fuhrer_Teemo	3
256	RedcatVII	3
256	stavgod	3
256	Havazelet	3
269	Nucket	2
269	RatatJuice	2
269	seba070c	2
269	Frxnkz	2
269	12Magner05	2
269	Secret_Canary	2
269	paranoid_plant	2
269	eviltunix	2
269	Onennon	2
269	ougstur	2
269	Lord_Jord	2
269	EdGalbraith	2
269	Inbefour	2
269	_Karmaa	2
269	jacobsoy	2
269	GravitySaint	2
269	geekbird	2
269	starbits140	2
269	Nargotah	2
288	PhantomsGhost_	1
288	dudcreeper	1
288	PazinGaming	1
288	Minimize501	1
288	Wooptey	1
288	lotarp	1
288	SpaceGrenadier	1
288	oreee	1
288	HUNTERmaun	1
288	Saucepeh	1
288	jushykins	1
288	AdvertisingMerc	1
288	ProfessorBee	1
