rank	username	minecraft:dropped/minecraft:cooked_porkchop
99	SvenskaHugo	87
100	mimbo1211	86
101	oxfordschool	85
101	Freedrik	85
103	claivin	84
104	jcool7	83
104	Kubeusz2010	83
106	Quotary	82
107	SharperReaper	81
107	Winklepicker279	81
109	Afinnity	79
109	MeetTheWollo	79
111	stahouo	78
112	NinjaKnifeKill	76
113	ItsDeltaMC	75
113	Optiprimus	75
115	rpmm	72
115	brofrickcheaters	72
117	Drlzyy	71
118	ExtraDumb	70
119	MattieHD	69
119	Gryglu583	69
119	KG1999	69
122	wobn	67
123	Resner	66
123	TheOuterCore	66
125	Nicky_H225	65
126	WraitheDX	64
126	m9_meltdown_	64
126	BlackButterfIy	64
129	benediktine1	63
129	yulgur1	63
131	SammiWolfGirl	62
132	6king6colt6	60
132	geekbird	60
134	jiggywraps	59
134	BudLight_	59
136	Kakolbus	57
137	_Buffo	56
137	Njensen7	56
139	T045RTY	55
139	MrAdamant209	55
141	Myszoaz	54
142	SkateboardR6	52
142	WYFYoyo	52
144	HolyVenom	50
145	Zythose	49
145	Gmoney390	49
147	738b4f65-6cbd-4ead-ba31-c14211abfb06	46
148	lizardfightclub	45
148	cichy096	45
150	Shogunite	44
151	0nly_sn1per	41
151	Eczbek	41
151	FishisTTV	41
154	ooga47	40
154	AltnumberF4	40
156	beeleg	38
156	alderban107	38
156	PlasticOtari	38
156	trexgb	38
160	Snowflowe	37
160	Zielo2017PL	37
162	thescout7	36
162	DarlaMeow	36
162	Nycteus_	36
165	Chickenchaser2	35
165	TJawesome09	35
167	IvarEXE	34
168	Joestra	33
169	maxdacatv2	32
169	MSK__	32
169	fffMike	32
169	Winston_Ingram	32
173	EMC_	31
173	Kkanot	31
173	Nagasaki_Riku	31
176	PuFY	30
177	bloodbiter	29
177	Beagle_Boy_Bop	29
179	dopplexd	28
179	_DKC	28
181	Auseawesome	27
181	noodlepack	27
181	Feir_	27
181	_Ruzeeq_	27
185	500am	26
185	AlphaWolfPlaysMC	26
185	negativeward	26
185	Hermanni__	26
189	_Virify_	25
190	The_lost_his_tea	24
190	Flapjacker687	24
190	himak1	24
193	Living_Storms	23
194	nataliecool	22
194	Wooptey	22
194	Swexti	22
197	Flores991	21
197	Malcman2013	21
197	Marbz_	21
197	sufjanlover	21
201	JohnnyFyes	20
201	ReverendSmith	20
201	LordBlaze11	20
204	BlancoFlaco	19
204	GOOBERGABE04	19
204	XxCookiequeenxX	19
204	rezi	19
208	Furiuosbeast0404	18
208	VanJosh	18
208	Jackattack53	18
208	ZeroKraken	18
208	TechnoNinja64	18
208	Zoeyfortnite	18
214	pappaberg	17
214	Skylord_Luke	17
214	TheEnderman548	17
217	Ssor69	16
217	BobDeBouwer1337	16
217	TheTommyGun63	16
220	Barry_All3n_	15
220	KarlKaek	15
220	Raidor	15
220	hm947	15
220	IforgotCS_Source	15
220	TheDeathPepper	15
220	Mattesco	15
220	smogfrog	15
228	fanofbands101	14
228	titanlax	14
228	Dali1465	14
228	DShrewzy	14
228	dezxalo	14
228	Vorlice	14
234	TooManyDuck	13
234	KingMatthew506	13
236	lotarp	12
236	TheShyPig	12
236	NebulousBadger	12
236	Sorins	12
240	AJplaysMC_	11
240	A_Potatoe	11
240	RadarHz	11
243	Dedalus36	10
243	picardred	10
243	M_Patata	10
243	HAIRYCLOUD626	10
243	seramalen	10
243	fred870d	10
243	KnightmareD	10
243	bloomkieren	10
243	Povermen708	10
243	tokvo	10
253	I_Am_Mushkin	9
253	FirsTimeGamingTV	9
253	emrekn	9
253	SLASHZEERA	9
253	unren	9
253	Jiminbub	9
253	Xclax101	9
253	SUN_DREAM	9
253	EcksDofficial	9
262	Incinere	8
262	gaziter10	8
262	whoaluv	8
262	Rumpletaezer	8
262	King_Pancake1	8
262	CarryLine	8
262	FishyBoy3811	8
262	y0shik	8
262	Skippeh	8
271	littlesophiagirl	7
271	bigstankyy	7
271	fr_ser	7
271	Arceus1975	7
271	GreedyFern8581	7
271	Ebsen05	7
271	SlinkyPinky	7
271	EtherealEspresso	7
271	PlzNoBM	7
271	UltraZombie	7
281	Bandito_Roamer	6
281	Natofthese	6
281	TheThomas69	6
281	mwrty	6
281	Kryktal	6
281	NormanFetus	6
281	Leyna3	6
281	Dusk_95	6
281	Ze_BaronKrigler	6
281	SexcMf	6
281	IdeallyGrey	6
281	pixelings_	6
281	ReyTheLegend	6
281	AssFullaCum	6
281	Powowowow	6
296	Cowison	5
296	dragonsleger	5
296	Windo_licker	5
296	Myhym	5
296	SingedBread	5
