rank	username	minecraft:dropped/minecraft:bucket
195	Quincannon	5
195	weabis	5
195	Yahir091	5
195	geekbird	5
195	voiding_	5
195	non089	5
195	Sheldor097	5
195	Hermanni__	5
222	seanitoo	4
222	Wooptey	4
222	RebelAndroid	4
222	ChampPog_	4
222	Notta	4
222	ProfessorBee	4
222	Timfinity4	4
222	wiqor	4
222	Fullut	4
222	himak1	4
222	KGTV	4
222	fallingemma	4
222	CollinMH06	4
222	WET_WET_WET	4
222	yaboo88	4
222	Parcc	4
222	ApophisNova	4
222	groofles	4
222	HoldThatPee	4
222	SaintJosie	4
222	Nicky19	4
222	yulgur1	4
222	sufjanlover	4
222	wobn	4
222	The_Quack_Dealer	4
222	Karbl	4
222	claivin	4
222	Ashton1242	4
222	iSammael	4
222	ItsDeltaMC	4
222	sp00ky_ghost977	4
222	KujikawaRisechi	4
222	ediballbearings	4
222	LeeMcGee30	4
222	Njensen7	4
222	Vellu21	4
222	laron58	4
222	MyNamaSheff	4
222	Weepingbiel	4
261	gary_	3
261	FazeObama69	3
261	squigglybones	3
261	soundad	3
261	teslawolf38	3
261	Tolhart	3
261	Flores991	3
261	PhantomBionic	3
261	jessewegottacook	3
261	Da_Boss_Rani	3
261	tramizu	3
261	dopplexd	3
261	Cryptacity	3
261	jacxhadow	3
261	Ardennes	3
261	catandmoose	3
261	MattieHD	3
261	slkiey	3
261	UncreativeArtist	3
261	Mobstr	3
261	pappaberg	3
261	The11thDoctor	3
261	fxiryglitch	3
261	Leyna3	3
261	Maenara	3
261	IamCL4SSY	3
261	valkam13	3
261	Inbefour	3
261	Lord_Zacler	3
261	EveryonesUncle	3
261	Cavetorch	3
261	Ze_BaronKrigler	3
261	Kura2218	3
261	Eraxa	3
261	sadvavilloso	3
261	Kyrum2169	3
261	somegirl12_	3
261	EtherealEspresso	3
261	LeEricc	3
261	obzii	3
