rank	username	minecraft:dropped/minecraft:spruce_stairs
94	00000000-0000-0000-0009-01ff0c3e5e4f	20
99	JETrotter	19
99	Dakar_	19
99	Thunder_bird4337	19
99	Nekomin0	19
99	Biites	19
104	Tommhh	18
104	EfficientC52	18
104	PortlyPete69	18
104	_i_ERROR_i_	18
104	krutas2000	18
109	Groovy_MoonBird	17
109	foxncat	17
109	ReverendSmith	17
109	DarlaMeow	17
113	royal_2	16
113	SnowfallUwU	16
113	CliffEmAll	16
113	Sleepy_Evelyn	16
113	FreakGenius	16
113	Burge_r	16
113	EcksD	16
113	Yamdalorian	16
121	Luminad3	15
122	cyuar	14
122	pappaberg	14
122	jewbacaman	14
122	Tyrannosplart	14
122	TheKingK_	14
122	CattSoup	14
122	trexgb	14
129	77Holly7	13
129	gaziter10	13
129	Fullut	13
132	burbankbuilder28	12
132	bluemage31	12
132	laron58	12
135	heysushii	11
135	robertsnose	11
135	bruh072	11
135	elliebelle107	11
135	DairyNickel756	11
140	tuckerdoodle	10
140	NoHaHeHa	10
140	Kakolbus	10
140	fr_ser	10
140	AspenLightVT	10
140	IlkeCookes_	10
146	MyNameIsJobo	9
146	HolyVenom	9
146	jambvds	9
146	ZeaBaron	9
146	SammiWolfGirl	9
146	jcool7	9
146	Nicserso	9
146	es0th	9
146	Teebone15	9
155	soundad	8
155	powercas_gamer	8
155	Myszoaz	8
155	benediktine1	8
155	Mr_Sun15	8
155	ogoa	8
155	TechnoNinja64	8
162	I_Am_Mushkin	7
162	Incinere	7
162	NotKaden_	7
162	HAIRYCLOUD626	7
162	Kouridragon	7
162	Avocadogerms	7
162	MovingFish7	7
169	PhantomsGhost_	6
169	SOA1RR	6
169	jacxhadow	6
169	Jakobo1337	6
169	Guillemet	6
169	knarian	6
169	surfinggiraffejp	6
169	M_Patata	6
169	GreedyFern8581	6
169	goldyx	6
169	groofles	6
169	MasterNueve	6
169	doublemaki	6
169	Kyrum2169	6
169	Quotary	6
169	AltnumberF4	6
185	Wooptey	5
185	Alteriity	5
185	NieToksikpl	5
185	Touched_Bread	5
185	legal_tax_evader	5
185	Dragonlfw	5
185	Hahaa_0	5
185	BreadBacon	5
193	EdaterPure	4
193	teslawolf38	4
193	_Razaria	4
193	Jahara	4
193	Batman922	4
193	Ao_Ken	4
193	Comma__	4
193	m_be9	4
193	SteveCraftBlocks	4
193	_witch_craft_	4
193	Cambo5000	4
193	UncreativeArtist	4
193	SirSpace	4
193	fallingemma	4
193	SvenskaSara	4
193	The11thDoctor	4
193	Shiirazu	4
193	TheShyPig	4
193	Samificator	4
193	wezzzi	4
193	NomadicRobin_	4
193	audiocracked	4
193	SkateboardR6	4
193	iSammael	4
193	CacheOut	4
193	pixelviolin	4
193	Soplight	4
193	SSytex_X	4
193	Spenduh	4
193	xzvu	4
193	Dreamdbr14	4
193	VentiHilton	4
193	jnp_gaming	4
193	TheWickedBird	4
193	diggydog67	4
228	pintsizedrogue	3
228	AlazelTheReal	3
228	CoffeeNoir	3
228	joethahobo	3
228	redikul	3
228	philandr	3
228	thescout7	3
228	ROY4LE	3
228	xxPipperDipperxx	3
228	Covalents	3
228	2extreeme	3
228	ApophisNova	3
228	Roikdean	3
228	Groundler	3
228	MakeHistory157	3
228	Luigipunch989	3
228	Skippeh	3
228	MyNamaSheff	3
228	vandmanden	3
247	k_ce	2
247	Mr_Byzantine	2
247	nev_s	2
247	CueMix	2
247	squigglybones	2
247	dabloons	2
247	Raidor	2
247	nattybears	2
247	T045RTY	2
247	abdomera	2
247	lorywithay	2
247	lotarp	2
247	MrKrabOnCoke	2
247	SquadMonster	2
247	12Magner05	2
247	MrExplorer	2
247	craaaash	2
247	shadowthemonkey	2
247	Gzrdy	2
247	SuperPooch06	2
247	Rumpletaezer	2
247	impossibleteapot	2
247	Boipl	2
247	MonitorLizards	2
247	DC_XII	2
247	Jimi7hits	2
247	CraftingWithXav	2
247	MinuteMira	2
247	Karbl	2
247	KermitTheKripple	2
247	Shogunite	2
247	_flud	2
247	OG_Songsee	2
247	_Mythic____	2
247	MrShojo	2
247	Segotep999	2
247	Chuglyfe	2
247	LeEricc	2
247	Deguns123	2
247	Steelynan	2
247	Eczbek	2
247	Rainaldus	2
247	Kubeusz2010	2
247	11Brewer	2
291	j4ck811	1
291	CLG_Kata	1
291	ItsColin11	1
291	q_wq	1
291	MyMawgDonaldsGon	1
291	Iagoku	1
291	BlancoFlaco	1
291	AtlanticRobin	1
291	livingdaydreams	1
291	Arteriana	1
