rank	username	minecraft:dropped/minecraft:book
157	bladeefan2009	6
163	gaziter10	5
163	TheSecondLord	5
163	yaboo88	5
163	CaptainAvenger7	5
163	TheSeismicDuck	5
163	El_Jalapeno	5
163	DennyKai	5
170	_Virify_	4
170	Froste131	4
170	Ssor69	4
170	Sparky_KT	4
170	Malorn_Aetherius	4
170	CliffEmAll	4
170	lorpus	4
170	NotKaden_	4
170	Karetoko	4
170	Rumpletaezer	4
170	HAIRYCLOUD626	4
170	shrimp_flips	4
170	Kura2218	4
170	SammiWolfGirl	4
170	youarefrench_	4
185	NatalieTW	3
185	q_wq	3
185	Bad_At_Names_Guy	3
185	lotarp	3
185	fr0stss	3
185	Eraza	3
185	eiC_	3
185	jedi_george	3
185	whoaluv	3
185	Snowflowe	3
185	kars0n	3
185	AlexxO_o	3
185	parodypatient	3
185	MyNameIsDakar	3
185	jacobsoy	3
185	mihimihimihi	3
185	RealGroot	3
185	LeeMcGee30	3
185	Powowowow	3
204	chipklip	2
204	fanofbands101	2
204	Ze1ig	2
204	soundad	2
204	Merv__	2
204	_Razaria	2
204	SquadMonster	2
204	FirsTimeGamingTV	2
204	Vizzoid	2
204	Valoth	2
204	shdesolt	2
204	dawerty	2
204	thescout7	2
204	Uzbeki_John	2
204	2Stout	2
204	XboxPanda	2
204	M_Patata	2
204	BlueZabu	2
204	Chromary	2
204	killmeiamtraitor	2
204	SlothInASuit	2
204	ooga47	2
204	BunkeredTree	2
204	FishyBoy3811	2
204	ogoa	2
204	lillips	2
204	MasterNueve	2
204	Eraxa	2
204	UCP_TheKingK	2
204	Kekoo	2
204	PortlyPete69	2
204	GlitchyPlate810	2
204	h2p_emrld	2
237	SDW_Insanity	1
237	Elprone266	1
237	FazeObama69	1
237	hollowww	1
237	EMC_	1
237	Frozil20	1
237	ssleepless	1
237	Natty	1
237	NinjaKnifeKill	1
237	ShedJr_	1
237	MOSS000	1
237	jessewegottacook	1
237	Historical_Sand	1
237	Euclidoris	1
237	Ozixar	1
237	roxycherry	1
237	Comma__	1
237	eviltunix	1
237	Tjhodskins19	1
237	LeauVox4921	1
237	ImDisconnected_	1
237	CollinMH06	1
237	PuustaKauasPdnt	1
237	GOOBERGABE04	1
237	wTXop	1
237	Skylord_Luke	1
237	F_Uhre	1
237	Shiirazu	1
237	ougstur	1
237	Dan_Scha	1
237	Rasmanden	1
237	ILoveCarrot	1
237	DemTechAlpha	1
237	DanTheBuilderino	1
237	MustaLoordi	1
237	Nycteus_	1
237	censorsheep	1
237	cytotoxaint	1
237	geekbird	1
237	ItsDeltaMC	1
237	SvenskaHugo	1
237	BlankityMcBlank	1
237	djancak	1
237	jcool7	1
237	OfficerAnvil	1
237	BreadBacon	1
237	FelixPSY375	1
237	Calbo_	1
