rank	username	minecraft:dropped/minecraft:stone_sword
181	aa2x_	2
181	St4nLe7	2
181	Choco_Spy	2
181	SpookyDraggin	2
181	Katsuragi0243218	2
181	XxCookiequeenxX	2
181	Jiminie	2
181	majlin16	2
181	Soap_Bender	2
181	frankosgf	2
181	Frnjokl	2
181	Shogunite	2
181	Tobias0113	2
181	Suraidu	2
181	MangoSalad316	2
181	SwooshBoi	2
181	ThatMan_Dave	2
181	Racengan	2
181	Barlycorn	2
181	lordpipe	2
181	Dusk_95	2
181	xyfrs	2
181	sadvavilloso	2
181	07shiny	2
181	IdeallyGrey	2
181	Kijiki	2
181	Segotep999	2
181	SSytex_X	2
181	microcrisp	2
181	Poppy235	2
181	obzii	2
181	Mintperson	2
181	Soffbord	2
181	Nargotah	2
181	jcool7	2
181	_KuruKuru	2
181	RadarHz	2
181	Nicserso	2
181	FGamerJ	2
181	Lowjinx	2
181	jnp_gaming	2
181	2blox	2
181	Northernrabbit	2
181	trexgb	2
277	Gary_	1
277	Bruh77	1
277	Lepthymo	1
277	jjettii	1
277	Vryistal	1
277	Anne_Primrose	1
277	_Virify_	1
277	JohnnyFyes	1
277	SyK7	1
277	Ganongeek	1
277	diminub	1
277	Mowelan	1
277	Jorrdi	1
277	Ze1ig	1
277	pZygh0st	1
277	jspwn	1
277	Lapbottom	1
277	milkedit	1
277	SlowMoNinja1994	1
277	shineh10	1
277	Mocha_Mug	1
277	EllaBellaChu	1
277	Tommhh	1
277	Houstonion	1
