rank	username	minecraft:dropped/minecraft:flint
109	gcaisawesome	176
110	Eczbek	175
111	Skylord_Luke	174
112	Ssor69	172
113	mihimihimihi	168
114	FreakGenius	165
115	rarrq	164
116	NatalieTW	162
117	legal_tax_evader	161
118	CrateOfBoxes	159
119	Malorn_Aetherius	158
119	Kouridragon	158
119	SkateboardR6	158
122	livingdaydreams	153
123	Mattesco	152
124	ProfessorBee	151
124	Secret_Canary	151
126	Jonafrog99	145
127	Awyrlas	143
128	CoffeeNoir	142
128	Quaintster	142
130	MightyWertu	141
131	AltnumberF4	139
132	paranoid_plant	136
132	DarkS0L	136
134	Merv__	134
134	cyrusisntgay	134
136	Cyntrical	132
137	Werbe	131
138	_Nuf	130
139	BlancoFlaco	129
140	THEKINGLyric10	127
140	Hisiste	127
140	Cocoamallows	127
143	Nicky_H225	122
143	SvenskaHugo	122
145	Touched_Bread	121
145	__tomato	121
145	MilleGrug	121
148	UncreativeArtist	120
148	QuesoCrusaderIII	120
150	zToasty69z	119
151	q_wq	118
152	The11thDoctor	117
153	H0UNDFRMH3LL	115
153	ThatMan_Dave	115
155	Truckoss	111
156	the__Reaper4999	108
156	djancak	108
156	trexgb	108
159	Majonezzon	107
160	lorpus	106
160	RebytreGT	106
160	k1ngGilgamesh	106
163	CollinMH06	105
164	lorywithay	103
164	miramyu	103
166	Dan_Scha	102
167	KarlKaek	101
167	NieToksikpl	101
169	Lez_	100
169	joethahobo	100
171	ECstardust	97
172	nattybears	96
173	AuroraValkyrie	95
174	MoistMicrowave	94
174	FelixPSY375	94
176	SaucyDark	93
176	Rich_Kat	93
176	PortlyPete69	93
179	gren_ben	92
179	SammiWolfGirl	92
181	_Huge_Male_	90
181	Kakolbus	90
181	mariominejedi	90
184	MinttyFressh	89
185	BobDeBouwer1337	88
185	OG_Songsee	88
187	little_dUki	87
188	Wowful	86
189	EdGalbraith	85
190	Mahoose	84
190	MrKrabOnCoke	84
190	Euclidoris	84
190	Hydro___________	84
194	skitzxo	82
195	fw3xy74	81
196	Healthing	79
196	set67	79
198	500am	77
198	wezzzi	77
198	annebolyn	77
201	RoskobiOne	76
202	Galactic_Badger	75
203	hm947	73
203	QueenShuvi	73
203	Eraxa	73
206	pretty_pink_reno	71
207	EMC_	70
207	El_Jalapeno	70
209	EfficientC52	68
210	_Virify_	67
210	Ryker	67
210	Comma__	67
210	poopybh	67
214	ConnorDanky_	66
215	Paintz	65
215	Samificator	65
217	goldyx	64
218	Blackberry1310	63
218	arcanemagic	63
218	Arceus1975	63
221	bigstankyy	61
222	Manaateee	60
222	Rainaldus	60
224	burbankbuilder28	59
224	King_Pancake1	59
224	calamariclam_I	59
227	abdomera	57
227	QuiCreans	57
227	i2f8x4h8ro	57
227	crashomon	57
231	Da_Boss_Rani	56
231	MAns_44	56
231	Kyrum2169	56
234	Sabby65	55
235	CliffEmAll	53
235	ScootOfBoot	53
237	AJplaysMC_	52
237	Corbsman	52
237	shrimp_flips	52
240	_Dean_123	51
240	_TCARREIRA_	51
242	r123moore	48
242	07shiny	48
244	Smashic	47
244	fkGrim	47
244	Fuad_R	47
247	xxPipperDipperxx	46
247	Kynigito	46
249	HeraclesOGU	45
249	Leyna3	45
249	audiocracked	45
249	UrbanPlanningEx	45
253	masskedman	44
253	Vorlice	44
253	2blox_	44
256	301851	43
256	HUNTERmaun	43
256	DolphinLaugh	43
256	taengoos	43
260	SoosAmongus	42
260	Sleepy_Evelyn	42
260	The_Quack_Dealer	42
263	akap47	41
263	Luminad3	41
265	RebelAndroid	40
265	Rumpletaezer	40
265	lizardfightclub	40
265	AlphaWolfPlaysMC	40
265	Katthaj	40
265	MS_Pryxx	40
265	jnp_gaming	40
272	Humpcat	39
272	Eczbox	39
272	SUN_DREAM	39
275	SellyZ	38
275	OreTheBear	38
275	TheShyPig	38
275	KingMatthew506	38
275	RadarHz	38
275	Legendosh	38
281	BPTY4618	37
281	IAmTheWalrus910	37
281	obzii	37
281	fffMike	37
281	hermmm_	37
286	seramalen	36
287	Hahaa_0	35
288	LJW517	34
288	wTXop	34
288	geekbird	34
291	Shortest_Man	33
291	yulgur1	33
291	ElKaySVK	33
291	Ezekson	33
291	DairyNickel756	33
296	Shiirazu	32
296	ediballbearings	32
296	Sral7	32
299	MattieHD	31
299	xDraggin	31
