rank	username	minecraft:dropped/minecraft:written_book
167	Fullut	3
167	Masssonnn	3
167	Scathra	3
167	thescout7	3
167	fade_emerge78823	3
167	XboxPanda	3
167	fr_ser	3
167	Zythose	3
167	Rebytre	3
167	Skylord_Luke	3
167	TheWildMateo	3
167	RobotMinion101	3
167	Onennon	3
167	Mattesco	3
167	pascalbex	3
167	fkGrim	3
167	Avocadogerms	3
167	MAns_44	3
167	KujikawaRisechi	3
167	_i_ERROR_i_	3
167	Sral7	3
167	FishisTTV	3
167	00000000-0000-0000-0009-01f570995a20	3
197	MuffinManzz	2
197	SoosAmongus	2
197	SmashingPump	2
197	Sleek_Storm_721	2
197	zachkdi	2
197	Isaac70096	2
197	HollieDaNugget	2
197	Natty	2
197	lotarp	2
197	CoffeeNoir	2
197	ivorico	2
197	Barjas	2
197	Prismyst	2
197	CyL0_	2
197	Historical_Sand	2
197	Da_Boss_Rani	2
197	Prodiginus	2
197	NieToksikpl	2
197	Frxnkz	2
197	smittyextreme	2
197	tlal002	2
197	dawerty	2
197	ashetrays	2
197	Jakobo1337	2
197	12Magner05	2
197	Raspberry_Sodas	2
197	GingerNeutron	2
197	TijsVer	2
197	Kkanot	2
197	mwrty	2
197	xXxSebastianLxXx	2
197	asspharte	2
197	imcombxt	2
197	Mobstr	2
197	Kakolbus	2
197	CUDI_SAVES	2
197	yheece	2
197	BlurYur	2
197	Donutt	2
197	DAD_1996	2
197	CaptainDeadBread	2
197	Chrisdeadeye	2
197	Moofyman	2
197	hagridfedpik	2
197	LeGold	2
197	thgrocks	2
197	Drewen24	2
197	Luminad3	2
197	kubinek69	2
197	THEGAMERBRO5	2
197	MrButterscotch	2
197	JoeSaysBingBong	2
197	Russiancat1	2
197	privatemeekly	2
197	_Bguette_	2
197	MinuteMira	2
197	lillips	2
197	LexMakesHistory	2
197	CuzIm2Kev	2
197	DarkS0L	2
197	Fuad_R	2
197	CatchmyGrenade28	2
197	guitar_hero_101	2
197	ChronoSounds	2
197	Vorlice	2
197	Druid95	2
197	Leithz6	2
197	TheAlmightyMoist	2
197	McZahrt	2
197	sp00ky_ghost977	2
197	carbo_bro	2
197	cellmilk	2
197	tsitrawhy	2
197	SpacesickPrism	2
197	MilleGrug	2
197	Kubeusz2010	2
197	laron58	2
197	Quotary	2
197	its_lupus	2
197	HesDemonPants	2
197	vandmanden	2
278	ItsGrayWolf	1
278	xvphmura	1
278	AlecCary	1
278	No_Bena	1
278	Agarikus	1
278	JohnnyFyes	1
278	SyK7	1
278	ProbablyNick	1
278	Ganongeek	1
278	Sn0w0ps	1
278	fanofbands101	1
278	weil613	1
278	Caddiii	1
278	Vaarde	1
278	AyoAnnaa	1
278	Dumkii	1
278	iiEco	1
278	ImNotYuqii	1
278	chimpmunker	1
278	KarlKaek	1
278	Domdude54	1
278	FrostySlimez	1
278	King_Rata	1
