rank	username	minecraft:dropped/minecraft:flint_and_steel
97	diamondgolem35	2
97	Reamdin	2
97	ShedJr_	2
97	MSK__	2
97	joethahobo	2
97	titanlax	2
97	jushykins	2
97	firesgal3116	2
97	12Magner05	2
97	MattieHD	2
97	set67	2
97	eviltunix	2
97	Xalithia	2
97	ayqq	2
97	Kubelz	2
97	Winklepicker279	2
97	Windo_licker	2
97	AJplaysMC_	2
97	Billious	2
97	RobotMinion101	2
97	ooga47	2
97	Onennon	2
97	Shiirazuku	2
97	ColourfulAfrican	2
97	Lord_Jord	2
97	Wowful	2
97	NomadicRobin_	2
97	NameGenerat0r	2
97	claivin	2
97	SwooshBoi	2
97	Groundler	2
97	Toriankel	2
97	SkateboardR6	2
97	CheifJumbo	2
97	ayamefag	2
97	KG1999	2
97	starbits140	2
97	GlitchyPlate810	2
97	jcool7	2
97	Hermanni__	2
97	alderban107	2
97	oxfordschool	2
97	Legendosh	2
97	HesDemonPants	2
97	MeetTheWollo	2
97	Powowowow	2
97	aubergined	2
97	CrazyPotater	2
97	h2p_emrld	2
147	tgamemode	1
147	seanitoo	1
147	heysushii	1
147	JohnnyFyes	1
147	nataliecool	1
147	MixerDixer	1
147	JEWISHBadenBeele	1
147	Paint	1
147	soundad	1
147	Merv__	1
147	6king6colt6	1
147	I_Am_Mushkin	1
147	bigstankyy	1
147	Tolhart	1
147	RatatJuice	1
147	Flores991	1
147	_Razar	1
147	Incinere	1
147	ewsophie	1
147	Natty	1
147	Seyaboy	1
147	Kuragari_	1
147	awesomeoneme	1
147	Hormones	1
147	fr0stss	1
147	oreee	1
147	Ssor69	1
147	Euclidoris	1
147	ratglock	1
147	m_be9	1
147	TheThomas69	1
147	500am	1
147	CyrusIsTired	1
147	G1ldor	1
147	boog4loo	1
147	crying_wolf_13	1
147	Kkanot	1
147	groggregg42	1
147	Kazekage	1
147	emrekn	1
147	Inchef	1
147	Mewar	1
147	__TheNorseMan__	1
147	WWWWMWWWWWWWWWWW	1
147	gcaisawesome	1
147	r123moore	1
147	arcanemagic	1
147	Avrelion	1
147	IronyMan69	1
147	Kakolbus	1
147	PeteO1995	1
147	dj1121	1
147	Rumpletaezer	1
147	WET_WET_WET	1
147	DAD_1996	1
147	msJabberwock	1
147	Skylord_Luke	1
147	Corbsman	1
147	ApophisNova	1
147	selectrix	1
147	CruncyIsTaken	1
147	Truckoss	1
147	fred870d	1
147	fxiryglitch	1
147	XeroByMyth	1
147	_naturell	1
147	thgrocks	1
147	LilLizardWizard	1
147	Kim_Jong_eel	1
147	lizardfightclub	1
147	aa2x_	1
147	Rasmanden	1
147	sxc_	1
147	SpookyDraggin	1
147	masskedman	1
147	Katsuragi0243218	1
147	Gryglu583	1
147	wobn	1
147	lillips	1
147	Ragnar2105	1
147	Mr_Gulle	1
147	ebanana	1
147	Shogunite	1
147	MustaLoordi	1
147	Nycteus_	1
147	Cyntrical	1
147	_k2x	1
147	KatieBelle04	1
147	Testificate_517	1
147	SadRedstone	1
147	Warlord324	1
147	Hisiste	1
147	MovingFish7	1
147	SUN_DREAM	1
147	monky_irl	1
147	Dusk_95	1
147	AvaRosey	1
147	JosephCW	1
147	WyngGoy	1
147	Cocoamallows	1
147	Razzgriz	1
147	33sudo	1
147	Nagasaki_Riku	1
147	IvarEXE	1
147	TheEnderman548	1
147	kyouma777	1
147	AssFullaCum	1
147	Kijiki	1
147	SSytex_X	1
147	stellarjay	1
147	SammiWolfGirl	1
147	ProbsNotNova	1
147	Deguns123	1
147	Moetis	1
147	Dogcorn69420	1
147	DennyKai	1
147	fffMike	1
147	mawileite	1
147	Njensen7	1
147	bitsplease	1
147	Rainaldus	1
147	TheOuterCore	1
147	OfficerAnvil	1
147	_KuruKuru	1
147	Miko_Fullbuster	1
147	cichy096	1
147	smogfrog	1
147	MyNamaSheff	1
147	Enderslayerxz3	1
147	Martin_198	1
147	UrbanPlanner1978	1
147	Teebone15	1
147	Faart	1
147	diggydog67	1
