rank	username	minecraft:dropped/minecraft:firework_rocket
270	fanofbands101	157
271	TheSandwhich_	153
272	Quaintster	152
273	Archsam	149
274	bigstankyy	148
275	cyrusisntgay	147
276	ProfessorBee	144
276	Syropatathe	144
278	Karbl	143
278	Pumpkin_P_Patch	143
280	Synthoum	142
281	Yahir091	141
282	CalebDHawk	140
282	AltnumberF4	140
284	imcombxt	139
285	titanlax	135
285	NieToksikpl	135
285	djancak	135
288	BronkerBrum	134
288	Airem_Core	134
290	Nicky_H225	130
290	stellarjay	130
292	ActualPatbaf	129
292	gabukun_	129
292	ooga47	129
292	MustaLoordi	129
296	TheDiamondCG	128
296	Lor1113	128
296	Arsinic7	128
296	GothicJamm	128
296	Zeezap	128
