rank	username	minecraft:dropped/minecraft:fishing_rod
145	ZaneABrain	3
145	joethahobo	3
145	Crowman1	3
145	CliffEmAll	3
145	firesgal3116	3
145	jacxhadow	3
145	GingerNeutron	3
145	thescout7	3
145	intropass	3
145	ROY4LE	3
145	SellyZ	3
145	shadowthemonkey	3
145	pappaberg	3
145	The11thDoctor	3
145	jewbacaman	3
145	TheShyPig	3
145	Russiancat1	3
145	MustaLoordi	3
145	Kowcio_	3
145	djancak	3
145	_TCARREIRA_	3
145	ProbsNotNova	3
145	fffMike	3
145	LeeMcGee30	3
145	Hermanni__	3
176	Groovy_MoonBird	2
176	_Huge_Male_	2
176	Killswitch_RW	2
176	SmashingPump	2
176	SlowMoNinja1994	2
176	CarsonDoesMine	2
176	SaucyDark	2
176	TooManyDuck	2
176	Natty	2
176	SOA1RR	2
176	MOSS000	2
176	Historical_Sand	2
176	urbeans	2
176	dopplexd	2
176	Frxnkz	2
176	Comma__	2
176	jushykins	2
176	bloodbiter	2
176	MattieHD	2
176	500am	2
176	slkiey	2
176	Tmb1	2
176	Cambo5000	2
176	UncreativeArtist	2
176	Blazebit	2
176	Dali1465	2
176	Xalithia	2
176	TableTim	2
176	ImDisconnected_	2
176	Di_infiri	2
176	AJplaysMC_	2
176	Rumpletaezer	2
176	wTXop	2
176	GreedyFern8581	2
176	Silvo614	2
176	tobinwilliams	2
176	oscminus	2
176	k1ngGilgamesh	2
176	Kouridragon	2
176	Onennon	2
176	lizardfightclub	2
176	TheTrueClipse	2
176	AlphaWolfPlaysMC	2
176	NYJ	2
176	the_russell1611	2
176	jambvds	2
176	Toiton	2
176	NameGenerat0r	2
176	Groundler	2
176	IAmTheWalrus910	2
176	Cocoamallows	2
176	Razzgriz	2
176	Jij0	2
176	alderban107	2
176	CityPotato	2
176	LagMass	2
176	FelixPSY375	2
176	HesDemonPants	2
176	jnp_gaming	2
176	vandmanden	2
176	skrongus	2
176	skote77	2
176	FishisTTV	2
239	jojo1515151	1
239	angelinaur	1
239	funeralhome	1
239	dudcreeper	1
239	123louis456	1
239	Cowison	1
239	CloroxBleach385	1
239	Paint	1
239	TrNrGhost	1
239	milkedit	1
239	EMC_	1
239	KarlKaek	1
239	ssleepless	1
239	NotP0tato	1
239	youhjjhhhjj	1
239	Huwulling	1
239	MoistMicrowave	1
239	peach0s	1
239	spaece	1
239	EvenMina	1
239	ITDV	1
239	Da_Boss_Rani	1
239	SquadMonster	1
239	bbrothers_5	1
239	Ssor69	1
239	FirsTimeGamingTV	1
239	LoboTheLobster	1
239	heckface	1
239	Vizzoid	1
239	Boots_	1
239	titanlax	1
239	Malorn_Aetherius	1
239	sick_nubs	1
239	ItsHydroMC	1
239	m_be9	1
239	Nicky_H225	1
239	MinttyFressh	1
239	Raspberry_Sodas	1
239	Secret_Canary	1
239	_Dean_123	1
239	redikul	1
239	Gingayy	1
239	lorpus	1
239	IforgotCS_Source	1
239	fade_emerge78823	1
239	ketaminmann	1
239	_Magdo_	1
239	Inchef	1
239	Resner	1
239	Covalents	1
239	NotKaden_	1
239	TylerDupree	1
239	Touched_Bread	1
239	XboxPanda	1
239	TheDankPlatypus	1
239	Mobstr	1
239	Kakolbus	1
239	Marbz_	1
239	jedi_george	1
239	SuperPooch06	1
239	xambsam	1
239	Snowflowe	1
