rank	username	minecraft:dropped/minecraft:leather_leggings
88	tuckerdoodle	5
88	Ryker	5
88	set67	5
88	mwrty	5
88	theonlymagikarp	5
88	WET_WET_WET	5
88	Krowuss	5
88	ApophisNova	5
88	Lord_Jord	5
88	EdGalbraith	5
88	Ze_BaronKrigler	5
88	33sudo	5
88	Kyrum2169	5
88	Pumpkin_P_Patch	5
88	Quotary	5
88	RadarHz	5
88	_AAZAR	5
88	MyNamaSheff	5
110	ECstardust	4
110	CoffeeNoir	4
110	BobDeBouwer1337	4
110	o0z	4
110	corvidpartyfor6	4
110	Touched_Bread	4
110	M_Patata	4
110	Chromary	4
110	ooga47	4
110	Shortest_Man	4
110	aec9	4
110	FishyBoy3811	4
110	NameGenerat0r	4
110	DanTheBuilderino	4
110	pretty_pink_reno	4
110	ChronoSounds	4
110	MovingFish7	4
110	MasterNueve	4
110	NiveauSubmarine	4
110	NATE_the_HALO	4
110	obzii	4
110	Njensen7	4
110	Legendosh	4
133	k_ce	3
133	seanitoo	3
133	Mr_Byzantine	3
133	Hpdinosaur	3
133	Flores991	3
133	Wooptey	3
133	livingdaydreams	3
133	Alteriity	3
133	Reamdin	3
133	ShedJr_	3
133	SteveCraftBlocks	3
133	Kamflame	3
133	4774	3
133	thescout7	3
133	bl1ss0	3
133	crashomon	3
133	fr_ser	3
133	Jonafrog99	3
133	hanaryheatwave	3
133	Hoid_the_Roamer	3
133	Donutt	3
133	RebytreGT	3
133	Kim_Jong_eel	3
133	fw3xy74	3
133	ebanana	3
133	JESS_THE_RERE	3
133	Fuad_R	3
133	claivin	3
133	Blu3beast	3
133	BlighterSupreme	3
133	Barlycorn	3
133	Fildyr	3
133	geekbird	3
133	layabout100	3
133	Kura2218	3
133	SvenskaHugo	3
133	xzvu	3
133	_i_ERROR_i_	3
133	robonya_	3
133	zOnlyKroks	3
133	Steelynan	3
133	hermmm_	3
133	laron58	3
133	TheBananaKat	3
133	HesDemonPants	3
133	PlasticOtari	3
133	annebolyn	3
133	00000000-0000-0000-0009-01ff0c3e5e4f	3
181	Vryistal	2
181	PhantomsGhost_	2
181	soundad	2
181	SmashingPump	2
181	Merv__	2
181	Niklas20114552	2
181	6king6colt6	2
181	Gemstuff	2
181	Kegradigm	2
181	dragonsleger	2
181	TooManyDuck	2
181	Killercatty78	2
181	T045RTY	2
181	ZaneABrain	2
181	Huwulling	2
181	NinjaKnifeKill	2
181	Myszoaz	2
181	Da_Boss_Rani	2
181	SquadMonster	2
181	Vizzoid	2
181	Ozixar	2
181	dopplexd	2
181	titanlax	2
181	Crowman1	2
181	Auseawesome	2
181	Gary120	2
181	MinttyFressh	2
181	ProfessorBee	2
181	BilboBaggins23	2
181	Kkanot	2
181	fade_emerge78823	2
181	Xalithia	2
181	LeauVox4921	2
181	ARandomHedge	2
181	platinumzero	2
181	XboxPanda	2
181	_Gabae	2
181	shadowthemonkey	2
181	ImDisconnected_	2
181	mariominejedi	2
181	fragrantmonke444	2
181	jedi_george	2
181	thebaddruid	2
181	Jekyll	2
181	Muffindrake	2
181	Onennon	2
181	F_Uhre	2
181	Mr_Sun15	2
181	Dan_Scha	2
181	Wowful	2
181	That_tech_head	2
181	Deathkob	2
181	Tiktola01	2
181	Vol_Rod33	2
181	Tyrannosplart	2
181	majlin16	2
181	_Karmaa	2
181	AstreaTSS	2
181	banana_ketchup	2
181	Templar_David	2
181	Cyntrical	2
181	fluddd	2
181	marumochis	2
181	ProfessorDiaper	2
181	THEKINGLyric10	2
181	_Meow_Mix	2
181	Cache3	2
181	Blasterboy54	2
181	Majonezzon	2
181	ayamefag	2
181	_Mythic____	2
181	ReyTheLegend	2
181	CLUBN2	2
181	SSytex_X	2
181	Spenduh	2
181	Fizznut909	2
181	miramyu	2
181	ProbsNotNova	2
181	Sheldor097	2
181	Kubeusz2010	2
181	SirDodgyBob	2
181	Oxygen16	2
181	UrbanPlanningEx	2
181	TechnoNinja64	2
181	Sral7	2
181	trexgb	2
181	h2p_emrld	2
268	MunkaKris	1
268	H0UNDFRMH3LL	1
268	j5ylim	1
268	Groovy_MoonBird	1
268	Bandito_Roamer	1
268	Frigzy_	1
268	Travasaur	1
268	CLG_Kata	1
268	Harotio	1
268	MixerDixer	1
268	LittleBug562	1
268	BadenStayFly	1
268	teslawolf38	1
268	shineh10	1
268	Nucket	1
268	powercas_gamer	1
268	Tommhh	1
268	Sleek_Storm_721	1
268	inushibaa	1
268	Wolf_Mauler_73	1
268	diamondgolem35	1
268	Jindong	1
268	Qalech	1
268	77Holly7	1
268	BlancoFlaco	1
268	SaucyDark	1
268	_Razaria	1
268	Incinere	1
268	ewsophie	1
268	Sna_Ke	1
268	Batman922	1
268	lotarp	1
268	MoistMicrowave	1
