rank	username	minecraft:dropped/minecraft:potion
215	AltnumberF4	10
215	PlasticOtari	10
227	Sleepy_Evelyn	9
227	m_be9	9
227	Tiberonus	9
227	Rumpletaezer	9
227	Skylord_Luke	9
227	NameGenerat0r	9
227	NATE_the_HALO	9
227	WYFYoyo	9
235	BlancoFlaco	8
235	jacxhadow	8
235	emrekn	8
235	Kakolbus	8
235	fr_ser	8
235	yheece	8
235	Zythose	8
235	aec9	8
235	33sudo	8
235	ItsJunoIGuess	8
235	Skippeh	8
246	KarlKaek	7
246	myaccountwasgone	7
246	ZaneABrain	7
246	BilboBaggins23	7
246	lorpus	7
246	NotoriousNina	7
246	seramalen	7
246	F_Uhre	7
246	lizardfightclub	7
246	DrProfAwesome	7
246	Inbefour	7
246	NYJ	7
246	TheTommyGun63	7
246	TheRealAndrin	7
246	obzii	7
261	lorywithay	6
261	KomputerDude	6
261	QuiCreans	6
261	Mewar	6
261	U_Mos_	6
261	Onennon	6
261	Skomo	6
261	TheShyPig	6
261	sammidk	6
261	fw3xy74	6
261	Wowful	6
261	Joestra	6
261	handsome_strong	6
261	SkateboardR6	6
261	00000000-0000-0000-0009-01f3e0064b49	6
276	dudcreeper	5
276	Da_Boss_Rani	5
276	ratglock	5
276	2Stout	5
276	M_Patata	5
276	Lil_Breadboy	5
276	OreTheBear	5
276	master9067	5
276	Vorlice	5
276	MasterNueve	5
276	Synthoum	5
276	ediballbearings	5
276	vandmanden	5
289	Krasnal1337	4
289	TrNrGhost	4
289	GarthWiest	4
289	hm947	4
289	Wooptey	4
289	Euclidoris	4
289	Comma__	4
289	eclipseboi	4
289	bananamix994	4
289	paranoid_plant	4
289	Fullbit_	4
289	Uzbeki_John	4
