rank	username	minecraft:dropped/minecraft:golden_leggings
151	_Nuf	2
151	corvidpartyfor6	2
151	IKeepDying	2
151	set67	2
151	WatchMojoTop10	2
151	Xalithia	2
151	SharpDev	2
151	theonlymagikarp	2
151	eiC_	2
151	Kubelz	2
151	mimbo1211	2
151	LAVA129	2
151	andy_rex	2
151	Hoid_the_Roamer	2
151	oscminus	2
151	ApophisNova	2
151	seramalen	2
151	Onennon	2
151	F_Uhre	2
151	Dan_Scha	2
151	AuroraSkies	2
151	audiocracked	2
151	TruestTurnip	2
151	Meatlaugh	2
151	DarlaMeow	2
151	claivin	2
151	EfficientC52	2
151	Blu3beast	2
151	MS_Pryxx	2
151	lolpoottoot	2
151	wwwwinnebagoooo	2
151	_Ruzeeq_	2
151	MasterNueve	2
151	sp00ky_ghost977	2
151	Ze_BaronKrigler	2
151	NiveauSubmarine	2
151	kyouma777	2
151	MineMaster0012	2
151	Luigipunch989	2
151	UltraZombie	2
151	Dogcorn69420	2
151	DennyKai	2
151	zOnlyKroks	2
151	KingMatthew506	2
151	Rainaldus	2
151	ConnorDanky_	2
151	EcksD	2
151	Quotary	2
151	MyNamaSheff	2
151	UrbanPlanningEx	2
151	vandmanden	2
151	Sral7	2
151	skrongus	2
151	FishisTTV	2
151	diggydog67	2
230	pintsizedrogue	1
230	MuffinManzz	1
230	seanitoo	1
230	Bandito_Roamer	1
230	cletemo	1
230	Travasaur	1
230	JohnnyFyes	1
230	BPTY4618	1
230	soundad	1
230	Merv__	1
230	ECstardust	1
230	shineh10	1
230	KingFaenor	1
230	KarlKaek	1
230	Wolf_Mauler_73	1
230	UltimuShadow	1
230	bigstankyy	1
230	Ryan_GEMS	1
230	ExtraDumb	1
230	DinoDoctor_	1
230	SaucyDark	1
230	hm947	1
230	Lukeee33	1
230	Sabby65	1
230	Killercatty78	1
230	openatheclose	1
230	SyntheticSurgeon	1
230	TAKrules	1
230	KomputerDude	1
230	_AceOfSpace_	1
230	MoistMicrowave	1
230	tsohomie	1
230	SpaceGrenadier	1
230	EliteTrashPanda_	1
230	oreee	1
230	dimitri0s	1
230	Ssor69	1
230	picardred	1
230	NieToksikpl	1
230	CliffEmAll	1
230	jacxhadow	1
230	dawerty	1
230	bloodbiter	1
230	m_be9	1
230	Ravenbie	1
230	zorin123	1
230	noodlepack	1
230	_Dean_123	1
230	TheDiamondCG	1
230	_lildarki3	1
230	BilboBaggins23	1
230	redikul	1
230	crying_wolf_13	1
230	4774	1
230	fade_emerge78823	1
230	emrekn	1
230	Mewar	1
230	Septemb3r	1
230	Cellcorgi649	1
230	NotKaden_	1
230	RIPB0ZO	1
230	PeteO1995	1
230	ReverendSmith	1
230	mariominejedi	1
230	CollinMH06	1
230	dj1121	1
230	longappendage	1
230	whoaluv	1
230	Chromary	1
230	hanaryheatwave	1
230	Queen_Jalapeno	1
