rank	username	minecraft:dropped/minecraft:cobblestone_slab
88	fred870d	60
88	Kubeusz2010	60
91	SteveCraftBlocks	59
92	Frxnkz	58
92	PortlyPete69	58
94	Merv__	56
95	youhjjhhhjj	55
96	jspwn	54
97	SquadMonster	53
97	CollinMH06	53
97	Onennon	53
100	Incinere	52
100	benediktine1	52
100	audiocracked	52
103	Houstonion	51
103	CSG_Haru	51
105	slkiey	50
105	Bumpy419	50
107	Smoke____	49
108	Skylord_Luke	47
108	MinerDec	47
108	stavgod	47
111	Quaintster	46
112	Cowison	44
113	Fullut	42
113	Skippeh	42
115	_Karmaa	41
115	Sral7	41
117	Sky_light_KING	40
118	ChocolatePepsi	38
119	EveryonesUncle	37
119	diggydog67	37
121	DaviusMaximoose	36
122	mwrty	33
123	EMC_	29
124	Covalents	28
125	CoffeeNoir	27
126	surfinggiraffejp	26
126	EfficientC52	26
126	Njensen7	26
129	Zythose	25
129	ediballbearings	25
131	_8man	22
132	emrekn	20
132	Maenara	20
132	Akoot_	20
132	Nagasaki_Riku	20
132	Vellu21	20
137	fr0stss	18
137	Rebytre	18
139	bigstankyy	17
140	Malorn_Aetherius	16
140	Nicserso	16
140	AltnumberF4	16
143	ZaneABrain	15
143	Inbefour	15
143	Cyntrical	15
146	Franco093	14
146	H72l9w	14
146	Comma__	14
146	4774	14
146	Arceus1975	14
151	SuperPooch06	13
151	Rumpletaezer	13
151	RobotMinion101	13
151	IAmTheWalrus910	13
151	CheifJumbo	13
151	Steelynan	13
151	kinas45y5	13
151	EcksDofficial	13
159	Noah_Bez	12
159	seramalen	12
159	Hisiste	12
162	q_wq	11
162	_Dean_123	11
162	jedi_george	11
162	WET_WET_WET	11
162	TheWildMateo	11
162	Ezekson	11
162	PlasticOtari	11
169	ivorico	10
169	TinMaster	10
169	fr_ser	10
169	Katthaj	10
169	fluddd	10
169	Groundler	10
169	SSytex_X	10
169	_TCARREIRA_	10
177	Chromary	9
177	wrinkledpiglet	9
177	AlphaWolfPlaysMC	9
177	MightyWertu	9
177	Eraxa	9
182	Iagoku	8
182	Natty	8
182	claivin	8
185	seanitoo	7
185	_Razar	7
185	joethahobo	7
185	m_be9	7
185	fade_emerge78823	7
185	Xalithia	7
185	Jiminie	7
185	The_Quack_Dealer	7
185	Shogunite	7
185	561cool	7
195	DepressedCubic	6
195	Dedalus36	6
195	JuuustYeet	6
195	Sparky_KT	6
195	2Stout	6
195	HypixelForums	6
195	Touched_Bread	6
195	Matyyy15	6
195	SkateboardR6	6
195	UCP_TheKingK	6
195	obzii	6
195	Lowjinx	6
195	Powowowow	6
195	JohnPrice	6
209	NotP0tato	5
209	Awyrlas	5
209	Bolete	5
209	PuFY	5
209	Deathkob	5
209	die_lit_punk	5
209	CalebDHawk	5
209	jcool7	5
209	monolu	5
209	BreadBacon	5
219	PhantomsGhost_	4
219	ShedJr_	4
219	Cryptacity	4
219	Motsaro	4
219	ehunt54	4
219	Rasmanden	4
219	groofles	4
219	Lord_Jord	4
219	NameGenerat0r	4
219	cog	4
219	Godspirit249	4
219	layabout100	4
219	carbo_bro	4
219	_Tilariel_	4
219	Shin69	4
219	BlankityMcBlank	4
219	NATE_the_HALO	4
219	Kymarmalade	4
219	Dogcorn69420	4
219	trexgb	4
239	_Virify_	3
239	lotarp	3
239	Jackster03	3
239	Ssor69	3
239	redikul	3
239	CharlieButt	3
239	TheDankPlatypus	3
239	Bazongoman	3
239	dendydoom	3
239	Sqwishy	3
239	Hail_the_wombat	3
239	GoofyBread	3
239	LetsDoItLive	3
239	sadvavilloso	3
239	SammiWolfGirl	3
239	TheOuterCore	3
255	Lukeee33	2
255	Seyaboy	2
255	KomputerDude	2
255	AlazelTheReal	2
255	NieToksikpl	2
255	Aatronix1	2
255	leaf26	2
255	ConcretePirate	2
255	xxPipperDipperxx	2
255	NotKaden_	2
255	Purplehere	2
255	fallingemma	2
255	yaboo88	2
255	ApophisNova	2
255	Truckoss	2
255	Nicky19	2
255	kiluaemc	2
255	proxivitoid	2
255	DemTechAlpha	2
255	Fuad_R	2
255	MakeHistory157	2
255	ElectricDragon81	2
255	YungMaki	2
255	AssFullaCum	2
255	jaimshae	2
255	fffMike	2
255	gaming4Naming	2
255	2r_	2
255	MyNamaSheff	2
255	zmpeg	2
255	00000000-0000-0000-0009-01f898304150	2
286	dongli	1
286	livingdaydreams	1
286	Jahara	1
286	awesomeoneme	1
286	SteveWithClout	1
286	Historical_Sand	1
286	heckface	1
286	jushykins	1
286	MattieHD	1
286	Smashic	1
286	set67	1
286	Robby_Cream	1
286	eiC_	1
286	M_Patata	1
286	Windo_licker	1
