rank	username	minecraft:dropped/minecraft:trident
78	the__Reaper4999	4
78	Segotep999	4
78	GlitchyPlate810	4
78	EcksDofficial	4
78	00000000-0000-0000-0009-01f16526f034	4
97	diamondgolem35	3
97	IronArshXS	3
97	Dedalus36	3
97	Alteriity	3
97	MattieHD	3
97	ROY4LE	3
97	fr_ser	3
97	Arceus1975	3
97	fred870d	3
97	binman420	3
97	fkGrim	3
97	MyNameIsDakar	3
97	Racengan	3
97	Spacewardharpy7	3
97	Nagasaki_Riku	3
97	AssFullaCum	3
97	Kyrum2169	3
97	Spenduh	3
97	2blox	3
97	vandmanden	3
97	calamariclam_I	3
97	Kateesaur	3
119	PhantomsGhost_	2
119	Jorrdi	2
119	Drlzyy	2
119	teslawolf38	2
119	KarlKaek	2
119	bigstankyy	2
119	Wooptey	2
119	CoffeeNoir	2
119	Huwulling	2
119	Myszoaz	2
119	MrKrabOnCoke	2
119	SquadMonster	2
119	moertymoertan	2
119	NieToksikpl	2
119	MinttyFressh	2
119	500am	2
119	Flapjacker687	2
119	intropass	2
119	2Stout	2
119	Marbz_	2
119	SuperPooch06	2
119	Onennon	2
119	TheShyPig	2
119	CarryLine	2
119	wezzzi	2
119	Inbefour	2
119	claivin	2
119	Nycteus_	2
119	Xclax101	2
119	Hisiste	2
119	MovingFish7	2
119	Airem_Core	2
119	WyngGoy	2
119	Meeerkat	2
119	KG1999	2
119	lcvezra	2
119	_TCARREIRA_	2
119	PortlyPete69	2
119	Hermanni__	2
119	Kubeusz2010	2
119	Nicserso	2
119	jnp_gaming	2
119	Zoeyfortnite	2
119	h2p_emrld	2
163	Bandito_Roamer	1
163	_Virify_	1
163	numbra	1
163	martvnka	1
163	error10101	1
163	BlancoFlaco	1
163	livingdaydreams	1
163	Batman922	1
163	ZaneABrain	1
163	Reamdin	1
163	scottkidz	1
163	ManUtdBoy_	1
163	Maltyy	1
163	fr0stss	1
163	Da_Boss_Rani	1
163	FirsTimeGamingTV	1
163	Prodiginus	1
163	Notta	1
163	ratglock	1
163	TheSecondLord	1
163	jushykins	1
163	Sebastiannlol	1
163	m_be9	1
163	Boboczus	1
163	MrExplorer	1
163	GingerNeutron	1
163	SteveCraftBlocks	1
163	Smashic	1
163	Cambo5000	1
163	set67	1
163	Nach0Bear	1
163	fade_emerge78823	1
163	Inchef	1
163	eviltunix	1
163	Xalithia	1
163	gcaisawesome	1
163	John6970	1
163	mimbo1211	1
163	Ecplosive	1
163	mariominejedi	1
163	CollinMH06	1
163	CarltheCuck	1
163	gabriels543	1
163	Queen_Jalapeno	1
163	Snowflowe	1
163	burbankbuilder28	1
163	MangoTheFish	1
163	Rocco_Lane	1
163	The11thDoctor	1
163	k1ngGilgamesh	1
163	Afinnity	1
163	RobotMinion101	1
163	ooga47	1
163	DC_XII	1
163	brycepants	1
163	HolyVenom	1
163	Rasmanden	1
163	RodSerlingCringe	1
163	AuroraSkies	1
163	yulgur1	1
163	_Hayt	1
163	ese_wn_po	1
163	NYJ	1
163	Fuhrer_Teemo	1
163	Deathkob	1
163	LexMakesHistory	1
163	Babushka0430	1
163	The_slideV3	1
163	HellsSponge	1
163	_Karmaa	1
163	Quaintster	1
163	sanastidy	1
163	Travka100	1
163	Toriankel	1
163	Warlord324	1
163	lordpipe	1
163	monky_irl	1
163	Dusk_95	1
163	Smiguli_	1
163	ItsDeltaMC	1
163	MakeHistory157	1
163	33sudo	1
163	stavgod	1
163	sadvavilloso	1
163	pixelviolin	1
163	NeoJordache	1
163	tsitrawhy	1
163	SammiWolfGirl	1
163	CalebDHawk	1
163	Bairhug	1
163	Njensen7	1
163	Vellu21	1
163	laron58	1
163	OfficerAnvil	1
163	FelixPSY375	1
163	little_dUki	1
163	AltnumberF4	1
163	Lowjinx	1
163	Legendosh	1
163	HesDemonPants	1
163	MeetTheWollo	1
163	YoshikageBites	1
163	00000000-0000-0000-0009-01fd30af3efb	1
163	00000000-0000-0000-0009-01f80c5e9346	1
163	00000000-0000-0000-0009-01f645d0edb4	1
