rank	username	minecraft:dropped/minecraft:potato
132	AlphaWolfPlaysMC	120
133	SHAOBADMAN	117
133	Skippeh	117
135	Unitas_isa	104
135	heckface	104
135	ApophisNova	104
135	MyNamaSheff	104
139	Vizzoid	102
140	Groovy_MoonBird	100
140	PlasticOtari	100
142	PortlyPete69	97
142	Enderslayerxz3	97
144	Solar_Power	96
145	XboxPanda	91
146	wTXop	89
147	RefluxRatio	85
148	Prodiginus	82
149	SammiWolfGirl	81
150	MattieHD	80
151	Lowjinx	79
152	diamondgolem35	78
152	RebelAndroid	78
152	stahouo	78
155	KatieBelle04	77
156	Arceus1975	75
156	BumbleBeever	75
158	_Nuf	73
159	funeralhome	72
160	6king6colt6	70
160	The11thDoctor	70
162	featherflyy	69
163	Jimi7hits	68
163	KingMatthew506	68
165	HolyVenom	66
166	SpicyMeatballs	65
166	PeteO1995	65
166	Voxin2K	65
166	coobert42	65
170	Barry_All3n_	64
170	Drewen24	64
170	TheTrueClipse	64
173	IAmTheWalrus910	62
174	thgrocks	61
175	Ssor69	59
175	Nicserso	59
177	MyNameIsDakar	57
178	gaming4Naming	56
179	KSI	54
179	UrbanPlanner1978	54
181	milkedit	53
181	set67	53
183	Jackattack53	51
184	shdesolt	49
184	FetteMutter	49
184	ReyTheLegend	49
187	Sleek_Storm_721	46
188	EvenMina	45
189	_Bguette_	43
190	dopplexd	42
190	Segotep999	42
192	Dogcorn69420	40
193	2r_	39
194	Natty	38
194	r123moore	38
196	openatheclose	36
196	Avrelion	36
196	33sudo	36
196	Bawbman	36
196	Vellu21	36
201	squigglybones	32
201	Comma__	32
201	yulgur1	32
204	500am	30
204	NYJ	30
206	_Boipl_	29
206	El_Jalapeno	29
206	JayToe	29
209	Menthas	28
209	07shiny	28
211	Godspirit249	26
212	Hyugo	25
212	monky_irl	25
212	camando92	25
215	fanofbands101	24
215	intropass	24
215	anbbang	24
218	Sparky_KT	23
218	Soul_Atreus	23
218	_TCARREIRA_	23
218	Luigipunch989	23
222	Cowison	22
222	q_wq	22
222	Batman922	22
222	himak1	22
222	Groundler	22
227	DanTheBuilderino	21
227	MovingFish7	21
229	seramalen	20
230	jspwn	19
230	the_fireminer	19
230	curterr	19
230	Quincannon	19
230	smogfrog	19
235	ConcretePirate	18
235	Donutt	18
237	obzii	17
237	CalebDHawk	17
239	NomadicRobin_	16
240	Incinere	15
240	xxPipperDipperxx	15
240	Rebytre	15
240	ayamefag	15
240	voiding_	15
245	TheThomas69	14
245	theofiel	14
245	RodSerlingCringe	14
245	kyouma777	14
249	GreedyFern8581	13
250	Skyler_Diablo	12
250	Wooptey	12
250	SteveCraftBlocks	12
250	Mewar	12
250	Kakolbus	12
250	burbankbuilder28	12
250	NotMeowMix	12
257	bra1nbrain	11
257	TheEnusa	11
257	gcaisawesome	11
257	CarltheCuck	11
257	_naturell	11
257	m9_meltdown_	11
257	Eraxa	11
257	RadarHz	11
265	Chrisdeadeye	10
265	Blamphe	10
265	SkateboardR6	10
265	MilleGrug	10
265	EcksDofficial	10
270	Hpdinosaur	9
270	Rasaq	9
270	ShedJr_	9
270	fr0stss	9
270	_Dean_123	9
270	claivin	9
270	krutas2000	9
277	jacxhadow	8
277	UncreativeArtist	8
277	SellyZ	8
277	Rocco_Lane	8
277	FreddyFart	8
277	Fuhrer_Teemo	8
277	the_russell1611	8
277	layabout100	8
277	IdeallyGrey	8
277	Deguns123	8
287	elicobnoah	7
287	ImpavidArcher	7
287	FirsTimeGamingTV	7
287	Dali1465	7
287	ROY4LE	7
287	popcanter	7
287	Maenara	7
287	ogoa	7
287	XxCookiequeenxX	7
287	QueenShuvi	7
287	MustaLoordi	7
287	_czarny	7
287	Leithz6	7
287	Kowcio_	7
