rank	username	minecraft:dropped/minecraft:bread
246	ConcretePirate	10
246	Smashic	10
246	TheDankPlatypus	10
246	phomic	10
246	TTNG	10
246	yulgur1	10
246	07shiny	10
246	Kyrum2169	10
246	somegirl12_	10
258	SaucyDark	9
258	Rorrofighter	9
258	MinttyFressh	9
258	RobotMinion101	9
258	sitrollover	9
258	SkateboardR6	9
258	WYFYoyo	9
265	abramgray	8
265	CaptainDeadBread	8
265	Drewen24	8
265	419mmurphy	8
265	Barlycorn	8
265	Breb74	8
265	OG_Songsee	8
265	__tomato	8
273	wTXop	7
273	wrinkledpiglet	7
273	DanTheBuilderino	7
273	Hisiste	7
273	LetsDoItLive	7
273	NebulousBadger	7
273	SvenskaHugo	7
273	Steelynan	7
273	Aryamanee	7
273	Goat_Man512	7
283	funeralhome	6
283	Malorn_Aetherius	6
283	Boboczus	6
283	Zenlou	6
283	sammidk	6
283	Skyle169	6
283	Pootis11	6
283	Babushka0430	6
283	MovingFish7	6
283	33sudo	6
293	Batoser	5
293	Swexti	5
293	GingerNeutron	5
293	corvidpartyfor6	5
293	egglapras	5
293	fade_emerge78823	5
293	orxngejuice	5
293	burbankbuilder28	5
