rank	username	minecraft:dropped/minecraft:feather
128	claivin	35
131	Hisiste	33
132	Paintz	32
132	QueenShuvi	32
132	Jimb0nat0r	32
135	Hahaa_0	31
135	PortlyPete69	31
135	elliebelle107	31
135	tartanboy	31
139	Alteriity	30
139	CoffeeNoir	30
139	Comma__	30
139	Ezekson	30
139	skitzxo	30
144	Luminad3	29
144	Yahir091	29
144	StarCookiees_	29
144	Spenduh	29
148	Chromary	28
148	h2p_emrld	28
150	BlancoFlaco	27
150	_Karmaa	27
150	stavgod	27
153	Apollo_993	26
153	SuperPooch06	26
153	ApophisNova	26
153	Xclax101	26
153	djancak	26
153	MyNamaSheff	26
159	Winklepicker279	25
160	AuroraValkyrie	24
160	Ssor69	24
160	UncreativeArtist	24
160	07shiny	24
164	babyjimmyneutron	23
165	I_Am_Mushkin	22
165	NotKaden_	22
165	Kakolbus	22
165	Manaateee	22
165	RedcatVII	22
170	ECstardust	21
170	Gingayy	21
170	parodypatient	21
170	Quaintster	21
170	SkateboardR6	21
175	Nach0Bear	20
175	F_Uhre	20
175	WyngGoy	20
175	_Mythic____	20
175	trexgb	20
180	_Huge_Male_	19
180	zpdp	19
180	SquadMonster	19
180	dopplexd	19
180	brrh	19
180	BRRRN179	19
180	Shortest_Man	19
180	TheSandwhich_	19
188	gaziter10	18
188	CalebDHawk	18
190	Natty	17
190	Euclidoris	17
190	NomadicRobin_	17
190	Cocoamallows	17
190	xzvu	17
195	SaucyDark	16
195	lotarp	16
195	NinjaKnifeKill	16
195	mimbo1211	16
199	6king6colt6	15
199	Swalt	15
199	RobotMinion101	15
199	KermitTheKripple	15
199	Druid95	15
199	Eraxa	15
199	taengoos	15
206	bigstankyy	14
206	heckface	14
206	Saucepeh	14
206	Enigma0251	14
206	Silvo614	14
206	MrShojo	14
206	LeeMcGee30	14
206	TheOuterCore	14
206	OfficerAnvil	14
215	SyntheticSurgeon	13
215	skroobiez	13
215	MrKrabOnCoke	13
215	rarrq	13
215	set67	13
215	Jonafrog99	13
215	Donutt	13
215	weabis	13
215	UrbanPlanningEx	13
215	TheWickedBird	13
225	RoskobiOne	12
225	Crowman1	12
225	himak1	12
225	wrinkledpiglet	12
225	EdGalbraith	12
225	audiocracked	12
225	Warlord324	12
225	okzetton	12
225	_TCARREIRA_	12
225	Zoeyfortnite	12
225	FishisTTV	12
236	Inconvenionce	11
236	Rasmanden	11
236	groofles	11
236	KliBeast21	11
236	Blasterboy54	11
236	miramyu	11
236	obzii	11
236	alanbleachdemon	11
236	MilleGrug	11
245	Tiberonus	10
245	MattieHD	10
245	crying_wolf_13	10
245	Inchef	10
245	imcombxt	10
245	XboxPanda	10
245	PeteO1995	10
245	Krowuss	10
245	Kennyissleepy	10
245	GravitySaint	10
245	brofrickcheaters	10
245	Juh1s	10
245	non089	10
245	UltraZombie	10
245	Kubeusz2010	10
245	MissCeleste7	10
245	_KuruKuru	10
245	2blox_	10
263	CLG_Kata	9
263	tsohomie	9
263	Z3braYTIL	9
263	Juansinmiedo18	9
263	2Stout	9
263	TheDankPlatypus	9
263	CollinMH06	9
263	xambsam	9
263	TheWildMateo	9
263	ADEXTV	9
263	pretty_pink_reno	9
263	Luigipunch989	9
275	Napoleonpancake	8
275	I_Moose	8
275	ImDisconnected_	8
275	Rumpletaezer	8
275	LAVA129	8
275	DAD_1996	8
275	MousePlays	8
275	Kim_Jong_eel	8
275	NoChumpChange	8
275	NYJ	8
275	the_russell1611	8
275	NumbaOneMunch	8
275	Cyntrical	8
275	Racengan	8
275	jaimshae	8
275	Moetis	8
275	00000000-0000-0000-0009-01fc3bb26159	8
292	seanitoo	7
292	abdomera	7
292	Batman922	7
292	Xalithia	7
292	ROY4LE	7
292	ItzYaBoiPicard	7
292	M_Patata	7
292	Zythose	7
292	Wowful	7
