rank	username	minecraft:dropped/minecraft:wooden_pickaxe
190	Misato_0	1
190	aikabot	1
190	Tombo2004	1
190	Upstro10	1
190	PercivalCaduceus	1
190	Koffeeinz	1
190	Devintronix	1
190	NieToksikpl	1
190	ratglock	1
190	shdesolt	1
190	I_Moose	1
