rank	username	minecraft:dropped/minecraft:iron_boots
158	yaboo88	2
158	burbankbuilder28	2
158	wTXop	2
158	DaviusMaximoose	2
158	GreedyFern8581	2
158	byFlixxx	2
158	Nyxiom_	2
158	LilyNova	2
158	SlothInASuit	2
158	The11thDoctor	2
158	RobotMinion101	2
158	seramalen	2
158	Sqwishy	2
158	_Cloverbelle_	2
158	BRRRN179	2
158	AlexxO_o	2
158	Vetral1	2
158	jochem2134	2
158	XeroByMyth	2
158	HolyVenom	2
158	Luminad3	2
158	HoldThatPee	2
158	tyraxxx	2
158	parodypatient	2
158	True_Clipse	2
158	Bl1tzFX	2
158	Wowful	2
158	ogoa	2
158	gustarlep	2
158	FreddyFart	2
158	Inbefour	2
158	Cordicus	2
158	TruestTurnip	2
158	spencersolberg	2
158	Benzito07	2
158	shrimp_flips	2
158	Shogunite	2
158	mafiKiwi	2
158	Deerfoot	2
158	OreoPenguin_	2
158	pretty_pink_reno	2
158	Xclax101	2
158	Gus2005	2
158	RedcatVII	2
158	PixelatedBoss	2
158	QuesoCrusaderIII	2
158	1_jR	2
158	Toriankel	2
158	_Ruzeeq_	2
158	geekbird	2
158	okzetton	2
158	33sudo	2
158	Kura2218	2
158	hdtpm	2
158	SvenskaHugo	2
158	pixelviolin	2
158	bloomkieren	2
158	YungMaki	2
158	CLUBN2	2
158	__tomato	2
158	Spenduh	2
158	miramyu	2
158	Nekomin0	2
158	UltraZombie	2
158	Dogcorn69420	2
158	Njensen7	2
158	Rainaldus	2
158	BreadBacon	2
158	FelixPSY375	2
158	Enderxz3	2
158	TheSandwhich_	2
158	JustinRee	2
158	Paguz01	2
273	Mr_Worthless	1
273	jojo1515151	1
273	SugarMyNuggets	1
273	SygnalX	1
273	Jovaphobic	1
273	xExpresso	1
273	j5ylim	1
273	marguang	1
273	Groovy_MoonBird	1
273	k_ce	1
273	seanitoo	1
273	NatalieTW	1
273	Canrian	1
273	elicobnoah	1
273	Harotio	1
273	dudcreeper	1
273	xyct	1
273	LittleBug562	1
273	squigglybones	1
273	Vaarde	1
273	FroggoTheDoggo	1
273	Napoleonpancake	1
273	PazinGaming	1
273	hollowww	1
273	FujiBS	1
273	BigBootyHudge	1
273	Healthing	1
273	KingFaenor	1
