rank	username	minecraft:dropped/minecraft:ink_sac
108	LordSpeed37	17
108	Soplight	17
112	TheSecondLord	16
112	thescout7	16
112	egglapras	16
112	lillips	16
116	heckface	15
116	Fizznut909	15
118	Alteriity	14
118	gabriels543	14
118	SlayerCrypto	14
118	EveryonesUncle	14
122	himak1	13
122	CryForHelpPT	13
122	FishyBoy3811	13
122	Leyna3	13
122	masskedman	13
127	pintsizedrogue	12
127	error10101	12
127	ExtraDumb	12
127	Xalithia	12
127	HAIRYCLOUD626	12
127	ooga47	12
127	Syropatathe	12
127	MyNameIsDakar	12
127	Fuad_R	12
136	Groovy_MoonBird	11
136	Dedalus36	11
136	LeauVox4921	11
136	sufjanlover	11
136	Jordan_R	11
141	Wolf_Mauler_73	10
141	Huwulling	10
141	Historical_Sand	10
141	Kakolbus	10
141	NameGenerat0r	10
141	Spenduh	10
141	2blox	10
141	Yogscast_Manden	10
149	EMC_	9
149	NinjaKnifeKill	9
149	Rich_Kat	9
149	Smashic	9
149	KeruNatsema	9
149	lizardfightclub	9
149	AvaRosey	9
149	RealDelver	9
149	jcool7	9
149	Kubeusz2010	9
159	pZygh0st	8
159	AuroraValkyrie	8
159	ROY4LE	8
159	Zaridey	8
159	HellsSponge	8
159	pixelviolin	8
159	lcvezra	8
159	anbbang	8
167	_NieToksikpl_	7
167	Ardennes	7
167	paranoid_plant	7
167	fr_ser	7
167	Snowflowe	7
167	burbankbuilder28	7
167	DarlaMeow	7
167	DanTheBuilderino	7
167	Quaintster	7
167	MovingFish7	7
167	ReyTheLegend	7
167	GlitchyPlate810	7
167	Dogcorn69420	7
167	MilleGrug	7
181	I_Am_Mushkin	6
181	jessemgaming	6
181	hm947	6
181	CoffeeNoir	6
181	Khelvoryk	6
181	mwrty	6
181	Winklepicker279	6
181	Zythose	6
181	MaGro2010	6
181	Afinnity	6
181	CruncyIsTaken	6
181	HyperCave	6
181	Sky_light_KING	6
181	ItsDeltaMC	6
181	Kferno	6
181	00000000-0000-0000-0009-01f898304150	6
197	nataliecool	5
197	BigBootyHudge	5
197	lewieinnit	5
197	Begformurrcy	5
197	itburb	5
197	FirsTimeGamingTV	5
197	Nicky_H225	5
197	Fullut	5
197	intropass	5
197	lOlmantschi	5
197	Hyperphoenix42	5
197	AuroraSkies	5
197	ogoa	5
197	Jiminie	5
197	fluddd	5
197	Chayula	5
197	UCP_TheKingK	5
197	tsitrawhy	5
197	stellarjay	5
197	CalebDHawk	5
197	fffMike	5
197	Njensen7	5
197	Skippeh	5
220	domon41c_2	4
220	500am	4
220	leaf26	4
220	ConcretePirate	4
220	Flapjacker687	4
220	Nach0Bear	4
220	CarltheCuck	4
220	Werbe	4
220	TTNG	4
220	fxiryglitch	4
220	gustarbite	4
220	Lutres_Torane	4
220	SkateboardR6	4
220	KingMatthew506	4
220	TinyTheMelon	4
235	tuckerdoodle	3
235	Wooptey	3
235	Rasplinn	3
235	Natty	3
235	Jackster03	3
235	SteveWithClout	3
235	Sleepy_Time_	3
235	xPixelRainx	3
235	Chickenchaser2	3
235	m_be9	3
235	Kamflame10	3
235	SellyZ	3
235	xxPipperDipperxx	3
235	Donutt	3
235	SonicRainBow_	3
235	TheWildMateo	3
235	sammidk	3
235	Drewen24	3
235	groofles	3
235	ADEXTV	3
235	TheTrueClipse	3
235	olmul	3
235	Meepcraft	3
235	Russiancat1	3
235	QueenShuvi	3
235	Templar_David	3
235	Warlord324	3
235	SSytex_X	3
235	Nekomin0	3
235	krutas2000	3
235	Winston_Ingram	3
235	Hermanni__	3
235	laron58	3
235	SpaceTurtleOX	3
235	AltnumberF4	3
235	ThatBurritoTh0	3
235	h2p_emrld	3
235	diggydog67	3
273	Lepthymo	2
273	SKYPEX_	2
273	PhantomsGhost_	2
273	ItsColin11	2
273	shineh10	2
273	Nesquiczek	2
273	BlancoFlaco	2
273	Incinere	2
273	tramizu	2
273	Euclidoris	2
273	YungJakobo	2
273	ThePoliteG	2
273	MinttyFressh	2
273	ProfessorBee	2
273	_Nuf	2
273	crying_wolf_13	2
273	LittleIan365	2
273	BlueZabu	2
273	Mattesco	2
273	Kynigito	2
273	BRRRN179	2
273	thgrocks	2
273	Huic_ostiarius	2
273	ToastedGamingYT	2
273	Nicky19	2
273	420BreadLizard	2
273	KnightmareD	2
273	bpmm	2
