rank	username	minecraft:dropped/minecraft:spruce_sapling
141	M_Patata	13
141	Onennon	13
141	Jiminbub	13
141	MasterNueve	13
141	Soplight	13
149	ExtraDumb	12
149	ChampPog_	12
149	NomadicRobin_	12
152	KarlKaek	11
152	RobotMinion101	11
152	Inbefour	11
152	Soap_Bender	11
152	Steven1282598	11
152	fluddd	11
152	bndo	11
152	2c19c699-1659-42a9-8736-134c5a6d6d2a	11
152	Poppy235	11
152	jcool7	11
162	q_wq	10
162	SquadMonster	10
162	ElFi66	10
162	potato292	10
162	Smashic	10
162	Kamflame10	10
162	Segotep999	10
169	T045RTY	9
169	Unitas_isa	9
169	vampgey	9
169	Maenara	9
169	SpouHn	9
169	Strangemonkey71	9
169	obzii	9
176	bigstankyy	8
176	hm947	8
176	No_u4	8
176	Simon_Lowell	8
176	MattieHD	8
176	Z3braYTIL	8
176	burbankbuilder28	8
176	ooga47	8
176	Bloo2406	8
176	Typadopoulos	8
176	Razzgriz	8
176	SSytex_X	8
176	Sheldor097	8
189	ProbablyNick	7
189	Da_Boss_Rani	7
189	Gingayy	7
189	CollinMH06	7
189	HyperCave	7
189	Austinizzle	7
189	stuy9	7
189	jambvds	7
189	Smiguli_	7
189	BlankityMcBlank	7
189	krutas2000	7
189	JayToe	7
201	Groovy_MoonBird	6
201	FroggoTheDoggo	6
201	teslawolf38	6
201	Hpdinosaur	6
201	__Max_mAx_maX__	6
201	Natty	6
201	m_be9	6
201	TheRealGameBoy24	6
201	Tjhodskins19	6
201	kars0n	6
201	ApophisNova	6
201	sammidk	6
201	ToastedGamingYT	6
201	MrQuanQuan	6
201	Dabatha	6
201	_Bguette_	6
201	dragonstalker21	6
201	Ze_BaronKrigler	6
201	ProbsNotNova	6
201	OfficerAnvil	6
201	_KuruKuru	6
201	MyNamaSheff	6
201	WYFYoyo	6
224	Wooptey	5
224	CoffeeNoir	5
224	Reamdin	5
224	PhantomBionic	5
224	MrExplorer	5
224	lordsaladito	5
224	Mewar	5
224	Jeteight	5
224	Kim_Jong_eel	5
224	GlitchMixed	5
224	the__Reaper4999	5
224	Barlycorn	5
224	Nagasaki_Riku	5
224	PlzNoBM	5
224	al626win52	5
224	Enderslayerxz3	5
224	jnp_gaming	5
224	YoshikageBites	5
224	Zoeyfortnite	5
243	ewsophie	4
243	Jahara	4
243	MOSS000	4
243	TheMaster972	4
243	Sparky_KT	4
243	ProfessorBee	4
243	_Nuf	4
243	boog4loo	4
243	surfinggiraffejp	4
243	Gamergirl420628	4
243	prizm_	4
243	Bazongoman	4
243	fr_ser	4
243	_Boipl_	4
243	Shavrin	4
243	MinuteMira	4
243	DarkS0L	4
243	Karbl	4
243	MentheMan09	4
243	SUN_DREAM	4
243	SevenMELIODAS	4
243	WyngGoy	4
243	layabout100	4
243	Shin69	4
243	sleepdrifter_	4
243	UCP_TheKingK	4
243	ediballbearings	4
243	felincaus	4
243	Hermanni__	4
243	ScarmedLeft	4
243	x86assembly	4
243	kinas45y5	4
275	ImpavidArcher	3
275	SaucyDark	3
275	Flores991	3
275	Jackster03	3
275	elleparo	3
275	Ao_Ken	3
275	tramizu	3
275	Sloths_Ender	3
275	crying_wolf_13	3
275	thescout7	3
275	Touched_Bread	3
275	SeverianTheLame	3
275	fallingemma	3
275	impossibleteapot	3
275	Mattesco	3
275	XeroByMyth	3
275	Leyna3	3
275	ILoveCarrot	3
275	Wowful	3
275	DizzleJay311	3
275	yulgur1	3
275	Lord_Zacler	3
275	Deathkob	3
275	DarlaMeow	3
275	Panoe	3
275	IAmTheWalrus910	3
