rank	username	minecraft:dropped/minecraft:redstone
281	BreadFruggis	146
282	Da_Boss_Rani	145
282	Sleepy_Evelyn	145
284	Allchemy	143
285	DarlaMeow	142
286	TheThomas69	141
287	abdomera	140
288	301851	136
288	Comma__	136
288	Syropatathe	136
291	RebytreGT	135
291	Sqwishy	135
291	CoryJJ	135
294	Rainaldus	134
295	Scathra	132
296	FishyBoy3811	131
297	Leyna3	130
298	royal_2	129
298	Snowflowe	129
300	Huwulling	128
