rank	username	minecraft:dropped/minecraft:coal
186	TheShyPig	118
186	Leyna3	118
190	BreadBacon	117
191	Zlatovlas	116
191	jacxhadow	116
193	501g	110
193	Vorlice	110
195	500am	106
196	NieToksikpl	105
197	ColeSnyder	103
197	Lez_	103
197	MattieHD	103
200	BobDeBouwer1337	101
200	EfficientC52	101
200	RedcatVII	101
203	Neemuuri	100
203	jewbacaman	100
203	Fuad_R	100
206	IdeallyGrey	98
206	Skippeh	98
208	pZygh0st	96
208	kars0n	96
208	SwooshBoi	96
208	microcrisp	96
212	angwla	93
213	Ssor69	92
213	Luigipunch989	92
215	Vizzoid	91
215	_3Stump_	91
217	H72l9w	90
217	Skylord_Luke	90
217	the_russell1611	90
220	Smashic	89
220	wezzzi	89
222	Deodorante	88
223	KeruNatsema	87
224	_czarny	86
225	shrimp_flips	85
225	Kferno	85
227	xxPipperDipperxx	84
227	CaptainDeadBread	84
227	Russiancat1	84
230	SellyZ	83
230	Solar_Power	83
232	MyNameIsJobo	82
232	CSG_Haru	82
234	littlesophiagirl	81
234	TheTrueClipse	81
234	WyngGoy	81
237	Tommhh	80
237	Sqwishy	80
237	Ze_BaronKrigler	80
240	GravitySaint	79
241	DarlaMeow	77
241	Nycteus_	77
241	jcool7	77
244	_Yonk_	76
245	Bandito_Roamer	75
245	sufjanlover	75
245	DanTheBuilderino	75
245	SvenskaHugo	75
245	TheOuterCore	75
250	jiggywraps	74
250	LilyNova	74
250	00000000-0000-0000-0009-01f898304150	74
253	geekbird	73
253	sp00ky_ghost977	73
255	Ecplosive	72
255	Leithz6	72
255	djancak	72
258	amkold	71
259	wobn	70
260	Lukeee33	69
260	Hail_the_wombat	69
262	Devintronix	68
263	Da_Boss_Rani	67
263	FallenCorps	67
265	StanceTB	66
265	GOOBERGABE04	66
265	Onennon	66
268	Mr_Byzantine	64
268	MixerDixer	64
268	dudcreeper	64
268	Killswitch_RW	64
268	Nekowu	64
268	ShedJr_	64
268	Prodiginus	64
268	SDMNAEK	64
268	SteveCraftBlocks	64
268	Dali1465	64
268	LotusProject	64
268	popcanter	64
268	Truckoss	64
268	Project_MKBRD	64
268	Jimi7hits	64
268	balin55	64
268	Meatlaugh	64
268	Jamstroxian	64
268	El_Jalapeno	64
268	yoyoYoloMonke	64
268	Airem_Core	64
268	radioactv_jelly	64
268	Optiprimus	64
268	LordBlaze11	64
268	voiding_	64
268	Dogcorn69420	64
268	LeeMcGee30	64
268	StaringHamster	64
268	JasmineGK	64
297	Myszoaz	63
297	Corbsman	63
297	Cocoamallows	63
297	NebulousBadger	63
